,destination,Origin,applied,accepted,Rejected,decisions,Year,Month,Value,deaths
0,Canada,Afghanistan,264.0,138.0,27.0,187.0,2005.0,April,16.0,1736
1,Canada,Afghanistan,264.0,138.0,27.0,187.0,2005.0,May,4.0,1736
2,Canada,Afghanistan,264.0,138.0,27.0,187.0,2005.0,June,29.0,1736
3,Canada,Afghanistan,264.0,138.0,27.0,187.0,2005.0,July,39.0,1736
4,Canada,Afghanistan,264.0,138.0,27.0,187.0,2005.0,August,20.0,1736
5,Canada,Afghanistan,264.0,138.0,27.0,187.0,2005.0,September,31.0,1736
6,Canada,Afghanistan,264.0,138.0,27.0,187.0,2005.0,October,28.0,1736
7,Canada,Afghanistan,264.0,138.0,27.0,187.0,2005.0,November,22.0,1736
8,Canada,Afghanistan,264.0,138.0,27.0,187.0,2005.0,December,13.0,1736
9,Canada,Afghanistan,264.0,138.0,27.0,187.0,2005.0,January,17.0,1736
10,Canada,Afghanistan,264.0,138.0,27.0,187.0,2005.0,February,15.0,1736
11,Canada,Afghanistan,264.0,138.0,27.0,187.0,2005.0,March,4.0,1736
12,France,Afghanistan,164.0,76.0,108.0,184.0,2005.0,January,5.0,1736
13,France,Afghanistan,164.0,76.0,108.0,184.0,2005.0,February,13.0,1736
14,France,Afghanistan,164.0,76.0,108.0,184.0,2005.0,March,13.0,1736
15,France,Afghanistan,164.0,76.0,108.0,184.0,2005.0,April,3.0,1736
16,France,Afghanistan,164.0,76.0,108.0,184.0,2005.0,May,7.0,1736
17,France,Afghanistan,164.0,76.0,108.0,184.0,2005.0,June,18.0,1736
18,France,Afghanistan,164.0,76.0,108.0,184.0,2005.0,July,12.0,1736
19,France,Afghanistan,164.0,76.0,108.0,184.0,2005.0,August,17.0,1736
20,France,Afghanistan,164.0,76.0,108.0,184.0,2005.0,September,10.0,1736
21,France,Afghanistan,164.0,76.0,108.0,184.0,2005.0,October,19.0,1736
22,France,Afghanistan,164.0,76.0,108.0,184.0,2005.0,November,10.0,1736
