Country / territory of asylum/residence,Origin,Year,Month,Value
Canada,Afghanistan,2005,April,16
Canada,Afghanistan,2005,May,4
Canada,Afghanistan,2005,June,29
Canada,Afghanistan,2005,July,39
Canada,Afghanistan,2005,August,20
Canada,Afghanistan,2005,September,31
Canada,Afghanistan,2005,October,28
Canada,Afghanistan,2005,November,22
Canada,Afghanistan,2005,December,13
Canada,Afghanistan,2006,January,30
Canada,Afghanistan,2006,February,22
Canada,Afghanistan,2006,March,14
Canada,Afghanistan,2006,April,6
Canada,Afghanistan,2006,May,24
Canada,Afghanistan,2006,June,5
Canada,Afghanistan,2006,July,19
Canada,Afghanistan,2006,August,21
Canada,Afghanistan,2006,September,28
Canada,Afghanistan,2006,October,28
Canada,Afghanistan,2006,November,16
Canada,Afghanistan,2006,December,16
Canada,Afghanistan,2007,January,48
Canada,Afghanistan,2007,February,24
Canada,Afghanistan,2007,March,12
Canada,Afghanistan,2007,April,20
Canada,Afghanistan,2007,May,17
Canada,Afghanistan,2007,June,14
Canada,Afghanistan,2007,July,14
Canada,Afghanistan,2007,August,29
Canada,Afghanistan,2007,September,28
Canada,Afghanistan,2007,October,23
Canada,Afghanistan,2007,November,21
Canada,Afghanistan,2007,December,20
Canada,Afghanistan,2008,January,30
Canada,Afghanistan,2008,February,31
Canada,Afghanistan,2008,March,22
Canada,Afghanistan,2008,April,32
Canada,Afghanistan,2008,May,29
Canada,Afghanistan,2008,June,31
Canada,Afghanistan,2008,July,34
Canada,Afghanistan,2008,August,24
Canada,Afghanistan,2008,September,58
Canada,Afghanistan,2008,October,43
Canada,Afghanistan,2008,November,40
Canada,Afghanistan,2008,December,34
Canada,Afghanistan,2009,January,36
Canada,Afghanistan,2009,February,17
Canada,Afghanistan,2009,March,32
Canada,Afghanistan,2009,April,14
Canada,Afghanistan,2009,May,32
Canada,Afghanistan,2009,June,68
Canada,Afghanistan,2009,July,51
Canada,Afghanistan,2009,August,37
Canada,Afghanistan,2009,September,38
Canada,Afghanistan,2009,October,31
Canada,Afghanistan,2009,November,25
Canada,Afghanistan,2009,December,29
Canada,Afghanistan,2010,January,46
Canada,Afghanistan,2010,February,29
Canada,Afghanistan,2010,March,29
Canada,Afghanistan,2010,April,19
Canada,Afghanistan,2010,May,21
Canada,Afghanistan,2010,June,37
Canada,Afghanistan,2010,July,31
Canada,Afghanistan,2010,August,39
Canada,Afghanistan,2010,September,68
Canada,Afghanistan,2010,October,26
Canada,Afghanistan,2010,November,17
Canada,Afghanistan,2010,December,30
Canada,Afghanistan,2011,January,38
Canada,Afghanistan,2011,February,27
Canada,Afghanistan,2011,March,26
Canada,Afghanistan,2011,April,24
Canada,Afghanistan,2011,May,24
Canada,Afghanistan,2011,June,35
Canada,Afghanistan,2011,July,31
Canada,Afghanistan,2011,August,52
Canada,Afghanistan,2011,September,38
Canada,Afghanistan,2011,October,40
Canada,Afghanistan,2011,November,30
Canada,Afghanistan,2011,December,32
Canada,Afghanistan,2012,January,27
