# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-11-14 15:28:39 EST       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 335612084312902 09FF18
# -----------------------------------------------------------------------------------
#
# Data provided for site 335612084312902
#            TS   parameter     statistic     Description
#        219083       72019     00003     Depth to water level, feet below land surface (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	219083_72019_00003	219083_72019_00003_cd
5s	15s	20d	14n	10s
USGS	335612084312902	2010-11-13	22.13	A
USGS	335612084312902	2010-11-14	22.11	A
USGS	335612084312902	2010-11-15	21.94	A
USGS	335612084312902	2010-11-16	21.92	A
USGS	335612084312902	2010-11-17	22.00	A
USGS	335612084312902	2010-11-18	22.02	A
USGS	335612084312902	2010-11-19	22.04	A
USGS	335612084312902	2010-11-20	22.06	A
USGS	335612084312902	2010-11-21	22.07	A
USGS	335612084312902	2010-11-22	22.08	A
USGS	335612084312902	2010-11-23	22.07	A
USGS	335612084312902	2010-11-24	22.03	A
USGS	335612084312902	2010-11-25	22.05	A
USGS	335612084312902	2010-11-26	22.04	A
USGS	335612084312902	2010-11-27	22.03	A
USGS	335612084312902	2010-11-28	22.04	A
USGS	335612084312902	2010-11-29	22.04	A
USGS	335612084312902	2010-11-30	21.87	A
USGS	335612084312902	2010-12-01	21.81	A
USGS	335612084312902	2010-12-02	22.01	A
USGS	335612084312902	2010-12-03	22.19	A
USGS	335612084312902	2010-12-04	22.22	A
USGS	335612084312902	2010-12-05	22.25	A
USGS	335612084312902	2010-12-06	22.25	A
USGS	335612084312902	2010-12-07	22.26	A
USGS	335612084312902	2010-12-08	22.27	A
USGS	335612084312902	2010-12-09	22.28	A
USGS	335612084312902	2010-12-10	22.29	A
USGS	335612084312902	2010-12-11	22.29	A
USGS	335612084312902	2010-12-12	22.19	A
USGS	335612084312902	2010-12-13	22.22	A
USGS	335612084312902	2010-12-14	22.24	A
USGS	335612084312902	2010-12-15	22.25	A
USGS	335612084312902	2010-12-16	22.21	A
USGS	335612084312902	2010-12-17	22.17	A
USGS	335612084312902	2010-12-18	22.20	A
USGS	335612084312902	2010-12-19	22.21	A
USGS	335612084312902	2010-12-20	22.24	A
USGS	335612084312902	2010-12-21	22.25	A
USGS	335612084312902	2010-12-22	22.27	A
USGS	335612084312902	2010-12-23	22.27	A
USGS	335612084312902	2010-12-24	22.27	A
USGS	335612084312902	2010-12-25	22.25	A
USGS	335612084312902	2010-12-26	22.20	A
USGS	335612084312902	2010-12-27	22.23	A
USGS	335612084312902	2010-12-28	22.25	A
USGS	335612084312902	2010-12-29	22.26	A
USGS	335612084312902	2010-12-30	22.27	A
USGS	335612084312902	2010-12-31	22.28	A
USGS	335612084312902	2011-01-01	22.16	A
USGS	335612084312902	2011-01-02	22.08	A
USGS	335612084312902	2011-01-03	22.15	A
USGS	335612084312902	2011-01-04	22.18	A
USGS	335612084312902	2011-01-05	22.21	A
USGS	335612084312902	2011-01-06	22.25	A
USGS	335612084312902	2011-01-07	22.22	A
USGS	335612084312902	2011-01-08	22.19	A
USGS	335612084312902	2011-01-09	22.19	A
USGS	335612084312902	2011-01-10	22.20	A
USGS	335612084312902	2011-01-11	22.26	A
USGS	335612084312902	2011-01-12	22.27	A
USGS	335612084312902	2011-01-13	22.25	A
USGS	335612084312902	2011-01-14	22.24	A
USGS	335612084312902	2011-01-15	22.24	A
USGS	335612084312902	2011-01-16	22.26	A
USGS	335612084312902	2011-01-17	22.27	A
USGS	335612084312902	2011-01-18	22.28	A
USGS	335612084312902	2011-01-19	22.28	A
USGS	335612084312902	2011-01-20	22.27	A
USGS	335612084312902	2011-01-21	22.26	A
USGS	335612084312902	2011-01-22	22.26	A
USGS	335612084312902	2011-01-23	22.25	A
USGS	335612084312902	2011-01-24	22.24	A
USGS	335612084312902	2011-01-25		
USGS	335612084312902	2011-01-26		
USGS	335612084312902	2011-01-27		
USGS	335612084312902	2011-01-28		
USGS	335612084312902	2011-01-29		
USGS	335612084312902	2011-01-30		
USGS	335612084312902	2011-01-31		
USGS	335612084312902	2011-02-01		
USGS	335612084312902	2011-02-02		
USGS	335612084312902	2011-02-03		
USGS	335612084312902	2011-02-04		
USGS	335612084312902	2011-02-05		
USGS	335612084312902	2011-02-06		
USGS	335612084312902	2011-02-07		
USGS	335612084312902	2011-02-08		
USGS	335612084312902	2011-02-09		
USGS	335612084312902	2011-02-10		
USGS	335612084312902	2011-02-11		
USGS	335612084312902	2011-02-12		
USGS	335612084312902	2011-02-13		
USGS	335612084312902	2011-02-14		
USGS	335612084312902	2011-02-15		
USGS	335612084312902	2011-02-16		
USGS	335612084312902	2011-02-17		
USGS	335612084312902	2011-02-18		
USGS	335612084312902	2011-02-19		
USGS	335612084312902	2011-02-20		
USGS	335612084312902	2011-02-21		
USGS	335612084312902	2011-02-22		
USGS	335612084312902	2011-02-23		
USGS	335612084312902	2011-02-24		
USGS	335612084312902	2011-02-25		
USGS	335612084312902	2011-02-26		
USGS	335612084312902	2011-02-27		
USGS	335612084312902	2011-02-28		
USGS	335612084312902	2011-03-01		
USGS	335612084312902	2011-03-02		
USGS	335612084312902	2011-03-03		
USGS	335612084312902	2011-03-04		
USGS	335612084312902	2011-03-05		
USGS	335612084312902	2011-03-06		
USGS	335612084312902	2011-03-07		
USGS	335612084312902	2011-03-08		
USGS	335612084312902	2011-03-09		
USGS	335612084312902	2011-03-10		
USGS	335612084312902	2011-03-11		
USGS	335612084312902	2011-03-12		
USGS	335612084312902	2011-03-13		
USGS	335612084312902	2011-03-14		
USGS	335612084312902	2011-03-15		
USGS	335612084312902	2011-03-16		
USGS	335612084312902	2011-03-17		
USGS	335612084312902	2011-03-18		
USGS	335612084312902	2011-03-19		
USGS	335612084312902	2011-03-20		
USGS	335612084312902	2011-03-21		
USGS	335612084312902	2011-03-22		
USGS	335612084312902	2011-03-23		
USGS	335612084312902	2011-03-24		
USGS	335612084312902	2011-03-25		
USGS	335612084312902	2011-03-26		
USGS	335612084312902	2011-03-27		
USGS	335612084312902	2011-03-28		
USGS	335612084312902	2011-03-29		
USGS	335612084312902	2011-03-30		
USGS	335612084312902	2011-03-31		
USGS	335612084312902	2011-04-01		
USGS	335612084312902	2011-04-02		
USGS	335612084312902	2011-04-03		
USGS	335612084312902	2011-04-04		
USGS	335612084312902	2011-04-05		
USGS	335612084312902	2011-04-06		
USGS	335612084312902	2011-04-07		
USGS	335612084312902	2011-04-08		
USGS	335612084312902	2011-04-09		
USGS	335612084312902	2011-04-10		
USGS	335612084312902	2011-04-11		
USGS	335612084312902	2011-04-12		
USGS	335612084312902	2011-04-13		
USGS	335612084312902	2011-04-14		
USGS	335612084312902	2011-04-15		
