,destination,Origin,applied,accepted,Rejected,decisions,Year,Month,Value,deaths,last_month,two_months_ago,next_month,two_months_later
2,Canada,Afghanistan,264.0,138.0,27.0,187.0,2005.0,June,29.0,1736,4.0,16.0,39.0,20.0
3,Canada,Afghanistan,264.0,138.0,27.0,187.0,2005.0,July,39.0,1736,29.0,4.0,20.0,31.0
4,Canada,Afghanistan,264.0,138.0,27.0,187.0,2005.0,August,20.0,1736,39.0,29.0,31.0,28.0
5,Canada,Afghanistan,264.0,138.0,27.0,187.0,2005.0,September,31.0,1736,20.0,39.0,28.0,22.0
6,Canada,Afghanistan,264.0,138.0,27.0,187.0,2005.0,October,28.0,1736,31.0,20.0,22.0,13.0
7,Canada,Afghanistan,264.0,138.0,27.0,187.0,2005.0,November,22.0,1736,28.0,31.0,13.0,17.0
8,Canada,Afghanistan,264.0,138.0,27.0,187.0,2005.0,December,13.0,1736,22.0,28.0,17.0,15.0
9,Canada,Afghanistan,264.0,138.0,27.0,187.0,2005.0,January,17.0,1736,13.0,22.0,15.0,4.0
10,Canada,Afghanistan,264.0,138.0,27.0,187.0,2005.0,February,15.0,1736,17.0,13.0,4.0,30.0
11,Canada,Afghanistan,264.0,138.0,27.0,187.0,2005.0,March,4.0,1736,15.0,17.0,30.0,22.0
70,Canada,Afghanistan,268.0,162.0,12.0,198.0,2006.0,January,30.0,4980,4.0,15.0,22.0,14.0
71,Canada,Afghanistan,268.0,162.0,12.0,198.0,2006.0,February,22.0,4980,30.0,4.0,14.0,6.0
72,Canada,Afghanistan,268.0,162.0,12.0,198.0,2006.0,March,14.0,4980,22.0,30.0,6.0,24.0
73,Canada,Afghanistan,268.0,162.0,12.0,198.0,2006.0,April,6.0,4980,14.0,22.0,24.0,5.0
74,Canada,Afghanistan,268.0,162.0,12.0,198.0,2006.0,May,24.0,4980,6.0,14.0,5.0,19.0
75,Canada,Afghanistan,268.0,162.0,12.0,198.0,2006.0,June,5.0,4980,24.0,6.0,19.0,21.0
76,Canada,Afghanistan,268.0,162.0,12.0,198.0,2006.0,July,19.0,4980,5.0,24.0,21.0,28.0
77,Canada,Afghanistan,268.0,162.0,12.0,198.0,2006.0,August,21.0,4980,19.0,5.0,28.0,28.0
78,Canada,Afghanistan,268.0,162.0,12.0,198.0,2006.0,September,28.0,4980,21.0,19.0,28.0,16.0
79,Canada,Afghanistan,268.0,162.0,12.0,198.0,2006.0,October,28.0,4980,28.0,21.0,16.0,16.0
80,Canada,Afghanistan,268.0,162.0,12.0,198.0,2006.0,November,16.0,4980,28.0,28.0,16.0,48.0
81,Canada,Afghanistan,268.0,162.0,12.0,198.0,2006.0,December,16.0,4980,16.0,28.0,48.0,24.0
