,destination,Origin,applied,accepted,Rejected,decisions,Year,Month,Value,deaths,last_month,two_months_ago,next_month,two_months_later
14,France,Afghanistan,164.0,76.0,108.0,184.0,2005.0,March,13.0,1736,13.0,5.0,3.0,7.0
15,France,Afghanistan,164.0,76.0,108.0,184.0,2005.0,April,3.0,1736,13.0,13.0,7.0,18.0
16,France,Afghanistan,164.0,76.0,108.0,184.0,2005.0,May,7.0,1736,3.0,13.0,18.0,12.0
17,France,Afghanistan,164.0,76.0,108.0,184.0,2005.0,June,18.0,1736,7.0,3.0,12.0,17.0
18,France,Afghanistan,164.0,76.0,108.0,184.0,2005.0,July,12.0,1736,18.0,7.0,17.0,10.0
19,France,Afghanistan,164.0,76.0,108.0,184.0,2005.0,August,17.0,1736,12.0,18.0,10.0,19.0
20,France,Afghanistan,164.0,76.0,108.0,184.0,2005.0,September,10.0,1736,17.0,12.0,19.0,10.0
21,France,Afghanistan,164.0,76.0,108.0,184.0,2005.0,October,19.0,1736,10.0,17.0,10.0,8.0
22,France,Afghanistan,164.0,76.0,108.0,184.0,2005.0,November,10.0,1736,19.0,10.0,8.0,9.0
23,France,Afghanistan,164.0,76.0,108.0,184.0,2005.0,December,8.0,1736,10.0,19.0,9.0,9.0
82,France,Afghanistan,106.0,45.0,84.0,132.0,2006.0,January,9.0,4980,8.0,10.0,9.0,4.0
83,France,Afghanistan,106.0,45.0,84.0,132.0,2006.0,February,9.0,4980,9.0,8.0,4.0,5.0
84,France,Afghanistan,106.0,45.0,84.0,132.0,2006.0,March,4.0,4980,9.0,9.0,5.0,5.0
85,France,Afghanistan,106.0,45.0,84.0,132.0,2006.0,April,5.0,4980,4.0,9.0,5.0,4.0
86,France,Afghanistan,106.0,45.0,84.0,132.0,2006.0,May,5.0,4980,5.0,4.0,4.0,3.0
87,France,Afghanistan,106.0,45.0,84.0,132.0,2006.0,June,4.0,4980,5.0,5.0,3.0,8.0
88,France,Afghanistan,106.0,45.0,84.0,132.0,2006.0,July,3.0,4980,4.0,5.0,8.0,8.0
89,France,Afghanistan,106.0,45.0,84.0,132.0,2006.0,August,8.0,4980,3.0,4.0,8.0,14.0
90,France,Afghanistan,106.0,45.0,84.0,132.0,2006.0,September,8.0,4980,8.0,3.0,14.0,8.0
91,France,Afghanistan,106.0,45.0,84.0,132.0,2006.0,October,14.0,4980,8.0,8.0,8.0,5.0
92,France,Afghanistan,106.0,45.0,84.0,132.0,2006.0,November,8.0,4980,14.0,8.0,5.0,7.0
93,France,Afghanistan,106.0,45.0,84.0,132.0,2006.0,December,5.0,4980,8.0,14.0,7.0,21.0
152,France,Afghanistan,201.0,59.0,82.0,144.0,2007.0,January,7.0,7017,5.0,8.0,21.0,11.0
153,France,Afghanistan,201.0,59.0,82.0,144.0,2007.0,February,21.0,7017,7.0,5.0,11.0,7.0
154,France,Afghanistan,201.0,59.0,82.0,144.0,2007.0,March,11.0,7017,21.0,7.0,7.0,11.0
155,France,Afghanistan,201.0,59.0,82.0,144.0,2007.0,April,7.0,7017,11.0,21.0,11.0,13.0
156,France,Afghanistan,201.0,59.0,82.0,144.0,2007.0,May,11.0,7017,7.0,11.0,13.0,17.0
157,France,Afghanistan,201.0,59.0,82.0,144.0,2007.0,June,13.0,7017,11.0,7.0,17.0,19.0
158,France,Afghanistan,201.0,59.0,82.0,144.0,2007.0,July,17.0,7017,13.0,11.0,19.0,8.0
159,France,Afghanistan,201.0,59.0,82.0,144.0,2007.0,August,19.0,7017,17.0,13.0,8.0,29.0
160,France,Afghanistan,201.0,59.0,82.0,144.0,2007.0,September,8.0,7017,19.0,17.0,29.0,9.0
