,destination,Origin,applied,accepted,Rejected,decisions,Year,Month,Value,deaths,last_month,two_months_ago,next_month,two_months_later
38,Germany,Afghanistan,1194.0,72.0,690.0,1238.0,2005.0,March,36.0,1736,46.0,53.0,66.0,72.0
39,Germany,Afghanistan,1194.0,72.0,690.0,1238.0,2005.0,April,66.0,1736,36.0,46.0,72.0,79.0
40,Germany,Afghanistan,1194.0,72.0,690.0,1238.0,2005.0,May,72.0,1736,66.0,36.0,79.0,54.0
41,Germany,Afghanistan,1194.0,72.0,690.0,1238.0,2005.0,June,79.0,1736,72.0,66.0,54.0,40.0
42,Germany,Afghanistan,1194.0,72.0,690.0,1238.0,2005.0,July,54.0,1736,79.0,72.0,40.0,65.0
43,Germany,Afghanistan,1194.0,72.0,690.0,1238.0,2005.0,August,40.0,1736,54.0,79.0,65.0,45.0
44,Germany,Afghanistan,1194.0,72.0,690.0,1238.0,2005.0,September,65.0,1736,40.0,54.0,45.0,58.0
45,Germany,Afghanistan,1194.0,72.0,690.0,1238.0,2005.0,October,45.0,1736,65.0,40.0,58.0,71.0
46,Germany,Afghanistan,1194.0,72.0,690.0,1238.0,2005.0,November,58.0,1736,45.0,65.0,71.0,50.0
47,Germany,Afghanistan,1194.0,72.0,690.0,1238.0,2005.0,December,71.0,1736,58.0,45.0,50.0,51.0
106,Germany,Afghanistan,1524.0,81.0,383.0,1512.0,2006.0,January,50.0,4980,71.0,58.0,51.0,64.0
107,Germany,Afghanistan,1524.0,81.0,383.0,1512.0,2006.0,February,51.0,4980,50.0,71.0,64.0,43.0
108,Germany,Afghanistan,1524.0,81.0,383.0,1512.0,2006.0,March,64.0,4980,51.0,50.0,43.0,53.0
109,Germany,Afghanistan,1524.0,81.0,383.0,1512.0,2006.0,April,43.0,4980,64.0,51.0,53.0,29.0
110,Germany,Afghanistan,1524.0,81.0,383.0,1512.0,2006.0,May,53.0,4980,43.0,64.0,29.0,43.0
111,Germany,Afghanistan,1524.0,81.0,383.0,1512.0,2006.0,June,29.0,4980,53.0,43.0,43.0,48.0
112,Germany,Afghanistan,1524.0,81.0,383.0,1512.0,2006.0,July,43.0,4980,29.0,53.0,48.0,36.0
113,Germany,Afghanistan,1524.0,81.0,383.0,1512.0,2006.0,August,48.0,4980,43.0,29.0,36.0,42.0
114,Germany,Afghanistan,1524.0,81.0,383.0,1512.0,2006.0,September,36.0,4980,48.0,43.0,42.0,24.0
115,Germany,Afghanistan,1524.0,81.0,383.0,1512.0,2006.0,October,42.0,4980,36.0,48.0,24.0,42.0
116,Germany,Afghanistan,1524.0,81.0,383.0,1512.0,2006.0,November,24.0,4980,42.0,36.0,42.0,21.0
117,Germany,Afghanistan,1524.0,81.0,383.0,1512.0,2006.0,December,42.0,4980,24.0,42.0,21.0,21.0
176,Germany,Afghanistan,574.0,72.0,230.0,720.0,2007.0,January,21.0,7017,42.0,24.0,21.0,39.0
177,Germany,Afghanistan,574.0,72.0,230.0,720.0,2007.0,February,21.0,7017,21.0,42.0,39.0,24.0
178,Germany,Afghanistan,574.0,72.0,230.0,720.0,2007.0,March,39.0,7017,21.0,21.0,24.0,26.0
179,Germany,Afghanistan,574.0,72.0,230.0,720.0,2007.0,April,24.0,7017,39.0,21.0,26.0,26.0
180,Germany,Afghanistan,574.0,72.0,230.0,720.0,2007.0,May,26.0,7017,24.0,39.0,26.0,26.0
181,Germany,Afghanistan,574.0,72.0,230.0,720.0,2007.0,June,26.0,7017,26.0,24.0,26.0,23.0
182,Germany,Afghanistan,574.0,72.0,230.0,720.0,2007.0,July,26.0,7017,26.0,26.0,23.0,26.0
183,Germany,Afghanistan,574.0,72.0,230.0,720.0,2007.0,August,23.0,7017,26.0,26.0,26.0,33.0
