,destination,Origin,applied,accepted,Rejected,decisions,Year,Month,Value,deaths,last_month,two_months_ago,next_month,two_months_later
262,Italy,Afghanistan,1732.0,208.0,582.0,1781.0,2008.0,March,184.0,5945,105.0,215.0,173.0,215.0
263,Italy,Afghanistan,1732.0,208.0,582.0,1781.0,2008.0,April,173.0,5945,184.0,105.0,215.0,185.0
264,Italy,Afghanistan,1732.0,208.0,582.0,1781.0,2008.0,May,215.0,5945,173.0,184.0,185.0,126.0
265,Italy,Afghanistan,1732.0,208.0,582.0,1781.0,2008.0,June,185.0,5945,215.0,173.0,126.0,214.0
266,Italy,Afghanistan,1732.0,208.0,582.0,1781.0,2008.0,July,126.0,5945,185.0,215.0,214.0,135.0
267,Italy,Afghanistan,1732.0,208.0,582.0,1781.0,2008.0,August,214.0,5945,126.0,185.0,135.0,150.0
268,Italy,Afghanistan,1732.0,208.0,582.0,1781.0,2008.0,September,135.0,5945,214.0,126.0,150.0,165.0
269,Italy,Afghanistan,1732.0,208.0,582.0,1781.0,2008.0,October,150.0,5945,135.0,214.0,165.0,138.0
270,Italy,Afghanistan,1732.0,208.0,582.0,1781.0,2008.0,November,165.0,5945,150.0,135.0,138.0,90.0
271,Italy,Afghanistan,1732.0,208.0,582.0,1781.0,2008.0,December,138.0,5945,165.0,150.0,90.0,60.0
340,Italy,Afghanistan,711.0,214.0,111.0,924.0,2009.0,January,90.0,6831,138.0,165.0,60.0,55.0
341,Italy,Afghanistan,711.0,214.0,111.0,924.0,2009.0,February,60.0,6831,90.0,138.0,55.0,60.0
342,Italy,Afghanistan,711.0,214.0,111.0,924.0,2009.0,March,55.0,6831,60.0,90.0,60.0,45.0
343,Italy,Afghanistan,711.0,214.0,111.0,924.0,2009.0,April,60.0,6831,55.0,60.0,45.0,35.0
344,Italy,Afghanistan,711.0,214.0,111.0,924.0,2009.0,May,45.0,6831,60.0,55.0,35.0,25.0
345,Italy,Afghanistan,711.0,214.0,111.0,924.0,2009.0,June,35.0,6831,45.0,60.0,25.0,20.0
346,Italy,Afghanistan,711.0,214.0,111.0,924.0,2009.0,July,25.0,6831,35.0,45.0,20.0,50.0
347,Italy,Afghanistan,711.0,214.0,111.0,924.0,2009.0,August,20.0,6831,25.0,35.0,50.0,95.0
348,Italy,Afghanistan,711.0,214.0,111.0,924.0,2009.0,September,50.0,6831,20.0,25.0,95.0,65.0
349,Italy,Afghanistan,711.0,214.0,111.0,924.0,2009.0,October,95.0,6831,50.0,20.0,65.0,20.0
350,Italy,Afghanistan,711.0,214.0,111.0,924.0,2009.0,November,65.0,6831,95.0,50.0,20.0,67.0
351,Italy,Afghanistan,711.0,214.0,111.0,924.0,2009.0,December,20.0,6831,65.0,95.0,67.0,48.0
422,Italy,Afghanistan,873.0,176.0,68.0,724.0,2010.0,January,67.0,7342,20.0,65.0,48.0,70.0
423,Italy,Afghanistan,873.0,176.0,68.0,724.0,2010.0,February,48.0,7342,67.0,20.0,70.0,60.0
424,Italy,Afghanistan,873.0,176.0,68.0,724.0,2010.0,March,70.0,7342,48.0,67.0,60.0,78.0
425,Italy,Afghanistan,873.0,176.0,68.0,724.0,2010.0,April,60.0,7342,70.0,48.0,78.0,61.0
426,Italy,Afghanistan,873.0,176.0,68.0,724.0,2010.0,May,78.0,7342,60.0,70.0,61.0,65.0
427,Italy,Afghanistan,873.0,176.0,68.0,724.0,2010.0,June,61.0,7342,78.0,60.0,65.0,74.0
428,Italy,Afghanistan,873.0,176.0,68.0,724.0,2010.0,July,65.0,7342,61.0,78.0,74.0,66.0
429,Italy,Afghanistan,873.0,176.0,68.0,724.0,2010.0,August,74.0,7342,65.0,61.0,66.0,73.0
430,Italy,Afghanistan,873.0,176.0,68.0,724.0,2010.0,September,66.0,7342,74.0,65.0,73.0,92.0
431,Italy,Afghanistan,873.0,176.0,68.0,724.0,2010.0,October,73.0,7342,66.0,74.0,92.0,119.0
432,Italy,Afghanistan,873.0,176.0,68.0,724.0,2010.0,November,92.0,7342,73.0,66.0,119.0,152.0
433,Italy,Afghanistan,873.0,176.0,68.0,724.0,2010.0,December,119.0,7342,92.0,73.0,152.0,110.0
506,Italy,Afghanistan,1429.0,165.0,370.0,1079.0,2011.0,January,152.0,10226,119.0,92.0,110.0,202.0
507,Italy,Afghanistan,1429.0,165.0,370.0,1079.0,2011.0,February,110.0,10226,152.0,119.0,202.0,104.0
508,Italy,Afghanistan,1429.0,165.0,370.0,1079.0,2011.0,March,202.0,10226,110.0,152.0,104.0,139.0
509,Italy,Afghanistan,1429.0,165.0,370.0,1079.0,2011.0,April,104.0,10226,202.0,110.0,139.0,75.0
510,Italy,Afghanistan,1429.0,165.0,370.0,1079.0,2011.0,May,139.0,10226,104.0,202.0,75.0,92.0
511,Italy,Afghanistan,1429.0,165.0,370.0,1079.0,2011.0,June,75.0,10226,139.0,104.0,92.0,97.0
512,Italy,Afghanistan,1429.0,165.0,370.0,1079.0,2011.0,July,92.0,10226,75.0,139.0,97.0,143.0
513,Italy,Afghanistan,1429.0,165.0,370.0,1079.0,2011.0,August,97.0,10226,92.0,75.0,143.0,81.0
514,Italy,Afghanistan,1429.0,165.0,370.0,1079.0,2011.0,September,143.0,10226,97.0,92.0,81.0,126.0
515,Italy,Afghanistan,1429.0,165.0,370.0,1079.0,2011.0,October,81.0,10226,143.0,97.0,126.0,108.0
516,Italy,Afghanistan,1429.0,165.0,370.0,1079.0,2011.0,November,126.0,10226,81.0,143.0,108.0,145.0
517,Italy,Afghanistan,1429.0,165.0,370.0,1079.0,2011.0,December,108.0,10226,126.0,81.0,145.0,86.0
589,Italy,Afghanistan,1495.0,182.0,253.0,1060.0,2012.0,January,145.0,7953,108.0,126.0,86.0,150.0
590,Italy,Afghanistan,1495.0,182.0,253.0,1060.0,2012.0,February,86.0,7953,145.0,108.0,150.0,55.0
591,Italy,Afghanistan,1495.0,182.0,253.0,1060.0,2012.0,March,150.0,7953,86.0,145.0,55.0,88.0
592,Italy,Afghanistan,1495.0,182.0,253.0,1060.0,2012.0,April,55.0,7953,150.0,86.0,88.0,55.0
593,Italy,Afghanistan,1495.0,182.0,253.0,1060.0,2012.0,May,88.0,7953,55.0,150.0,55.0,134.0
594,Italy,Afghanistan,1495.0,182.0,253.0,1060.0,2012.0,June,55.0,7953,88.0,55.0,134.0,130.0
595,Italy,Afghanistan,1495.0,182.0,253.0,1060.0,2012.0,July,134.0,7953,55.0,88.0,130.0,139.0
596,Italy,Afghanistan,1495.0,182.0,253.0,1060.0,2012.0,August,130.0,7953,134.0,55.0,139.0,182.0
597,Italy,Afghanistan,1495.0,182.0,253.0,1060.0,2012.0,September,139.0,7953,130.0,134.0,182.0,189.0
598,Italy,Afghanistan,1495.0,182.0,253.0,1060.0,2012.0,October,182.0,7953,139.0,130.0,189.0,142.0
599,Italy,Afghanistan,1495.0,182.0,253.0,1060.0,2012.0,November,189.0,7953,182.0,139.0,142.0,173.0
600,Italy,Afghanistan,1495.0,182.0,253.0,1060.0,2012.0,December,142.0,7953,189.0,182.0,173.0,153.0
672,Italy,Afghanistan,2056.0,285.0,162.0,1764.0,2013.0,January,173.0,8086,142.0,189.0,153.0,133.0
673,Italy,Afghanistan,2056.0,285.0,162.0,1764.0,2013.0,February,153.0,8086,173.0,142.0,133.0,174.0
674,Italy,Afghanistan,2056.0,285.0,162.0,1764.0,2013.0,March,133.0,8086,153.0,173.0,174.0,193.0
675,Italy,Afghanistan,2056.0,285.0,162.0,1764.0,2013.0,April,174.0,8086,133.0,153.0,193.0,144.0
676,Italy,Afghanistan,2056.0,285.0,162.0,1764.0,2013.0,May,193.0,8086,174.0,133.0,144.0,158.0
677,Italy,Afghanistan,2056.0,285.0,162.0,1764.0,2013.0,June,144.0,8086,193.0,174.0,158.0,83.0
678,Italy,Afghanistan,2056.0,285.0,162.0,1764.0,2013.0,July,158.0,8086,144.0,193.0,83.0,161.0
679,Italy,Afghanistan,2056.0,285.0,162.0,1764.0,2013.0,August,83.0,8086,158.0,144.0,161.0,207.0
680,Italy,Afghanistan,2056.0,285.0,162.0,1764.0,2013.0,September,161.0,8086,83.0,158.0,207.0,177.0
681,Italy,Afghanistan,2056.0,285.0,162.0,1764.0,2013.0,October,207.0,8086,161.0,83.0,177.0,293.0
682,Italy,Afghanistan,2056.0,285.0,162.0,1764.0,2013.0,November,177.0,8086,207.0,161.0,293.0,325.0
683,Italy,Afghanistan,2056.0,285.0,162.0,1764.0,2013.0,December,293.0,8086,177.0,207.0,325.0,264.0
747,Italy,Afghanistan,3120.0,255.0,119.0,2520.0,2014.0,January,325.0,12346,293.0,177.0,264.0,231.0
748,Italy,Afghanistan,3120.0,255.0,119.0,2520.0,2014.0,February,264.0,12346,325.0,293.0,231.0,172.0
749,Italy,Afghanistan,3120.0,255.0,119.0,2520.0,2014.0,March,231.0,12346,264.0,325.0,172.0,201.0
750,Italy,Afghanistan,3120.0,255.0,119.0,2520.0,2014.0,April,172.0,12346,231.0,264.0,201.0,276.0
751,Italy,Afghanistan,3120.0,255.0,119.0,2520.0,2014.0,May,201.0,12346,172.0,231.0,276.0,212.0
752,Italy,Afghanistan,3120.0,255.0,119.0,2520.0,2014.0,June,276.0,12346,201.0,172.0,212.0,177.0
753,Italy,Afghanistan,3120.0,255.0,119.0,2520.0,2014.0,July,212.0,12346,276.0,201.0,177.0,288.0
754,Italy,Afghanistan,3120.0,255.0,119.0,2520.0,2014.0,August,177.0,12346,212.0,276.0,288.0,355.0
755,Italy,Afghanistan,3120.0,255.0,119.0,2520.0,2014.0,September,288.0,12346,177.0,212.0,355.0,331.0
756,Italy,Afghanistan,3120.0,255.0,119.0,2520.0,2014.0,October,355.0,12346,288.0,177.0,331.0,272.0
757,Italy,Afghanistan,3120.0,255.0,119.0,2520.0,2014.0,November,331.0,12346,355.0,288.0,272.0,289.0
758,Italy,Afghanistan,3120.0,255.0,119.0,2520.0,2014.0,December,272.0,12346,331.0,355.0,289.0,406.0
820,Italy,Afghanistan,3986.0,305.0,152.0,3444.0,2015.0,January,289.0,19209,272.0,331.0,406.0,294.0
821,Italy,Afghanistan,3986.0,305.0,152.0,3444.0,2015.0,February,406.0,19209,289.0,272.0,294.0,244.0
822,Italy,Afghanistan,3986.0,305.0,152.0,3444.0,2015.0,March,294.0,19209,406.0,289.0,244.0,230.0
823,Italy,Afghanistan,3986.0,305.0,152.0,3444.0,2015.0,April,244.0,19209,294.0,406.0,230.0,305.0
824,Italy,Afghanistan,3986.0,305.0,152.0,3444.0,2015.0,May,230.0,19209,244.0,294.0,305.0,325.0
825,Italy,Afghanistan,3986.0,305.0,152.0,3444.0,2015.0,June,305.0,19209,230.0,244.0,325.0,411.0
826,Italy,Afghanistan,3986.0,305.0,152.0,3444.0,2015.0,July,325.0,19209,305.0,230.0,411.0,354.0
827,Italy,Afghanistan,3986.0,305.0,152.0,3444.0,2015.0,August,411.0,19209,325.0,305.0,354.0,382.0
828,Italy,Afghanistan,3986.0,305.0,152.0,3444.0,2015.0,September,354.0,19209,411.0,325.0,382.0,323.0
829,Italy,Afghanistan,3986.0,305.0,152.0,3444.0,2015.0,October,382.0,19209,354.0,411.0,323.0,423.0
830,Italy,Afghanistan,3986.0,305.0,152.0,3444.0,2015.0,November,323.0,19209,382.0,354.0,423.0,664.0
831,Italy,Afghanistan,3986.0,305.0,152.0,3444.0,2015.0,December,423.0,19209,323.0,382.0,664.0,476.0
895,Italy,Afghanistan,2851.0,380.0,124.0,4125.0,2016.0,January,664.0,18317,423.0,323.0,476.0,342.0
896,Italy,Afghanistan,2851.0,380.0,124.0,4125.0,2016.0,February,476.0,18317,664.0,423.0,342.0,231.0
897,Italy,Afghanistan,2851.0,380.0,124.0,4125.0,2016.0,March,342.0,18317,476.0,664.0,231.0,211.0
898,Italy,Afghanistan,2851.0,380.0,124.0,4125.0,2016.0,April,231.0,18317,342.0,476.0,211.0,163.0
899,Italy,Afghanistan,2851.0,380.0,124.0,4125.0,2016.0,May,211.0,18317,231.0,342.0,163.0,125.0
900,Italy,Afghanistan,2851.0,380.0,124.0,4125.0,2016.0,June,163.0,18317,211.0,231.0,125.0,118.0
901,Italy,Afghanistan,2851.0,380.0,124.0,4125.0,2016.0,July,125.0,18317,163.0,211.0,118.0,150.0
902,Italy,Afghanistan,2851.0,380.0,124.0,4125.0,2016.0,August,118.0,18317,125.0,163.0,150.0,163.0
903,Italy,Afghanistan,2851.0,380.0,124.0,4125.0,2016.0,September,150.0,18317,118.0,125.0,163.0,113.0
904,Italy,Afghanistan,2851.0,380.0,124.0,4125.0,2016.0,October,163.0,18317,150.0,118.0,113.0,87.0
905,Italy,Afghanistan,2851.0,380.0,124.0,4125.0,2016.0,November,113.0,18317,163.0,150.0,87.0,92.0
906,Italy,Afghanistan,2851.0,380.0,124.0,4125.0,2016.0,December,87.0,18317,113.0,163.0,92.0,90.0
973,Italy,Afghanistan,1010.0,361.0,169.0,2156.0,2017.0,January,92.0,19412,87.0,113.0,90.0,107.0
974,Italy,Afghanistan,1010.0,361.0,169.0,2156.0,2017.0,February,90.0,19412,92.0,87.0,107.0,95.0
975,Italy,Afghanistan,1010.0,361.0,169.0,2156.0,2017.0,March,107.0,19412,90.0,92.0,95.0,106.0
976,Italy,Afghanistan,1010.0,361.0,169.0,2156.0,2017.0,April,95.0,19412,107.0,90.0,106.0,94.0
977,Italy,Afghanistan,1010.0,361.0,169.0,2156.0,2017.0,May,106.0,19412,95.0,107.0,94.0,68.0
