,destination,Origin,applied,accepted,Rejected,decisions,Year,Month,Value,deaths,last_month,two_months_ago,next_month,two_months_later
26,UK,Afghanistan,1773.0,249.0,2471.0,3576.0,2005.0,March,93.0,1736,84.0,149.0,127.0,170.0
27,UK,Afghanistan,1773.0,249.0,2471.0,3576.0,2005.0,April,127.0,1736,93.0,84.0,170.0,161.0
28,UK,Afghanistan,1773.0,249.0,2471.0,3576.0,2005.0,May,170.0,1736,127.0,93.0,161.0,103.0
29,UK,Afghanistan,1773.0,249.0,2471.0,3576.0,2005.0,June,161.0,1736,170.0,127.0,103.0,164.0
30,UK,Afghanistan,1773.0,249.0,2471.0,3576.0,2005.0,July,103.0,1736,161.0,170.0,164.0,156.0
31,UK,Afghanistan,1773.0,249.0,2471.0,3576.0,2005.0,August,164.0,1736,103.0,161.0,156.0,192.0
32,UK,Afghanistan,1773.0,249.0,2471.0,3576.0,2005.0,September,156.0,1736,164.0,103.0,192.0,180.0
33,UK,Afghanistan,1773.0,249.0,2471.0,3576.0,2005.0,October,192.0,1736,156.0,164.0,180.0,194.0
34,UK,Afghanistan,1773.0,249.0,2471.0,3576.0,2005.0,November,180.0,1736,192.0,156.0,194.0,205.0
35,UK,Afghanistan,1773.0,249.0,2471.0,3576.0,2005.0,December,194.0,1736,180.0,192.0,205.0,200.0
94,UK,Afghanistan,2659.0,197.0,2234.0,3637.0,2006.0,January,205.0,4980,194.0,180.0,200.0,158.0
95,UK,Afghanistan,2659.0,197.0,2234.0,3637.0,2006.0,February,200.0,4980,205.0,194.0,158.0,179.0
96,UK,Afghanistan,2659.0,197.0,2234.0,3637.0,2006.0,March,158.0,4980,200.0,205.0,179.0,247.0
97,UK,Afghanistan,2659.0,197.0,2234.0,3637.0,2006.0,April,179.0,4980,158.0,200.0,247.0,193.0
98,UK,Afghanistan,2659.0,197.0,2234.0,3637.0,2006.0,May,247.0,4980,179.0,158.0,193.0,246.0
99,UK,Afghanistan,2659.0,197.0,2234.0,3637.0,2006.0,June,193.0,4980,247.0,179.0,246.0,226.0
100,UK,Afghanistan,2659.0,197.0,2234.0,3637.0,2006.0,July,246.0,4980,193.0,247.0,226.0,223.0
101,UK,Afghanistan,2659.0,197.0,2234.0,3637.0,2006.0,August,226.0,4980,246.0,193.0,223.0,285.0
102,UK,Afghanistan,2659.0,197.0,2234.0,3637.0,2006.0,September,223.0,4980,226.0,246.0,285.0,273.0
103,UK,Afghanistan,2659.0,197.0,2234.0,3637.0,2006.0,October,285.0,4980,223.0,226.0,273.0,213.0
104,UK,Afghanistan,2659.0,197.0,2234.0,3637.0,2006.0,November,273.0,4980,285.0,223.0,213.0,310.0
105,UK,Afghanistan,2659.0,197.0,2234.0,3637.0,2006.0,December,213.0,4980,273.0,285.0,310.0,240.0
164,UK,Afghanistan,2838.0,342.0,2409.0,4156.0,2007.0,January,310.0,7017,213.0,273.0,240.0,306.0
165,UK,Afghanistan,2838.0,342.0,2409.0,4156.0,2007.0,February,240.0,7017,310.0,213.0,306.0,194.0
166,UK,Afghanistan,2838.0,342.0,2409.0,4156.0,2007.0,March,306.0,7017,240.0,310.0,194.0,252.0
167,UK,Afghanistan,2838.0,342.0,2409.0,4156.0,2007.0,April,194.0,7017,306.0,240.0,252.0,210.0
168,UK,Afghanistan,2838.0,342.0,2409.0,4156.0,2007.0,May,252.0,7017,194.0,306.0,210.0,183.0
169,UK,Afghanistan,2838.0,342.0,2409.0,4156.0,2007.0,June,210.0,7017,252.0,194.0,183.0,171.0
