,destination,Origin,applied,accepted,Rejected,decisions,Year,Month,Value,deaths,last_month,two_months_ago,next_month,two_months_later
50,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,April,2.0,1736,2.0,2.0,4.0,2.0
51,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,May,4.0,1736,2.0,2.0,2.0,1.0
52,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,June,2.0,1736,4.0,2.0,1.0,1.0
53,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,July,1.0,1736,2.0,4.0,1.0,1.0
54,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,August,1.0,1736,1.0,2.0,1.0,3.0
55,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,September,1.0,1736,1.0,1.0,3.0,4.0
56,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,October,3.0,1736,1.0,1.0,4.0,5.0
57,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,November,4.0,1736,3.0,1.0,5.0,4.0
58,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,December,5.0,1736,4.0,3.0,4.0,2.0
59,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,January,4.0,1736,5.0,4.0,2.0,2.0
60,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,March,2.0,1736,4.0,5.0,2.0,1.0
61,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,April,2.0,1736,2.0,4.0,1.0,2.0
62,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,May,1.0,1736,2.0,2.0,2.0,1.0
63,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,June,2.0,1736,1.0,2.0,1.0,2.0
64,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,July,1.0,1736,2.0,1.0,2.0,1.0
65,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,August,2.0,1736,1.0,2.0,1.0,2.0
66,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,September,1.0,1736,2.0,1.0,2.0,1.0
67,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,October,2.0,1736,1.0,2.0,1.0,2.0
68,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,November,1.0,1736,2.0,1.0,2.0,1.0
69,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,December,2.0,1736,1.0,2.0,1.0,3.0
118,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,January,1.0,4980,2.0,1.0,3.0,6.0
119,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,February,3.0,4980,1.0,2.0,6.0,3.0
120,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,April,6.0,4980,3.0,1.0,3.0,1.0
121,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,May,3.0,4980,6.0,3.0,1.0,5.0
122,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,June,1.0,4980,3.0,6.0,5.0,4.0
123,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,July,5.0,4980,1.0,3.0,4.0,4.0
124,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,August,4.0,4980,5.0,1.0,4.0,5.0
125,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,September,4.0,4980,4.0,5.0,5.0,6.0
126,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,October,5.0,4980,4.0,4.0,6.0,4.0
127,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,November,6.0,4980,5.0,4.0,4.0,1.0
128,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,December,4.0,4980,6.0,5.0,1.0,2.0
129,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,January,1.0,4980,4.0,6.0,2.0,2.0
130,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,February,2.0,4980,1.0,4.0,2.0,1.0
131,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,March,2.0,4980,2.0,1.0,1.0,2.0
132,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,April,1.0,4980,2.0,2.0,2.0,8.0
133,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,May,2.0,4980,1.0,2.0,8.0,2.0
134,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,June,8.0,4980,2.0,1.0,2.0,1.0
135,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,August,2.0,4980,8.0,2.0,1.0,3.0
136,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,September,1.0,4980,2.0,8.0,3.0,7.0
137,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,October,3.0,4980,1.0,2.0,7.0,2.0
138,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,November,7.0,4980,3.0,1.0,2.0,6.0
139,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,December,2.0,4980,7.0,3.0,6.0,9.0
188,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,January,6.0,7017,2.0,7.0,9.0,1.0
189,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,February,9.0,7017,6.0,2.0,1.0,6.0
190,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,March,1.0,7017,9.0,6.0,6.0,14.0
191,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,April,6.0,7017,1.0,9.0,14.0,4.0
192,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,May,14.0,7017,6.0,1.0,4.0,5.0
193,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,June,4.0,7017,14.0,6.0,5.0,10.0
194,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,July,5.0,7017,4.0,14.0,10.0,2.0
195,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,August,10.0,7017,5.0,4.0,2.0,6.0
196,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,September,2.0,7017,10.0,5.0,6.0,3.0
197,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,October,6.0,7017,2.0,10.0,3.0,4.0
198,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,November,3.0,7017,6.0,2.0,4.0,3.0
199,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,December,4.0,7017,3.0,6.0,3.0,1.0
200,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,January,3.0,7017,4.0,3.0,1.0,2.0
201,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,February,1.0,7017,3.0,4.0,2.0,3.0
202,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,March,2.0,7017,1.0,3.0,3.0,1.0
203,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,April,3.0,7017,2.0,1.0,1.0,4.0
204,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,May,1.0,7017,3.0,2.0,4.0,2.0
205,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,June,4.0,7017,1.0,3.0,2.0,2.0
206,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,July,2.0,7017,4.0,1.0,2.0,1.0
207,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,August,2.0,7017,2.0,4.0,1.0,6.0
208,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,September,1.0,7017,2.0,2.0,6.0,4.0
209,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,October,6.0,7017,1.0,2.0,4.0,2.0
210,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,November,4.0,7017,6.0,1.0,2.0,4.0
211,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,December,2.0,7017,4.0,6.0,4.0,2.0
272,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,January,4.0,5945,2.0,4.0,2.0,6.0
273,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,February,2.0,5945,4.0,2.0,6.0,4.0
274,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,March,6.0,5945,2.0,4.0,4.0,5.0
275,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,April,4.0,5945,6.0,2.0,5.0,1.0
276,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,May,5.0,5945,4.0,6.0,1.0,7.0
277,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,June,1.0,5945,5.0,4.0,7.0,13.0
278,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,July,7.0,5945,1.0,5.0,13.0,4.0
279,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,August,13.0,5945,7.0,1.0,4.0,4.0
280,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,September,4.0,5945,13.0,7.0,4.0,1.0
281,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,October,4.0,5945,4.0,13.0,1.0,2.0
282,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,November,1.0,5945,4.0,4.0,2.0,2.0
283,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,December,2.0,5945,1.0,4.0,2.0,2.0
284,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,March,2.0,5945,2.0,1.0,2.0,2.0
285,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,May,2.0,5945,2.0,2.0,2.0,3.0
286,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,June,2.0,5945,2.0,2.0,3.0,2.0
287,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,July,3.0,5945,2.0,2.0,2.0,3.0
288,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,August,2.0,5945,3.0,2.0,3.0,1.0
289,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,September,3.0,5945,2.0,3.0,1.0,5.0
290,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,October,1.0,5945,3.0,2.0,5.0,4.0
291,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,November,5.0,5945,1.0,3.0,4.0,7.0
352,USA,Afghanistan,101.0,71.0,8.0,116.0,2009.0,January,4.0,6831,5.0,1.0,7.0,3.0
353,USA,Afghanistan,101.0,71.0,8.0,116.0,2009.0,February,7.0,6831,4.0,5.0,3.0,6.0
354,USA,Afghanistan,101.0,71.0,8.0,116.0,2009.0,March,3.0,6831,7.0,4.0,6.0,9.0
355,USA,Afghanistan,101.0,71.0,8.0,116.0,2009.0,April,6.0,6831,3.0,7.0,9.0,8.0
356,USA,Afghanistan,101.0,71.0,8.0,116.0,2009.0,May,9.0,6831,6.0,3.0,8.0,9.0
357,USA,Afghanistan,101.0,71.0,8.0,116.0,2009.0,June,8.0,6831,9.0,6.0,9.0,9.0
358,USA,Afghanistan,101.0,71.0,8.0,116.0,2009.0,July,9.0,6831,8.0,9.0,9.0,8.0
359,USA,Afghanistan,101.0,71.0,8.0,116.0,2009.0,August,9.0,6831,9.0,8.0,8.0,12.0
360,USA,Afghanistan,101.0,71.0,8.0,116.0,2009.0,September,8.0,6831,9.0,9.0,12.0,9.0
361,USA,Afghanistan,101.0,71.0,8.0,116.0,2009.0,October,12.0,6831,8.0,9.0,9.0,10.0
362,USA,Afghanistan,101.0,71.0,8.0,116.0,2009.0,November,9.0,6831,12.0,8.0,10.0,3.0
363,USA,Afghanistan,101.0,71.0,8.0,116.0,2009.0,December,10.0,6831,9.0,12.0,3.0,3.0
364,USA,Afghanistan,101.0,71.0,8.0,116.0,2009.0,January,3.0,6831,10.0,9.0,3.0,3.0
365,USA,Afghanistan,101.0,71.0,8.0,116.0,2009.0,February,3.0,6831,3.0,10.0,3.0,2.0
366,USA,Afghanistan,101.0,71.0,8.0,116.0,2009.0,March,3.0,6831,3.0,3.0,2.0,4.0
367,USA,Afghanistan,101.0,71.0,8.0,116.0,2009.0,April,2.0,6831,3.0,3.0,4.0,7.0
368,USA,Afghanistan,101.0,71.0,8.0,116.0,2009.0,May,4.0,6831,2.0,3.0,7.0,2.0
369,USA,Afghanistan,101.0,71.0,8.0,116.0,2009.0,June,7.0,6831,4.0,2.0,2.0,1.0
370,USA,Afghanistan,101.0,71.0,8.0,116.0,2009.0,July,2.0,6831,7.0,4.0,1.0,3.0
371,USA,Afghanistan,101.0,71.0,8.0,116.0,2009.0,September,1.0,6831,2.0,7.0,3.0,8.0
372,USA,Afghanistan,101.0,71.0,8.0,116.0,2009.0,October,3.0,6831,1.0,2.0,8.0,7.0
