,destination,Origin,applied,accepted,Rejected,decisions,Year,Month,Value,deaths,last_month,two_months_ago,next_month,two_months_later
1332,Canada,DR_Congo,985.0,677.0,187.0,910.0,2000.0,March,83.0,1837,72.0,91.0,79.0,43.0
1333,Canada,DR_Congo,985.0,677.0,187.0,910.0,2000.0,April,79.0,1837,83.0,72.0,43.0,67.0
1334,Canada,DR_Congo,985.0,677.0,187.0,910.0,2000.0,May,43.0,1837,79.0,83.0,67.0,100.0
1335,Canada,DR_Congo,985.0,677.0,187.0,910.0,2000.0,June,67.0,1837,43.0,79.0,100.0,86.0
1336,Canada,DR_Congo,985.0,677.0,187.0,910.0,2000.0,July,100.0,1837,67.0,43.0,86.0,92.0
1337,Canada,DR_Congo,985.0,677.0,187.0,910.0,2000.0,August,86.0,1837,100.0,67.0,92.0,100.0
1338,Canada,DR_Congo,985.0,677.0,187.0,910.0,2000.0,September,92.0,1837,86.0,100.0,100.0,79.0
1339,Canada,DR_Congo,985.0,677.0,187.0,910.0,2000.0,October,100.0,1837,92.0,86.0,79.0,106.0
1340,Canada,DR_Congo,985.0,677.0,187.0,910.0,2000.0,November,79.0,1837,100.0,92.0,106.0,98.0
1341,Canada,DR_Congo,985.0,677.0,187.0,910.0,2000.0,December,106.0,1837,79.0,100.0,98.0,81.0
1399,Canada,DR_Congo,1245.0,569.0,177.0,801.0,2001.0,January,98.0,454,106.0,79.0,81.0,79.0
1400,Canada,DR_Congo,1245.0,569.0,177.0,801.0,2001.0,February,81.0,454,98.0,106.0,79.0,76.0
1401,Canada,DR_Congo,1245.0,569.0,177.0,801.0,2001.0,March,79.0,454,81.0,98.0,76.0,68.0
1402,Canada,DR_Congo,1245.0,569.0,177.0,801.0,2001.0,April,76.0,454,79.0,81.0,68.0,82.0
1403,Canada,DR_Congo,1245.0,569.0,177.0,801.0,2001.0,May,68.0,454,76.0,79.0,82.0,125.0
1404,Canada,DR_Congo,1245.0,569.0,177.0,801.0,2001.0,June,82.0,454,68.0,76.0,125.0,166.0
1405,Canada,DR_Congo,1245.0,569.0,177.0,801.0,2001.0,July,125.0,454,82.0,68.0,166.0,116.0
1406,Canada,DR_Congo,1245.0,569.0,177.0,801.0,2001.0,August,166.0,454,125.0,82.0,116.0,147.0
1407,Canada,DR_Congo,1245.0,569.0,177.0,801.0,2001.0,September,116.0,454,166.0,125.0,147.0,120.0
1408,Canada,DR_Congo,1245.0,569.0,177.0,801.0,2001.0,October,147.0,454,116.0,166.0,120.0,69.0
1409,Canada,DR_Congo,1245.0,569.0,177.0,801.0,2001.0,November,120.0,454,147.0,116.0,69.0,72.0
