,destination,Origin,applied,accepted,Rejected,decisions,Year,Month,Value,deaths,last_month,two_months_ago,next_month,two_months_later
1344,France,DR_Congo,3355.0,422.0,821.0,1243.0,2000.0,March,316.0,1837,314.0,295.0,214.0,205.0
1345,France,DR_Congo,3355.0,422.0,821.0,1243.0,2000.0,April,214.0,1837,316.0,314.0,205.0,206.0
1346,France,DR_Congo,3355.0,422.0,821.0,1243.0,2000.0,May,205.0,1837,214.0,316.0,206.0,213.0
1347,France,DR_Congo,3355.0,422.0,821.0,1243.0,2000.0,June,206.0,1837,205.0,214.0,213.0,227.0
1348,France,DR_Congo,3355.0,422.0,821.0,1243.0,2000.0,July,213.0,1837,206.0,205.0,227.0,183.0
1349,France,DR_Congo,3355.0,422.0,821.0,1243.0,2000.0,August,227.0,1837,213.0,206.0,183.0,252.0
1350,France,DR_Congo,3355.0,422.0,821.0,1243.0,2000.0,September,183.0,1837,227.0,213.0,252.0,229.0
1351,France,DR_Congo,3355.0,422.0,821.0,1243.0,2000.0,October,252.0,1837,183.0,227.0,229.0,249.0
1352,France,DR_Congo,3355.0,422.0,821.0,1243.0,2000.0,November,229.0,1837,252.0,183.0,249.0,268.0
1353,France,DR_Congo,3355.0,422.0,821.0,1243.0,2000.0,December,249.0,1837,229.0,252.0,268.0,330.0
1411,France,DR_Congo,5826.0,884.0,3667.0,4551.0,2001.0,January,268.0,454,249.0,229.0,330.0,395.0
1412,France,DR_Congo,5826.0,884.0,3667.0,4551.0,2001.0,February,330.0,454,268.0,249.0,395.0,349.0
1413,France,DR_Congo,5826.0,884.0,3667.0,4551.0,2001.0,March,395.0,454,330.0,268.0,349.0,333.0
1414,France,DR_Congo,5826.0,884.0,3667.0,4551.0,2001.0,April,349.0,454,395.0,330.0,333.0,280.0
1415,France,DR_Congo,5826.0,884.0,3667.0,4551.0,2001.0,May,333.0,454,349.0,395.0,280.0,295.0
1416,France,DR_Congo,5826.0,884.0,3667.0,4551.0,2001.0,June,280.0,454,333.0,349.0,295.0,255.0
1417,France,DR_Congo,5826.0,884.0,3667.0,4551.0,2001.0,July,295.0,454,280.0,333.0,255.0,256.0
1418,France,DR_Congo,5826.0,884.0,3667.0,4551.0,2001.0,August,255.0,454,295.0,280.0,256.0,332.0
1419,France,DR_Congo,5826.0,884.0,3667.0,4551.0,2001.0,September,256.0,454,255.0,295.0,332.0,357.0
1420,France,DR_Congo,5826.0,884.0,3667.0,4551.0,2001.0,October,332.0,454,256.0,255.0,357.0,329.0
1421,France,DR_Congo,5826.0,884.0,3667.0,4551.0,2001.0,November,357.0,454,332.0,256.0,329.0,339.0
1422,France,DR_Congo,5826.0,884.0,3667.0,4551.0,2001.0,December,329.0,454,357.0,332.0,339.0,396.0
1480,France,DR_Congo,8757.0,1425.0,6083.0,7508.0,2002.0,January,339.0,1281,329.0,357.0,396.0,477.0
1481,France,DR_Congo,8757.0,1425.0,6083.0,7508.0,2002.0,February,396.0,1281,339.0,329.0,477.0,444.0
1482,France,DR_Congo,8757.0,1425.0,6083.0,7508.0,2002.0,March,477.0,1281,396.0,339.0,444.0,451.0
1483,France,DR_Congo,8757.0,1425.0,6083.0,7508.0,2002.0,April,444.0,1281,477.0,396.0,451.0,453.0
