,destination,Origin,applied,accepted,Rejected,decisions,Year,Month,Value,deaths,last_month,two_months_ago,next_month,two_months_later
1368,Germany,DR_Congo,1411.0,67.0,727.0,1489.0,2000.0,March,64.0,1837,63.0,70.0,51.0,64.0
1369,Germany,DR_Congo,1411.0,67.0,727.0,1489.0,2000.0,April,51.0,1837,64.0,63.0,64.0,38.0
1370,Germany,DR_Congo,1411.0,67.0,727.0,1489.0,2000.0,May,64.0,1837,51.0,64.0,38.0,47.0
1371,Germany,DR_Congo,1411.0,67.0,727.0,1489.0,2000.0,June,38.0,1837,64.0,51.0,47.0,50.0
1372,Germany,DR_Congo,1411.0,67.0,727.0,1489.0,2000.0,July,47.0,1837,38.0,64.0,50.0,57.0
1373,Germany,DR_Congo,1411.0,67.0,727.0,1489.0,2000.0,August,50.0,1837,47.0,38.0,57.0,66.0
1374,Germany,DR_Congo,1411.0,67.0,727.0,1489.0,2000.0,September,57.0,1837,50.0,47.0,66.0,63.0
1375,Germany,DR_Congo,1411.0,67.0,727.0,1489.0,2000.0,October,66.0,1837,57.0,50.0,63.0,62.0
1376,Germany,DR_Congo,1411.0,67.0,727.0,1489.0,2000.0,November,63.0,1837,66.0,57.0,62.0,65.0
1377,Germany,DR_Congo,1411.0,67.0,727.0,1489.0,2000.0,December,62.0,1837,63.0,66.0,65.0,68.0
1435,Germany,DR_Congo,1174.0,86.0,351.0,759.0,2001.0,January,65.0,454,62.0,63.0,68.0,57.0
1436,Germany,DR_Congo,1174.0,86.0,351.0,759.0,2001.0,February,68.0,454,65.0,62.0,57.0,55.0
1437,Germany,DR_Congo,1174.0,86.0,351.0,759.0,2001.0,March,57.0,454,68.0,65.0,55.0,59.0
1438,Germany,DR_Congo,1174.0,86.0,351.0,759.0,2001.0,April,55.0,454,57.0,68.0,59.0,48.0
1439,Germany,DR_Congo,1174.0,86.0,351.0,759.0,2001.0,May,59.0,454,55.0,57.0,48.0,65.0
1440,Germany,DR_Congo,1174.0,86.0,351.0,759.0,2001.0,June,48.0,454,59.0,55.0,65.0,87.0
1441,Germany,DR_Congo,1174.0,86.0,351.0,759.0,2001.0,July,65.0,454,48.0,59.0,87.0,82.0
1442,Germany,DR_Congo,1174.0,86.0,351.0,759.0,2001.0,August,87.0,454,65.0,48.0,82.0,95.0
1443,Germany,DR_Congo,1174.0,86.0,351.0,759.0,2001.0,September,82.0,454,87.0,65.0,95.0,93.0
1444,Germany,DR_Congo,1174.0,86.0,351.0,759.0,2001.0,October,95.0,454,82.0,87.0,93.0,87.0
1445,Germany,DR_Congo,1174.0,86.0,351.0,759.0,2001.0,November,93.0,454,95.0,82.0,87.0,116.0
1446,Germany,DR_Congo,1174.0,86.0,351.0,759.0,2001.0,December,87.0,454,93.0,95.0,116.0,94.0
1504,Germany,DR_Congo,1349.0,44.0,663.0,1161.0,2002.0,January,116.0,1281,87.0,93.0,94.0,97.0
1505,Germany,DR_Congo,1349.0,44.0,663.0,1161.0,2002.0,February,94.0,1281,116.0,87.0,97.0,80.0
1506,Germany,DR_Congo,1349.0,44.0,663.0,1161.0,2002.0,March,97.0,1281,94.0,116.0,80.0,82.0
1507,Germany,DR_Congo,1349.0,44.0,663.0,1161.0,2002.0,April,80.0,1281,97.0,94.0,82.0,53.0
1508,Germany,DR_Congo,1349.0,44.0,663.0,1161.0,2002.0,May,82.0,1281,80.0,97.0,53.0,80.0
1509,Germany,DR_Congo,1349.0,44.0,663.0,1161.0,2002.0,June,53.0,1281,82.0,80.0,80.0,83.0
1510,Germany,DR_Congo,1349.0,44.0,663.0,1161.0,2002.0,July,80.0,1281,53.0,82.0,83.0,94.0
1511,Germany,DR_Congo,1349.0,44.0,663.0,1161.0,2002.0,August,83.0,1281,80.0,53.0,94.0,69.0
1512,Germany,DR_Congo,1349.0,44.0,663.0,1161.0,2002.0,September,94.0,1281,83.0,80.0,69.0,104.0
1513,Germany,DR_Congo,1349.0,44.0,663.0,1161.0,2002.0,October,69.0,1281,94.0,83.0,104.0,56.0
1514,Germany,DR_Congo,1349.0,44.0,663.0,1161.0,2002.0,November,104.0,1281,69.0,94.0,56.0,16.0
1515,Germany,DR_Congo,1349.0,44.0,663.0,1161.0,2002.0,December,56.0,1281,104.0,69.0,16.0,20.0
1573,Germany,DR_Congo,343.0,13.0,199.0,395.0,2006.0,January,16.0,182,56.0,104.0,20.0,34.0
1574,Germany,DR_Congo,343.0,13.0,199.0,395.0,2006.0,February,20.0,182,16.0,56.0,34.0,19.0
1575,Germany,DR_Congo,343.0,13.0,199.0,395.0,2006.0,March,34.0,182,20.0,16.0,19.0,19.0
1576,Germany,DR_Congo,343.0,13.0,199.0,395.0,2006.0,April,19.0,182,34.0,20.0,19.0,13.0
1577,Germany,DR_Congo,343.0,13.0,199.0,395.0,2006.0,May,19.0,182,19.0,34.0,13.0,23.0
1578,Germany,DR_Congo,343.0,13.0,199.0,395.0,2006.0,June,13.0,182,19.0,19.0,23.0,16.0
1579,Germany,DR_Congo,343.0,13.0,199.0,395.0,2006.0,July,23.0,182,13.0,19.0,16.0,17.0
1580,Germany,DR_Congo,343.0,13.0,199.0,395.0,2006.0,August,16.0,182,23.0,13.0,17.0,18.0
1581,Germany,DR_Congo,343.0,13.0,199.0,395.0,2006.0,September,17.0,182,16.0,23.0,18.0,11.0
1582,Germany,DR_Congo,343.0,13.0,199.0,395.0,2006.0,October,18.0,182,17.0,16.0,11.0,12.0
1583,Germany,DR_Congo,343.0,13.0,199.0,395.0,2006.0,November,11.0,182,18.0,17.0,12.0,12.0
1584,Germany,DR_Congo,343.0,13.0,199.0,395.0,2006.0,December,12.0,182,11.0,18.0,12.0,13.0
1641,Germany,DR_Congo,250.0,8.0,94.0,193.0,2007.0,January,12.0,632,12.0,11.0,13.0,20.0
1642,Germany,DR_Congo,250.0,8.0,94.0,193.0,2007.0,February,13.0,632,12.0,12.0,20.0,10.0
1643,Germany,DR_Congo,250.0,8.0,94.0,193.0,2007.0,March,20.0,632,13.0,12.0,10.0,11.0
1644,Germany,DR_Congo,250.0,8.0,94.0,193.0,2007.0,April,10.0,632,20.0,13.0,11.0,13.0
1645,Germany,DR_Congo,250.0,8.0,94.0,193.0,2007.0,May,11.0,632,10.0,20.0,13.0,18.0
1646,Germany,DR_Congo,250.0,8.0,94.0,193.0,2007.0,June,13.0,632,11.0,10.0,18.0,13.0
1647,Germany,DR_Congo,250.0,8.0,94.0,193.0,2007.0,July,18.0,632,13.0,11.0,13.0,15.0
1648,Germany,DR_Congo,250.0,8.0,94.0,193.0,2007.0,August,13.0,632,18.0,13.0,15.0,20.0
1649,Germany,DR_Congo,250.0,8.0,94.0,193.0,2007.0,September,15.0,632,13.0,18.0,20.0,19.0
1650,Germany,DR_Congo,250.0,8.0,94.0,193.0,2007.0,October,20.0,632,15.0,13.0,19.0,9.0
1651,Germany,DR_Congo,250.0,8.0,94.0,193.0,2007.0,November,19.0,632,20.0,15.0,9.0,17.0
1652,Germany,DR_Congo,250.0,8.0,94.0,193.0,2007.0,December,9.0,632,19.0,20.0,17.0,14.0
1710,Germany,DR_Congo,221.0,6.0,31.0,99.0,2008.0,January,17.0,736,9.0,19.0,14.0,7.0
1711,Germany,DR_Congo,221.0,6.0,31.0,99.0,2008.0,February,14.0,736,17.0,9.0,7.0,17.0
1712,Germany,DR_Congo,221.0,6.0,31.0,99.0,2008.0,March,7.0,736,14.0,17.0,17.0,11.0
1713,Germany,DR_Congo,221.0,6.0,31.0,99.0,2008.0,April,17.0,736,7.0,14.0,11.0,17.0
1714,Germany,DR_Congo,221.0,6.0,31.0,99.0,2008.0,May,11.0,736,17.0,7.0,17.0,14.0
1715,Germany,DR_Congo,221.0,6.0,31.0,99.0,2008.0,June,17.0,736,11.0,17.0,14.0,9.0
1716,Germany,DR_Congo,221.0,6.0,31.0,99.0,2008.0,July,14.0,736,17.0,11.0,9.0,11.0
1717,Germany,DR_Congo,221.0,6.0,31.0,99.0,2008.0,August,9.0,736,14.0,17.0,11.0,14.0
1718,Germany,DR_Congo,221.0,6.0,31.0,99.0,2008.0,September,11.0,736,9.0,14.0,14.0,24.0
1719,Germany,DR_Congo,221.0,6.0,31.0,99.0,2008.0,October,14.0,736,11.0,9.0,24.0,11.0
1720,Germany,DR_Congo,221.0,6.0,31.0,99.0,2008.0,November,24.0,736,14.0,11.0,11.0,10.0
1721,Germany,DR_Congo,221.0,6.0,31.0,99.0,2008.0,December,11.0,736,24.0,14.0,10.0,14.0
1789,Germany,DR_Congo,184.0,12.0,63.0,157.0,2009.0,January,10.0,1824,11.0,24.0,14.0,17.0
1790,Germany,DR_Congo,184.0,12.0,63.0,157.0,2009.0,February,14.0,1824,10.0,11.0,17.0,10.0
1791,Germany,DR_Congo,184.0,12.0,63.0,157.0,2009.0,March,17.0,1824,14.0,10.0,10.0,9.0
1792,Germany,DR_Congo,184.0,12.0,63.0,157.0,2009.0,April,10.0,1824,17.0,14.0,9.0,13.0
1793,Germany,DR_Congo,184.0,12.0,63.0,157.0,2009.0,May,9.0,1824,10.0,17.0,13.0,27.0
1794,Germany,DR_Congo,184.0,12.0,63.0,157.0,2009.0,June,13.0,1824,9.0,10.0,27.0,12.0
1795,Germany,DR_Congo,184.0,12.0,63.0,157.0,2009.0,July,27.0,1824,13.0,9.0,12.0,9.0
1796,Germany,DR_Congo,184.0,12.0,63.0,157.0,2009.0,August,12.0,1824,27.0,13.0,9.0,13.0
1797,Germany,DR_Congo,184.0,12.0,63.0,157.0,2009.0,September,9.0,1824,12.0,27.0,13.0,8.0
