,destination,Origin,applied,accepted,Rejected,decisions,Year,Month,Value,deaths,last_month,two_months_ago,next_month,two_months_later
1724,Italy,DR_Congo,51.0,15.0,14.0,45.0,2008.0,March,1.0,736,7.0,2.0,11.0,2.0
1725,Italy,DR_Congo,51.0,15.0,14.0,45.0,2008.0,April,11.0,736,1.0,7.0,2.0,1.0
1726,Italy,DR_Congo,51.0,15.0,14.0,45.0,2008.0,May,2.0,736,11.0,1.0,1.0,9.0
1727,Italy,DR_Congo,51.0,15.0,14.0,45.0,2008.0,June,1.0,736,2.0,11.0,9.0,10.0
1728,Italy,DR_Congo,51.0,15.0,14.0,45.0,2008.0,August,9.0,736,1.0,2.0,10.0,12.0
1729,Italy,DR_Congo,51.0,15.0,14.0,45.0,2008.0,September,10.0,736,9.0,1.0,12.0,8.0
1730,Italy,DR_Congo,51.0,15.0,14.0,45.0,2008.0,October,12.0,736,10.0,9.0,8.0,5.0
1731,Italy,DR_Congo,51.0,15.0,14.0,45.0,2008.0,December,8.0,736,12.0,10.0,5.0,5.0
1801,Italy,DR_Congo,54.0,27.0,11.0,49.0,2009.0,January,5.0,1824,8.0,12.0,5.0,5.0
1802,Italy,DR_Congo,54.0,27.0,11.0,49.0,2009.0,February,5.0,1824,5.0,8.0,5.0,5.0
1803,Italy,DR_Congo,54.0,27.0,11.0,49.0,2009.0,March,5.0,1824,5.0,5.0,5.0,5.0
1804,Italy,DR_Congo,54.0,27.0,11.0,49.0,2009.0,June,5.0,1824,5.0,5.0,5.0,5.0
1805,Italy,DR_Congo,54.0,27.0,11.0,49.0,2009.0,July,5.0,1824,5.0,5.0,5.0,10.0
1806,Italy,DR_Congo,54.0,27.0,11.0,49.0,2009.0,August,5.0,1824,5.0,5.0,10.0,5.0
1807,Italy,DR_Congo,54.0,27.0,11.0,49.0,2009.0,September,10.0,1824,5.0,5.0,5.0,5.0
1808,Italy,DR_Congo,54.0,27.0,11.0,49.0,2009.0,November,5.0,1824,10.0,5.0,5.0,1.0
1809,Italy,DR_Congo,54.0,27.0,11.0,49.0,2009.0,December,5.0,1824,5.0,10.0,1.0,7.0
1881,Italy,DR_Congo,57.0,16.0,26.0,50.0,2010.0,January,1.0,208,5.0,5.0,7.0,4.0
1882,Italy,DR_Congo,57.0,16.0,26.0,50.0,2010.0,February,7.0,208,1.0,5.0,4.0,3.0
1883,Italy,DR_Congo,57.0,16.0,26.0,50.0,2010.0,March,4.0,208,7.0,1.0,3.0,7.0
1884,Italy,DR_Congo,57.0,16.0,26.0,50.0,2010.0,April,3.0,208,4.0,7.0,7.0,8.0
1885,Italy,DR_Congo,57.0,16.0,26.0,50.0,2010.0,May,7.0,208,3.0,4.0,8.0,8.0
1886,Italy,DR_Congo,57.0,16.0,26.0,50.0,2010.0,June,8.0,208,7.0,3.0,8.0,7.0
1887,Italy,DR_Congo,57.0,16.0,26.0,50.0,2010.0,July,8.0,208,8.0,7.0,7.0,6.0
1888,Italy,DR_Congo,57.0,16.0,26.0,50.0,2010.0,September,7.0,208,8.0,8.0,6.0,5.0
1889,Italy,DR_Congo,57.0,16.0,26.0,50.0,2010.0,October,6.0,208,7.0,8.0,5.0,1.0
1890,Italy,DR_Congo,57.0,16.0,26.0,50.0,2010.0,November,5.0,208,6.0,7.0,1.0,3.0
1891,Italy,DR_Congo,57.0,16.0,26.0,50.0,2010.0,December,1.0,208,5.0,6.0,3.0,4.0
1961,Italy,DR_Congo,130.0,21.0,40.0,75.0,2011.0,January,3.0,157,1.0,5.0,4.0,2.0
1962,Italy,DR_Congo,130.0,21.0,40.0,75.0,2011.0,February,4.0,157,3.0,1.0,2.0,11.0
1963,Italy,DR_Congo,130.0,21.0,40.0,75.0,2011.0,March,2.0,157,4.0,3.0,11.0,29.0
1964,Italy,DR_Congo,130.0,21.0,40.0,75.0,2011.0,April,11.0,157,2.0,4.0,29.0,32.0
1965,Italy,DR_Congo,130.0,21.0,40.0,75.0,2011.0,May,29.0,157,11.0,2.0,32.0,9.0
1966,Italy,DR_Congo,130.0,21.0,40.0,75.0,2011.0,June,32.0,157,29.0,11.0,9.0,9.0
1967,Italy,DR_Congo,130.0,21.0,40.0,75.0,2011.0,July,9.0,157,32.0,29.0,9.0,11.0
1968,Italy,DR_Congo,130.0,21.0,40.0,75.0,2011.0,August,9.0,157,9.0,32.0,11.0,9.0
1969,Italy,DR_Congo,130.0,21.0,40.0,75.0,2011.0,September,11.0,157,9.0,9.0,9.0,6.0
1970,Italy,DR_Congo,130.0,21.0,40.0,75.0,2011.0,October,9.0,157,11.0,9.0,6.0,5.0
1971,Italy,DR_Congo,130.0,21.0,40.0,75.0,2011.0,November,6.0,157,9.0,11.0,5.0,6.0
1972,Italy,DR_Congo,130.0,21.0,40.0,75.0,2011.0,December,5.0,157,6.0,9.0,6.0,11.0
2042,Italy,DR_Congo,53.0,29.0,21.0,72.0,2012.0,January,6.0,786,5.0,6.0,11.0,4.0
2043,Italy,DR_Congo,53.0,29.0,21.0,72.0,2012.0,February,11.0,786,6.0,5.0,4.0,3.0
2044,Italy,DR_Congo,53.0,29.0,21.0,72.0,2012.0,March,4.0,786,11.0,6.0,3.0,5.0
2045,Italy,DR_Congo,53.0,29.0,21.0,72.0,2012.0,April,3.0,786,4.0,11.0,5.0,3.0
2046,Italy,DR_Congo,53.0,29.0,21.0,72.0,2012.0,May,5.0,786,3.0,4.0,3.0,3.0
2047,Italy,DR_Congo,53.0,29.0,21.0,72.0,2012.0,June,3.0,786,5.0,3.0,3.0,4.0
2048,Italy,DR_Congo,53.0,29.0,21.0,72.0,2012.0,July,3.0,786,3.0,5.0,4.0,3.0
2049,Italy,DR_Congo,53.0,29.0,21.0,72.0,2012.0,August,4.0,786,3.0,3.0,3.0,3.0
