,destination,Origin,applied,accepted,Rejected,decisions,Year,Month,Value,deaths,last_month,two_months_ago,next_month,two_months_later
1356,UK,DR_Congo,1030.0,145.0,610.0,2000.0,2000.0,March,105.0,1837,90.0,130.0,80.0,65.0
1357,UK,DR_Congo,1030.0,145.0,610.0,2000.0,2000.0,April,80.0,1837,105.0,90.0,65.0,55.0
1358,UK,DR_Congo,1030.0,145.0,610.0,2000.0,2000.0,May,65.0,1837,80.0,105.0,55.0,70.0
1359,UK,DR_Congo,1030.0,145.0,610.0,2000.0,2000.0,June,55.0,1837,65.0,80.0,70.0,65.0
1360,UK,DR_Congo,1030.0,145.0,610.0,2000.0,2000.0,July,70.0,1837,55.0,65.0,65.0,65.0
1361,UK,DR_Congo,1030.0,145.0,610.0,2000.0,2000.0,August,65.0,1837,70.0,55.0,65.0,75.0
1362,UK,DR_Congo,1030.0,145.0,610.0,2000.0,2000.0,September,65.0,1837,65.0,70.0,75.0,75.0
1363,UK,DR_Congo,1030.0,145.0,610.0,2000.0,2000.0,October,75.0,1837,65.0,65.0,75.0,80.0
1364,UK,DR_Congo,1030.0,145.0,610.0,2000.0,2000.0,November,75.0,1837,75.0,65.0,80.0,100.0
1365,UK,DR_Congo,1030.0,145.0,610.0,2000.0,2000.0,December,80.0,1837,75.0,75.0,100.0,100.0
1423,UK,DR_Congo,1395.0,310.0,1530.0,2430.0,2001.0,January,100.0,454,80.0,75.0,100.0,105.0
1424,UK,DR_Congo,1395.0,310.0,1530.0,2430.0,2001.0,February,100.0,454,100.0,80.0,105.0,95.0
1425,UK,DR_Congo,1395.0,310.0,1530.0,2430.0,2001.0,March,105.0,454,100.0,100.0,95.0,110.0
1426,UK,DR_Congo,1395.0,310.0,1530.0,2430.0,2001.0,April,95.0,454,105.0,100.0,110.0,105.0
1427,UK,DR_Congo,1395.0,310.0,1530.0,2430.0,2001.0,May,110.0,454,95.0,105.0,105.0,85.0
1428,UK,DR_Congo,1395.0,310.0,1530.0,2430.0,2001.0,June,105.0,454,110.0,95.0,85.0,105.0
1429,UK,DR_Congo,1395.0,310.0,1530.0,2430.0,2001.0,July,85.0,454,105.0,110.0,105.0,135.0
1430,UK,DR_Congo,1395.0,310.0,1530.0,2430.0,2001.0,August,105.0,454,85.0,105.0,135.0,160.0
1431,UK,DR_Congo,1395.0,310.0,1530.0,2430.0,2001.0,September,135.0,454,105.0,85.0,160.0,145.0
1432,UK,DR_Congo,1395.0,310.0,1530.0,2430.0,2001.0,October,160.0,454,135.0,105.0,145.0,125.0
