,destination,Origin,applied,accepted,Rejected,decisions,Year,Month,Value,deaths,last_month,two_months_ago,next_month,two_months_later
1380,USA,DR_Congo,324.0,193.0,122.0,366.0,2000.0,March,19.0,1837,16.0,27.0,27.0,19.0
1381,USA,DR_Congo,324.0,193.0,122.0,366.0,2000.0,April,27.0,1837,19.0,16.0,19.0,16.0
1382,USA,DR_Congo,324.0,193.0,122.0,366.0,2000.0,June,19.0,1837,27.0,19.0,16.0,18.0
1383,USA,DR_Congo,324.0,193.0,122.0,366.0,2000.0,July,16.0,1837,19.0,27.0,18.0,19.0
1384,USA,DR_Congo,324.0,193.0,122.0,366.0,2000.0,September,18.0,1837,16.0,19.0,19.0,19.0
1385,USA,DR_Congo,324.0,193.0,122.0,366.0,2000.0,October,19.0,1837,18.0,16.0,19.0,14.0
1386,USA,DR_Congo,324.0,193.0,122.0,366.0,2000.0,November,19.0,1837,19.0,18.0,14.0,4.0
1387,USA,DR_Congo,324.0,193.0,122.0,366.0,2000.0,December,14.0,1837,19.0,19.0,4.0,2.0
1388,USA,DR_Congo,324.0,193.0,122.0,366.0,2000.0,February,4.0,1837,14.0,19.0,2.0,2.0
1389,USA,DR_Congo,324.0,193.0,122.0,366.0,2000.0,March,2.0,1837,4.0,14.0,2.0,2.0
1390,USA,DR_Congo,324.0,193.0,122.0,366.0,2000.0,April,2.0,1837,2.0,4.0,2.0,4.0
1391,USA,DR_Congo,324.0,193.0,122.0,366.0,2000.0,May,2.0,1837,2.0,2.0,4.0,1.0
1392,USA,DR_Congo,324.0,193.0,122.0,366.0,2000.0,June,4.0,1837,2.0,2.0,1.0,3.0
1393,USA,DR_Congo,324.0,193.0,122.0,366.0,2000.0,July,1.0,1837,4.0,2.0,3.0,3.0
1394,USA,DR_Congo,324.0,193.0,122.0,366.0,2000.0,August,3.0,1837,1.0,4.0,3.0,4.0
1395,USA,DR_Congo,324.0,193.0,122.0,366.0,2000.0,September,3.0,1837,3.0,1.0,4.0,4.0
1396,USA,DR_Congo,324.0,193.0,122.0,366.0,2000.0,October,4.0,1837,3.0,3.0,4.0,3.0
