,destination,Origin,applied,accepted,Rejected,decisions,Year,Month,Value,deaths,last_month,two_months_ago,next_month,two_months_later
2451,Canada,Myanmar,11.0,13.0,2.0,15.0,2000.0,March,4.0,226,3.0,1.0,1.0,2.0
2452,Canada,Myanmar,11.0,13.0,2.0,15.0,2000.0,April,1.0,226,4.0,3.0,2.0,1.0
2453,Canada,Myanmar,11.0,13.0,2.0,15.0,2000.0,June,2.0,226,1.0,4.0,1.0,1.0
2454,Canada,Myanmar,11.0,13.0,2.0,15.0,2000.0,August,1.0,226,2.0,1.0,1.0,1.0
2455,Canada,Myanmar,11.0,13.0,2.0,15.0,2000.0,September,1.0,226,1.0,2.0,1.0,7.0
2456,Canada,Myanmar,11.0,13.0,2.0,15.0,2000.0,October,1.0,226,1.0,1.0,7.0,2.0
2499,Canada,Myanmar,23.0,9.0,3.0,13.0,2001.0,February,7.0,215,1.0,1.0,2.0,1.0
2500,Canada,Myanmar,23.0,9.0,3.0,13.0,2001.0,March,2.0,215,7.0,1.0,1.0,4.0
2501,Canada,Myanmar,23.0,9.0,3.0,13.0,2001.0,May,1.0,215,2.0,7.0,4.0,1.0
2502,Canada,Myanmar,23.0,9.0,3.0,13.0,2001.0,June,4.0,215,1.0,2.0,1.0,2.0
2503,Canada,Myanmar,23.0,9.0,3.0,13.0,2001.0,July,1.0,215,4.0,1.0,2.0,2.0
2504,Canada,Myanmar,23.0,9.0,3.0,13.0,2001.0,August,2.0,215,1.0,4.0,2.0,1.0
2505,Canada,Myanmar,23.0,9.0,3.0,13.0,2001.0,September,2.0,215,2.0,1.0,1.0,2.0
2506,Canada,Myanmar,23.0,9.0,3.0,13.0,2001.0,October,1.0,215,2.0,2.0,2.0,1.0
2507,Canada,Myanmar,23.0,9.0,3.0,13.0,2001.0,November,2.0,215,1.0,2.0,1.0,5.0
2508,Canada,Myanmar,23.0,9.0,3.0,13.0,2001.0,December,1.0,215,2.0,1.0,5.0,3.0
2555,Canada,Myanmar,49.0,10.0,2.0,17.0,2002.0,February,5.0,294,1.0,2.0,3.0,6.0
2556,Canada,Myanmar,49.0,10.0,2.0,17.0,2002.0,March,3.0,294,5.0,1.0,6.0,6.0
2557,Canada,Myanmar,49.0,10.0,2.0,17.0,2002.0,April,6.0,294,3.0,5.0,6.0,2.0
2558,Canada,Myanmar,49.0,10.0,2.0,17.0,2002.0,May,6.0,294,6.0,3.0,2.0,3.0
2559,Canada,Myanmar,49.0,10.0,2.0,17.0,2002.0,June,2.0,294,6.0,6.0,3.0,3.0
2560,Canada,Myanmar,49.0,10.0,2.0,17.0,2002.0,July,3.0,294,2.0,6.0,3.0,2.0
2561,Canada,Myanmar,49.0,10.0,2.0,17.0,2002.0,August,3.0,294,3.0,2.0,2.0,1.0
2562,Canada,Myanmar,49.0,10.0,2.0,17.0,2002.0,September,2.0,294,3.0,3.0,1.0,10.0
2563,Canada,Myanmar,49.0,10.0,2.0,17.0,2002.0,October,1.0,294,2.0,3.0,10.0,7.0
2564,Canada,Myanmar,49.0,10.0,2.0,17.0,2002.0,November,10.0,294,1.0,2.0,7.0,3.0
2565,Canada,Myanmar,49.0,10.0,2.0,17.0,2002.0,December,7.0,294,10.0,1.0,3.0,3.0
2608,Canada,Myanmar,15.0,24.0,9.0,34.0,2003.0,January,3.0,38,7.0,10.0,3.0,1.0
2609,Canada,Myanmar,15.0,24.0,9.0,34.0,2003.0,March,3.0,38,3.0,7.0,1.0,1.0
2610,Canada,Myanmar,15.0,24.0,9.0,34.0,2003.0,June,1.0,38,3.0,3.0,1.0,2.0
2611,Canada,Myanmar,15.0,24.0,9.0,34.0,2003.0,September,1.0,38,1.0,3.0,2.0,3.0
2612,Canada,Myanmar,15.0,24.0,9.0,34.0,2003.0,October,2.0,38,1.0,1.0,3.0,3.0
2613,Canada,Myanmar,15.0,24.0,9.0,34.0,2003.0,November,3.0,38,2.0,1.0,3.0,2.0
2614,Canada,Myanmar,15.0,24.0,9.0,34.0,2003.0,December,3.0,38,3.0,2.0,2.0,5.0
2671,Canada,Myanmar,31.0,22.0,1.0,26.0,2004.0,January,2.0,27,3.0,3.0,5.0,5.0
2672,Canada,Myanmar,31.0,22.0,1.0,26.0,2004.0,February,5.0,27,2.0,3.0,5.0,3.0
2673,Canada,Myanmar,31.0,22.0,1.0,26.0,2004.0,April,5.0,27,5.0,2.0,3.0,2.0
2674,Canada,Myanmar,31.0,22.0,1.0,26.0,2004.0,June,3.0,27,5.0,5.0,2.0,4.0
2675,Canada,Myanmar,31.0,22.0,1.0,26.0,2004.0,July,2.0,27,3.0,5.0,4.0,6.0
2676,Canada,Myanmar,31.0,22.0,1.0,26.0,2004.0,August,4.0,27,2.0,3.0,6.0,3.0
2677,Canada,Myanmar,31.0,22.0,1.0,26.0,2004.0,September,6.0,27,4.0,2.0,3.0,1.0
2678,Canada,Myanmar,31.0,22.0,1.0,26.0,2004.0,October,3.0,27,6.0,4.0,1.0,1.0
2679,Canada,Myanmar,31.0,22.0,1.0,26.0,2004.0,November,1.0,27,3.0,6.0,1.0,7.0
2737,Canada,Myanmar,32.0,38.0,2.0,41.0,2005.0,January,1.0,142,1.0,3.0,7.0,1.0
2738,Canada,Myanmar,32.0,38.0,2.0,41.0,2005.0,February,7.0,142,1.0,1.0,1.0,4.0
2739,Canada,Myanmar,32.0,38.0,2.0,41.0,2005.0,March,1.0,142,7.0,1.0,4.0,3.0
2740,Canada,Myanmar,32.0,38.0,2.0,41.0,2005.0,April,4.0,142,1.0,7.0,3.0,2.0
2741,Canada,Myanmar,32.0,38.0,2.0,41.0,2005.0,May,3.0,142,4.0,1.0,2.0,1.0
2742,Canada,Myanmar,32.0,38.0,2.0,41.0,2005.0,July,2.0,142,3.0,4.0,1.0,4.0
2743,Canada,Myanmar,32.0,38.0,2.0,41.0,2005.0,August,1.0,142,2.0,3.0,4.0,3.0
2744,Canada,Myanmar,32.0,38.0,2.0,41.0,2005.0,September,4.0,142,1.0,2.0,3.0,2.0
2745,Canada,Myanmar,32.0,38.0,2.0,41.0,2005.0,October,3.0,142,4.0,1.0,2.0,3.0
2746,Canada,Myanmar,32.0,38.0,2.0,41.0,2005.0,November,2.0,142,3.0,4.0,3.0,3.0
2747,Canada,Myanmar,32.0,38.0,2.0,41.0,2005.0,December,3.0,142,2.0,3.0,3.0,3.0
