,destination,Origin,applied,accepted,Rejected,decisions,Year,Month,Value,deaths,last_month,two_months_ago,next_month,two_months_later
2459,France,Myanmar,26.0,5.0,18.0,23.0,2000.0,March,1.0,226,2.0,2.0,2.0,1.0
2460,France,Myanmar,26.0,5.0,18.0,23.0,2000.0,May,2.0,226,1.0,2.0,1.0,4.0
2461,France,Myanmar,26.0,5.0,18.0,23.0,2000.0,August,1.0,226,2.0,1.0,4.0,2.0
2462,France,Myanmar,26.0,5.0,18.0,23.0,2000.0,September,4.0,226,1.0,2.0,2.0,3.0
2463,France,Myanmar,26.0,5.0,18.0,23.0,2000.0,November,2.0,226,4.0,1.0,3.0,2.0
2464,France,Myanmar,26.0,5.0,18.0,23.0,2000.0,December,3.0,226,2.0,4.0,2.0,1.0
2509,France,Myanmar,24.0,8.0,30.0,38.0,2001.0,January,2.0,215,3.0,2.0,1.0,3.0
2510,France,Myanmar,24.0,8.0,30.0,38.0,2001.0,February,1.0,215,2.0,3.0,3.0,3.0
2511,France,Myanmar,24.0,8.0,30.0,38.0,2001.0,March,3.0,215,1.0,2.0,3.0,1.0
2512,France,Myanmar,24.0,8.0,30.0,38.0,2001.0,April,3.0,215,3.0,1.0,1.0,2.0
2513,France,Myanmar,24.0,8.0,30.0,38.0,2001.0,May,1.0,215,3.0,3.0,2.0,3.0
2514,France,Myanmar,24.0,8.0,30.0,38.0,2001.0,July,2.0,215,1.0,3.0,3.0,2.0
2515,France,Myanmar,24.0,8.0,30.0,38.0,2001.0,August,3.0,215,2.0,1.0,2.0,2.0
2516,France,Myanmar,24.0,8.0,30.0,38.0,2001.0,September,2.0,215,3.0,2.0,2.0,6.0
2517,France,Myanmar,24.0,8.0,30.0,38.0,2001.0,November,2.0,215,2.0,3.0,6.0,1.0
2518,France,Myanmar,24.0,8.0,30.0,38.0,2001.0,December,6.0,215,2.0,2.0,1.0,1.0
2566,France,Myanmar,13.0,8.0,20.0,28.0,2002.0,February,1.0,294,6.0,2.0,1.0,1.0
2567,France,Myanmar,13.0,8.0,20.0,28.0,2002.0,March,1.0,294,1.0,6.0,1.0,1.0
2568,France,Myanmar,13.0,8.0,20.0,28.0,2002.0,May,1.0,294,1.0,1.0,1.0,2.0
2569,France,Myanmar,13.0,8.0,20.0,28.0,2002.0,June,1.0,294,1.0,1.0,2.0,1.0
2570,France,Myanmar,13.0,8.0,20.0,28.0,2002.0,August,2.0,294,1.0,1.0,1.0,1.0
2571,France,Myanmar,13.0,8.0,20.0,28.0,2002.0,September,1.0,294,2.0,1.0,1.0,2.0
2572,France,Myanmar,13.0,8.0,20.0,28.0,2002.0,October,1.0,294,1.0,2.0,2.0,1.0
2615,France,Myanmar,25.0,16.0,11.0,27.0,2003.0,February,2.0,38,1.0,1.0,1.0,4.0
2616,France,Myanmar,25.0,16.0,11.0,27.0,2003.0,March,1.0,38,2.0,1.0,4.0,1.0
2617,France,Myanmar,25.0,16.0,11.0,27.0,2003.0,April,4.0,38,1.0,2.0,1.0,2.0
2618,France,Myanmar,25.0,16.0,11.0,27.0,2003.0,June,1.0,38,4.0,1.0,2.0,3.0
2619,France,Myanmar,25.0,16.0,11.0,27.0,2003.0,July,2.0,38,1.0,4.0,3.0,1.0
2620,France,Myanmar,25.0,16.0,11.0,27.0,2003.0,August,3.0,38,2.0,1.0,1.0,2.0
2621,France,Myanmar,25.0,16.0,11.0,27.0,2003.0,October,1.0,38,3.0,2.0,2.0,2.0
2622,France,Myanmar,25.0,16.0,11.0,27.0,2003.0,November,2.0,38,1.0,3.0,2.0,5.0
2623,France,Myanmar,25.0,16.0,11.0,27.0,2003.0,December,2.0,38,2.0,1.0,5.0,1.0
2680,France,Myanmar,29.0,9.0,30.0,39.0,2004.0,January,5.0,27,2.0,2.0,1.0,3.0
2681,France,Myanmar,29.0,9.0,30.0,39.0,2004.0,February,1.0,27,5.0,2.0,3.0,4.0
2682,France,Myanmar,29.0,9.0,30.0,39.0,2004.0,March,3.0,27,1.0,5.0,4.0,3.0
2683,France,Myanmar,29.0,9.0,30.0,39.0,2004.0,April,4.0,27,3.0,1.0,3.0,4.0
2684,France,Myanmar,29.0,9.0,30.0,39.0,2004.0,May,3.0,27,4.0,3.0,4.0,1.0
2685,France,Myanmar,29.0,9.0,30.0,39.0,2004.0,June,4.0,27,3.0,4.0,1.0,1.0
2686,France,Myanmar,29.0,9.0,30.0,39.0,2004.0,July,1.0,27,4.0,3.0,1.0,1.0
2687,France,Myanmar,29.0,9.0,30.0,39.0,2004.0,September,1.0,27,1.0,4.0,1.0,2.0
2688,France,Myanmar,29.0,9.0,30.0,39.0,2004.0,October,1.0,27,1.0,1.0,2.0,3.0
2689,France,Myanmar,29.0,9.0,30.0,39.0,2004.0,November,2.0,27,1.0,1.0,3.0,2.0
2690,France,Myanmar,29.0,9.0,30.0,39.0,2004.0,December,3.0,27,2.0,1.0,2.0,2.0
