,destination,Origin,applied,accepted,Rejected,decisions,Year,Month,Value,deaths,last_month,two_months_ago,next_month,two_months_later
2467,Germany,Myanmar,139.0,43.0,46.0,90.0,2000.0,May,5.0,226,1.0,9.0,20.0,10.0
2468,Germany,Myanmar,139.0,43.0,46.0,90.0,2000.0,June,20.0,226,5.0,1.0,10.0,21.0
2469,Germany,Myanmar,139.0,43.0,46.0,90.0,2000.0,July,10.0,226,20.0,5.0,21.0,21.0
2470,Germany,Myanmar,139.0,43.0,46.0,90.0,2000.0,August,21.0,226,10.0,20.0,21.0,20.0
2471,Germany,Myanmar,139.0,43.0,46.0,90.0,2000.0,September,21.0,226,21.0,10.0,20.0,23.0
2472,Germany,Myanmar,139.0,43.0,46.0,90.0,2000.0,October,20.0,226,21.0,21.0,23.0,5.0
2473,Germany,Myanmar,139.0,43.0,46.0,90.0,2000.0,November,23.0,226,20.0,21.0,5.0,14.0
2474,Germany,Myanmar,139.0,43.0,46.0,90.0,2000.0,December,5.0,226,23.0,20.0,14.0,33.0
2519,Germany,Myanmar,116.0,126.0,12.0,146.0,2001.0,January,14.0,215,5.0,23.0,33.0,7.0
2520,Germany,Myanmar,116.0,126.0,12.0,146.0,2001.0,February,33.0,215,14.0,5.0,7.0,23.0
2521,Germany,Myanmar,116.0,126.0,12.0,146.0,2001.0,March,7.0,215,33.0,14.0,23.0,6.0
2522,Germany,Myanmar,116.0,126.0,12.0,146.0,2001.0,April,23.0,215,7.0,33.0,6.0,6.0
2523,Germany,Myanmar,116.0,126.0,12.0,146.0,2001.0,May,6.0,215,23.0,7.0,6.0,7.0
2524,Germany,Myanmar,116.0,126.0,12.0,146.0,2001.0,June,6.0,215,6.0,23.0,7.0,6.0
2525,Germany,Myanmar,116.0,126.0,12.0,146.0,2001.0,July,7.0,215,6.0,6.0,6.0,5.0
2526,Germany,Myanmar,116.0,126.0,12.0,146.0,2001.0,August,6.0,215,7.0,6.0,5.0,3.0
2527,Germany,Myanmar,116.0,126.0,12.0,146.0,2001.0,September,5.0,215,6.0,7.0,3.0,1.0
2528,Germany,Myanmar,116.0,126.0,12.0,146.0,2001.0,October,3.0,215,5.0,6.0,1.0,2.0
2529,Germany,Myanmar,116.0,126.0,12.0,146.0,2001.0,November,1.0,215,3.0,5.0,2.0,4.0
2530,Germany,Myanmar,116.0,126.0,12.0,146.0,2001.0,December,2.0,215,1.0,3.0,4.0,1.0
2573,Germany,Myanmar,60.0,25.0,16.0,50.0,2002.0,January,4.0,294,2.0,1.0,1.0,3.0
2574,Germany,Myanmar,60.0,25.0,16.0,50.0,2002.0,February,1.0,294,4.0,2.0,3.0,7.0
2575,Germany,Myanmar,60.0,25.0,16.0,50.0,2002.0,April,3.0,294,1.0,4.0,7.0,4.0
2576,Germany,Myanmar,60.0,25.0,16.0,50.0,2002.0,May,7.0,294,3.0,1.0,4.0,3.0
2577,Germany,Myanmar,60.0,25.0,16.0,50.0,2002.0,June,4.0,294,7.0,3.0,3.0,5.0
2578,Germany,Myanmar,60.0,25.0,16.0,50.0,2002.0,July,3.0,294,4.0,7.0,5.0,2.0
2579,Germany,Myanmar,60.0,25.0,16.0,50.0,2002.0,August,5.0,294,3.0,4.0,2.0,19.0
2580,Germany,Myanmar,60.0,25.0,16.0,50.0,2002.0,September,2.0,294,5.0,3.0,19.0,8.0
2581,Germany,Myanmar,60.0,25.0,16.0,50.0,2002.0,October,19.0,294,2.0,5.0,8.0,1.0
2582,Germany,Myanmar,60.0,25.0,16.0,50.0,2002.0,November,8.0,294,19.0,2.0,1.0,15.0
2583,Germany,Myanmar,60.0,25.0,16.0,50.0,2002.0,December,1.0,294,8.0,19.0,15.0,14.0
2636,Germany,Myanmar,103.0,18.0,61.0,89.0,2003.0,January,15.0,38,1.0,8.0,14.0,10.0
2637,Germany,Myanmar,103.0,18.0,61.0,89.0,2003.0,February,14.0,38,15.0,1.0,10.0,13.0
2638,Germany,Myanmar,103.0,18.0,61.0,89.0,2003.0,March,10.0,38,14.0,15.0,13.0,18.0
2639,Germany,Myanmar,103.0,18.0,61.0,89.0,2003.0,April,13.0,38,10.0,14.0,18.0,2.0
2640,Germany,Myanmar,103.0,18.0,61.0,89.0,2003.0,May,18.0,38,13.0,10.0,2.0,3.0
2641,Germany,Myanmar,103.0,18.0,61.0,89.0,2003.0,June,2.0,38,18.0,13.0,3.0,10.0
2642,Germany,Myanmar,103.0,18.0,61.0,89.0,2003.0,July,3.0,38,2.0,18.0,10.0,5.0
2643,Germany,Myanmar,103.0,18.0,61.0,89.0,2003.0,August,10.0,38,3.0,2.0,5.0,1.0
2644,Germany,Myanmar,103.0,18.0,61.0,89.0,2003.0,October,5.0,38,10.0,3.0,1.0,1.0
2645,Germany,Myanmar,103.0,18.0,61.0,89.0,2003.0,November,1.0,38,5.0,10.0,1.0,3.0
2646,Germany,Myanmar,103.0,18.0,61.0,89.0,2003.0,December,1.0,38,1.0,5.0,3.0,3.0
2703,Germany,Myanmar,56.0,11.0,66.0,92.0,2004.0,January,3.0,27,1.0,1.0,3.0,15.0
2704,Germany,Myanmar,56.0,11.0,66.0,92.0,2004.0,February,3.0,27,3.0,1.0,15.0,5.0
2705,Germany,Myanmar,56.0,11.0,66.0,92.0,2004.0,March,15.0,27,3.0,3.0,5.0,1.0
2706,Germany,Myanmar,56.0,11.0,66.0,92.0,2004.0,April,5.0,27,15.0,3.0,1.0,9.0
2707,Germany,Myanmar,56.0,11.0,66.0,92.0,2004.0,May,1.0,27,5.0,15.0,9.0,5.0
2708,Germany,Myanmar,56.0,11.0,66.0,92.0,2004.0,June,9.0,27,1.0,5.0,5.0,5.0
2709,Germany,Myanmar,56.0,11.0,66.0,92.0,2004.0,July,5.0,27,9.0,1.0,5.0,1.0
2710,Germany,Myanmar,56.0,11.0,66.0,92.0,2004.0,August,5.0,27,5.0,9.0,1.0,3.0
2711,Germany,Myanmar,56.0,11.0,66.0,92.0,2004.0,September,1.0,27,5.0,5.0,3.0,1.0
2712,Germany,Myanmar,56.0,11.0,66.0,92.0,2004.0,October,3.0,27,1.0,5.0,1.0,1.0
2713,Germany,Myanmar,56.0,11.0,66.0,92.0,2004.0,November,1.0,27,3.0,1.0,1.0,1.0
2714,Germany,Myanmar,56.0,11.0,66.0,92.0,2004.0,December,1.0,27,1.0,3.0,1.0,1.0
2767,Germany,Myanmar,54.0,12.0,18.0,38.0,2005.0,March,1.0,142,1.0,1.0,1.0,5.0
2768,Germany,Myanmar,54.0,12.0,18.0,38.0,2005.0,April,1.0,142,1.0,1.0,5.0,2.0
2769,Germany,Myanmar,54.0,12.0,18.0,38.0,2005.0,June,5.0,142,1.0,1.0,2.0,1.0
2770,Germany,Myanmar,54.0,12.0,18.0,38.0,2005.0,July,2.0,142,5.0,1.0,1.0,3.0
2771,Germany,Myanmar,54.0,12.0,18.0,38.0,2005.0,August,1.0,142,2.0,5.0,3.0,19.0
2772,Germany,Myanmar,54.0,12.0,18.0,38.0,2005.0,September,3.0,142,1.0,2.0,19.0,8.0
2773,Germany,Myanmar,54.0,12.0,18.0,38.0,2005.0,October,19.0,142,3.0,1.0,8.0,7.0
2774,Germany,Myanmar,54.0,12.0,18.0,38.0,2005.0,November,8.0,142,19.0,3.0,7.0,4.0
2830,Germany,Myanmar,135.0,136.0,2.0,145.0,2006.0,January,7.0,244,8.0,19.0,4.0,4.0
2831,Germany,Myanmar,135.0,136.0,2.0,145.0,2006.0,February,4.0,244,7.0,8.0,4.0,12.0
2832,Germany,Myanmar,135.0,136.0,2.0,145.0,2006.0,March,4.0,244,4.0,7.0,12.0,20.0
2833,Germany,Myanmar,135.0,136.0,2.0,145.0,2006.0,April,12.0,244,4.0,4.0,20.0,10.0
2834,Germany,Myanmar,135.0,136.0,2.0,145.0,2006.0,May,20.0,244,12.0,4.0,10.0,6.0
2835,Germany,Myanmar,135.0,136.0,2.0,145.0,2006.0,June,10.0,244,20.0,12.0,6.0,23.0
2836,Germany,Myanmar,135.0,136.0,2.0,145.0,2006.0,July,6.0,244,10.0,20.0,23.0,10.0
2837,Germany,Myanmar,135.0,136.0,2.0,145.0,2006.0,August,23.0,244,6.0,10.0,10.0,8.0
2838,Germany,Myanmar,135.0,136.0,2.0,145.0,2006.0,September,10.0,244,23.0,6.0,8.0,1.0
2839,Germany,Myanmar,135.0,136.0,2.0,145.0,2006.0,October,8.0,244,10.0,23.0,1.0,21.0
2840,Germany,Myanmar,135.0,136.0,2.0,145.0,2006.0,November,1.0,244,8.0,10.0,21.0,15.0
2841,Germany,Myanmar,135.0,136.0,2.0,145.0,2006.0,December,21.0,244,1.0,8.0,15.0,21.0
2896,Germany,Myanmar,132.0,99.0,34.0,137.0,2007.0,January,15.0,348,21.0,1.0,21.0,3.0
2897,Germany,Myanmar,132.0,99.0,34.0,137.0,2007.0,February,21.0,348,15.0,21.0,3.0,4.0
2898,Germany,Myanmar,132.0,99.0,34.0,137.0,2007.0,March,3.0,348,21.0,15.0,4.0,13.0
2899,Germany,Myanmar,132.0,99.0,34.0,137.0,2007.0,April,4.0,348,3.0,21.0,13.0,19.0
