,destination,Origin,applied,accepted,Rejected,decisions,Year,Month,Value,deaths,last_month,two_months_ago,next_month,two_months_later
2975,Italy,Myanmar,7.0,4.0,1.0,6.0,2008.0,May,3.0,64,2.0,3.0,1.0,2.0
2976,Italy,Myanmar,7.0,4.0,1.0,6.0,2008.0,June,1.0,64,3.0,2.0,2.0,2.0
2977,Italy,Myanmar,7.0,4.0,1.0,6.0,2008.0,July,2.0,64,1.0,3.0,2.0,4.0
2978,Italy,Myanmar,7.0,4.0,1.0,6.0,2008.0,November,2.0,64,2.0,1.0,4.0,1.0
3110,Italy,Myanmar,6.0,6.0,1.0,7.0,2010.0,February,4.0,157,2.0,2.0,1.0,1.0
3111,Italy,Myanmar,6.0,6.0,1.0,7.0,2010.0,May,1.0,157,4.0,2.0,1.0,1.0
3112,Italy,Myanmar,6.0,6.0,1.0,7.0,2010.0,November,1.0,157,1.0,4.0,1.0,1.0
3176,Italy,Myanmar,2.0,1.0,1.0,2.0,2011.0,September,1.0,713,1.0,1.0,1.0,1.0
3177,Italy,Myanmar,2.0,1.0,1.0,2.0,2011.0,December,1.0,713,1.0,1.0,1.0,1.0
3235,Italy,Myanmar,4.0,0.0,0.0,0.0,2012.0,April,1.0,702,1.0,1.0,1.0,2.0
3236,Italy,Myanmar,4.0,0.0,0.0,0.0,2012.0,May,1.0,702,1.0,1.0,2.0,1.0
3237,Italy,Myanmar,4.0,0.0,0.0,0.0,2012.0,October,2.0,702,1.0,1.0,1.0,1.0
3298,Italy,Myanmar,6.0,3.0,0.0,4.0,2014.0,January,1.0,187,2.0,1.0,1.0,1.0
3299,Italy,Myanmar,6.0,3.0,0.0,4.0,2014.0,May,1.0,187,1.0,2.0,1.0,2.0
3300,Italy,Myanmar,6.0,3.0,0.0,4.0,2014.0,October,1.0,187,1.0,1.0,2.0,1.0
3301,Italy,Myanmar,6.0,3.0,0.0,4.0,2014.0,November,2.0,187,1.0,1.0,1.0,1.0
3302,Italy,Myanmar,6.0,3.0,0.0,4.0,2014.0,December,1.0,187,2.0,1.0,1.0,1.0
3349,Italy,Myanmar,5.0,5.0,0.0,8.0,2015.0,January,1.0,630,1.0,2.0,1.0,1.0
3350,Italy,Myanmar,5.0,5.0,0.0,8.0,2015.0,February,1.0,630,1.0,1.0,1.0,1.0
3351,Italy,Myanmar,5.0,5.0,0.0,8.0,2015.0,March,1.0,630,1.0,1.0,1.0,1.0
3352,Italy,Myanmar,5.0,5.0,0.0,8.0,2015.0,August,1.0,630,1.0,1.0,1.0,1.0
3353,Italy,Myanmar,5.0,5.0,0.0,8.0,2015.0,December,1.0,630,1.0,1.0,1.0,1.0
