,destination,Origin,applied,accepted,Rejected,decisions,Year,Month,Value,deaths,last_month,two_months_ago,next_month,two_months_later
2626,UK,Myanmar,142.0,34.0,106.0,163.0,2003.0,March,12.0,38,5.0,14.0,16.0,17.0
2627,UK,Myanmar,142.0,34.0,106.0,163.0,2003.0,April,16.0,38,12.0,5.0,17.0,16.0
2628,UK,Myanmar,142.0,34.0,106.0,163.0,2003.0,May,17.0,38,16.0,12.0,16.0,21.0
2629,UK,Myanmar,142.0,34.0,106.0,163.0,2003.0,June,16.0,38,17.0,16.0,21.0,16.0
2630,UK,Myanmar,142.0,34.0,106.0,163.0,2003.0,July,21.0,38,16.0,17.0,16.0,9.0
2631,UK,Myanmar,142.0,34.0,106.0,163.0,2003.0,August,16.0,38,21.0,16.0,9.0,6.0
2632,UK,Myanmar,142.0,34.0,106.0,163.0,2003.0,September,9.0,38,16.0,21.0,6.0,4.0
2633,UK,Myanmar,142.0,34.0,106.0,163.0,2003.0,October,6.0,38,9.0,16.0,4.0,6.0
2634,UK,Myanmar,142.0,34.0,106.0,163.0,2003.0,November,4.0,38,6.0,9.0,6.0,3.0
2635,UK,Myanmar,142.0,34.0,106.0,163.0,2003.0,December,6.0,38,4.0,6.0,3.0,4.0
2691,UK,Myanmar,66.0,18.0,82.0,108.0,2004.0,January,3.0,27,6.0,4.0,4.0,5.0
2692,UK,Myanmar,66.0,18.0,82.0,108.0,2004.0,February,4.0,27,3.0,6.0,5.0,5.0
2693,UK,Myanmar,66.0,18.0,82.0,108.0,2004.0,March,5.0,27,4.0,3.0,5.0,4.0
2694,UK,Myanmar,66.0,18.0,82.0,108.0,2004.0,April,5.0,27,5.0,4.0,4.0,10.0
2695,UK,Myanmar,66.0,18.0,82.0,108.0,2004.0,May,4.0,27,5.0,5.0,10.0,7.0
2696,UK,Myanmar,66.0,18.0,82.0,108.0,2004.0,June,10.0,27,4.0,5.0,7.0,4.0
2697,UK,Myanmar,66.0,18.0,82.0,108.0,2004.0,July,7.0,27,10.0,4.0,4.0,3.0
2698,UK,Myanmar,66.0,18.0,82.0,108.0,2004.0,August,4.0,27,7.0,10.0,3.0,5.0
2699,UK,Myanmar,66.0,18.0,82.0,108.0,2004.0,September,3.0,27,4.0,7.0,5.0,7.0
2700,UK,Myanmar,66.0,18.0,82.0,108.0,2004.0,October,5.0,27,3.0,4.0,7.0,9.0
2701,UK,Myanmar,66.0,18.0,82.0,108.0,2004.0,November,7.0,27,5.0,3.0,9.0,8.0
2702,UK,Myanmar,66.0,18.0,82.0,108.0,2004.0,December,9.0,27,7.0,5.0,8.0,3.0
2755,UK,Myanmar,73.0,24.0,38.0,69.0,2005.0,January,8.0,142,9.0,7.0,3.0,5.0
2756,UK,Myanmar,73.0,24.0,38.0,69.0,2005.0,February,3.0,142,8.0,9.0,5.0,7.0
2757,UK,Myanmar,73.0,24.0,38.0,69.0,2005.0,March,5.0,142,3.0,8.0,7.0,5.0
2758,UK,Myanmar,73.0,24.0,38.0,69.0,2005.0,April,7.0,142,5.0,3.0,5.0,1.0
2759,UK,Myanmar,73.0,24.0,38.0,69.0,2005.0,May,5.0,142,7.0,5.0,1.0,7.0
2760,UK,Myanmar,73.0,24.0,38.0,69.0,2005.0,June,1.0,142,5.0,7.0,7.0,9.0
2761,UK,Myanmar,73.0,24.0,38.0,69.0,2005.0,July,7.0,142,1.0,5.0,9.0,2.0
2762,UK,Myanmar,73.0,24.0,38.0,69.0,2005.0,August,9.0,142,7.0,1.0,2.0,10.0
2763,UK,Myanmar,73.0,24.0,38.0,69.0,2005.0,September,2.0,142,9.0,7.0,10.0,6.0
2764,UK,Myanmar,73.0,24.0,38.0,69.0,2005.0,October,10.0,142,2.0,9.0,6.0,10.0
2765,UK,Myanmar,73.0,24.0,38.0,69.0,2005.0,November,6.0,142,10.0,2.0,10.0,12.0
2766,UK,Myanmar,73.0,24.0,38.0,69.0,2005.0,December,10.0,142,6.0,10.0,12.0,2.0
2818,UK,Myanmar,88.0,29.0,43.0,79.0,2006.0,January,12.0,244,10.0,6.0,2.0,10.0
2819,UK,Myanmar,88.0,29.0,43.0,79.0,2006.0,February,2.0,244,12.0,10.0,10.0,3.0
2820,UK,Myanmar,88.0,29.0,43.0,79.0,2006.0,March,10.0,244,2.0,12.0,3.0,10.0
2821,UK,Myanmar,88.0,29.0,43.0,79.0,2006.0,April,3.0,244,10.0,2.0,10.0,10.0
2822,UK,Myanmar,88.0,29.0,43.0,79.0,2006.0,May,10.0,244,3.0,10.0,10.0,6.0
2823,UK,Myanmar,88.0,29.0,43.0,79.0,2006.0,June,10.0,244,10.0,3.0,6.0,8.0
2824,UK,Myanmar,88.0,29.0,43.0,79.0,2006.0,July,6.0,244,10.0,10.0,8.0,9.0
2825,UK,Myanmar,88.0,29.0,43.0,79.0,2006.0,August,8.0,244,6.0,10.0,9.0,4.0
2826,UK,Myanmar,88.0,29.0,43.0,79.0,2006.0,September,9.0,244,8.0,6.0,4.0,5.0
2827,UK,Myanmar,88.0,29.0,43.0,79.0,2006.0,October,4.0,244,9.0,8.0,5.0,7.0
2828,UK,Myanmar,88.0,29.0,43.0,79.0,2006.0,November,5.0,244,4.0,9.0,7.0,12.0
2829,UK,Myanmar,88.0,29.0,43.0,79.0,2006.0,December,7.0,244,5.0,4.0,12.0,9.0
2884,UK,Myanmar,226.0,111.0,62.0,200.0,2007.0,January,12.0,348,7.0,5.0,9.0,20.0
2885,UK,Myanmar,226.0,111.0,62.0,200.0,2007.0,February,9.0,348,12.0,7.0,20.0,19.0
2886,UK,Myanmar,226.0,111.0,62.0,200.0,2007.0,March,20.0,348,9.0,12.0,19.0,24.0
2887,UK,Myanmar,226.0,111.0,62.0,200.0,2007.0,April,19.0,348,20.0,9.0,24.0,24.0
2888,UK,Myanmar,226.0,111.0,62.0,200.0,2007.0,May,24.0,348,19.0,20.0,24.0,18.0
2889,UK,Myanmar,226.0,111.0,62.0,200.0,2007.0,June,24.0,348,24.0,19.0,18.0,24.0
2890,UK,Myanmar,226.0,111.0,62.0,200.0,2007.0,July,18.0,348,24.0,24.0,24.0,25.0
2891,UK,Myanmar,226.0,111.0,62.0,200.0,2007.0,August,24.0,348,18.0,24.0,25.0,21.0
2892,UK,Myanmar,226.0,111.0,62.0,200.0,2007.0,September,25.0,348,24.0,18.0,21.0,16.0
2893,UK,Myanmar,226.0,111.0,62.0,200.0,2007.0,October,21.0,348,25.0,24.0,16.0,14.0
2894,UK,Myanmar,226.0,111.0,62.0,200.0,2007.0,November,16.0,348,21.0,25.0,14.0,19.0
2895,UK,Myanmar,226.0,111.0,62.0,200.0,2007.0,December,14.0,348,16.0,21.0,19.0,17.0
2949,UK,Myanmar,209.0,119.0,57.0,203.0,2008.0,January,19.0,64,14.0,16.0,17.0,17.0
2950,UK,Myanmar,209.0,119.0,57.0,203.0,2008.0,February,17.0,64,19.0,14.0,17.0,19.0
