,destination,Origin,applied,accepted,Rejected,decisions,Year,Month,Value,deaths,last_month,two_months_ago,next_month,two_months_later
2477,USA,Myanmar,808.0,388.0,173.0,674.0,2000.0,March,40.0,226,35.0,24.0,37.0,31.0
2478,USA,Myanmar,808.0,388.0,173.0,674.0,2000.0,April,37.0,226,40.0,35.0,31.0,53.0
2479,USA,Myanmar,808.0,388.0,173.0,674.0,2000.0,May,31.0,226,37.0,40.0,53.0,45.0
2480,USA,Myanmar,808.0,388.0,173.0,674.0,2000.0,June,53.0,226,31.0,37.0,45.0,100.0
2481,USA,Myanmar,808.0,388.0,173.0,674.0,2000.0,July,45.0,226,53.0,31.0,100.0,134.0
2482,USA,Myanmar,808.0,388.0,173.0,674.0,2000.0,August,100.0,226,45.0,53.0,134.0,83.0
2483,USA,Myanmar,808.0,388.0,173.0,674.0,2000.0,September,134.0,226,100.0,45.0,83.0,149.0
2484,USA,Myanmar,808.0,388.0,173.0,674.0,2000.0,October,83.0,226,134.0,100.0,149.0,221.0
2485,USA,Myanmar,808.0,388.0,173.0,674.0,2000.0,November,149.0,226,83.0,134.0,221.0,2.0
2486,USA,Myanmar,808.0,388.0,173.0,674.0,2000.0,December,221.0,226,149.0,83.0,2.0,1.0
2487,USA,Myanmar,808.0,388.0,173.0,674.0,2000.0,January,2.0,226,221.0,149.0,1.0,5.0
2488,USA,Myanmar,808.0,388.0,173.0,674.0,2000.0,February,1.0,226,2.0,221.0,5.0,6.0
2489,USA,Myanmar,808.0,388.0,173.0,674.0,2000.0,March,5.0,226,1.0,2.0,6.0,5.0
2490,USA,Myanmar,808.0,388.0,173.0,674.0,2000.0,April,6.0,226,5.0,1.0,5.0,2.0
2491,USA,Myanmar,808.0,388.0,173.0,674.0,2000.0,May,5.0,226,6.0,5.0,2.0,4.0
2492,USA,Myanmar,808.0,388.0,173.0,674.0,2000.0,June,2.0,226,5.0,6.0,4.0,8.0
2493,USA,Myanmar,808.0,388.0,173.0,674.0,2000.0,July,4.0,226,2.0,5.0,8.0,1.0
2494,USA,Myanmar,808.0,388.0,173.0,674.0,2000.0,August,8.0,226,4.0,2.0,1.0,9.0
2495,USA,Myanmar,808.0,388.0,173.0,674.0,2000.0,September,1.0,226,8.0,4.0,9.0,2.0
2496,USA,Myanmar,808.0,388.0,173.0,674.0,2000.0,October,9.0,226,1.0,8.0,2.0,11.0
2497,USA,Myanmar,808.0,388.0,173.0,674.0,2000.0,November,2.0,226,9.0,1.0,11.0,257.0
2498,USA,Myanmar,808.0,388.0,173.0,674.0,2000.0,December,11.0,226,2.0,9.0,257.0,277.0
2531,USA,Myanmar,1675.0,1358.0,214.0,1731.0,2001.0,January,257.0,215,11.0,2.0,277.0,77.0
2532,USA,Myanmar,1675.0,1358.0,214.0,1731.0,2001.0,February,277.0,215,257.0,11.0,77.0,53.0
2533,USA,Myanmar,1675.0,1358.0,214.0,1731.0,2001.0,March,77.0,215,277.0,257.0,53.0,70.0
2534,USA,Myanmar,1675.0,1358.0,214.0,1731.0,2001.0,April,53.0,215,77.0,277.0,70.0,64.0
2535,USA,Myanmar,1675.0,1358.0,214.0,1731.0,2001.0,May,70.0,215,53.0,77.0,64.0,43.0
2536,USA,Myanmar,1675.0,1358.0,214.0,1731.0,2001.0,June,64.0,215,70.0,53.0,43.0,68.0
2537,USA,Myanmar,1675.0,1358.0,214.0,1731.0,2001.0,July,43.0,215,64.0,70.0,68.0,67.0
2538,USA,Myanmar,1675.0,1358.0,214.0,1731.0,2001.0,August,68.0,215,43.0,64.0,67.0,36.0
2539,USA,Myanmar,1675.0,1358.0,214.0,1731.0,2001.0,September,67.0,215,68.0,43.0,36.0,71.0
2540,USA,Myanmar,1675.0,1358.0,214.0,1731.0,2001.0,October,36.0,215,67.0,68.0,71.0,65.0
2541,USA,Myanmar,1675.0,1358.0,214.0,1731.0,2001.0,November,71.0,215,36.0,67.0,65.0,27.0
2542,USA,Myanmar,1675.0,1358.0,214.0,1731.0,2001.0,December,65.0,215,71.0,36.0,27.0,30.0
2543,USA,Myanmar,1675.0,1358.0,214.0,1731.0,2001.0,January,27.0,215,65.0,71.0,30.0,12.0
2544,USA,Myanmar,1675.0,1358.0,214.0,1731.0,2001.0,February,30.0,215,27.0,65.0,12.0,21.0
2545,USA,Myanmar,1675.0,1358.0,214.0,1731.0,2001.0,March,12.0,215,30.0,27.0,21.0,2.0
2546,USA,Myanmar,1675.0,1358.0,214.0,1731.0,2001.0,April,21.0,215,12.0,30.0,2.0,2.0
2547,USA,Myanmar,1675.0,1358.0,214.0,1731.0,2001.0,May,2.0,215,21.0,12.0,2.0,4.0
2548,USA,Myanmar,1675.0,1358.0,214.0,1731.0,2001.0,June,2.0,215,2.0,21.0,4.0,3.0
2549,USA,Myanmar,1675.0,1358.0,214.0,1731.0,2001.0,July,4.0,215,2.0,2.0,3.0,5.0
2550,USA,Myanmar,1675.0,1358.0,214.0,1731.0,2001.0,August,3.0,215,4.0,2.0,5.0,21.0
2551,USA,Myanmar,1675.0,1358.0,214.0,1731.0,2001.0,September,5.0,215,3.0,4.0,21.0,3.0
2552,USA,Myanmar,1675.0,1358.0,214.0,1731.0,2001.0,October,21.0,215,5.0,3.0,3.0,3.0
