,destination,Origin,applied,accepted,Rejected,decisions,Year,Month,Value,deaths,last_month,two_months_ago,next_month,two_months_later
3416,Canada,Sudan,376.0,227.0,39.0,282.0,2000.0,March,13.0,2841,17.0,29.0,10.0,28.0
3417,Canada,Sudan,376.0,227.0,39.0,282.0,2000.0,April,10.0,2841,13.0,17.0,28.0,23.0
3418,Canada,Sudan,376.0,227.0,39.0,282.0,2000.0,May,28.0,2841,10.0,13.0,23.0,54.0
3419,Canada,Sudan,376.0,227.0,39.0,282.0,2000.0,June,23.0,2841,28.0,10.0,54.0,58.0
3420,Canada,Sudan,376.0,227.0,39.0,282.0,2000.0,July,54.0,2841,23.0,28.0,58.0,53.0
3421,Canada,Sudan,376.0,227.0,39.0,282.0,2000.0,August,58.0,2841,54.0,23.0,53.0,60.0
3422,Canada,Sudan,376.0,227.0,39.0,282.0,2000.0,September,53.0,2841,58.0,54.0,60.0,21.0
3423,Canada,Sudan,376.0,227.0,39.0,282.0,2000.0,October,60.0,2841,53.0,58.0,21.0,13.0
3424,Canada,Sudan,376.0,227.0,39.0,282.0,2000.0,November,21.0,2841,60.0,53.0,13.0,46.0
3425,Canada,Sudan,376.0,227.0,39.0,282.0,2000.0,December,13.0,2841,21.0,60.0,46.0,20.0
3486,Canada,Sudan,402.0,241.0,52.0,324.0,2001.0,January,46.0,3597,13.0,21.0,20.0,35.0
3487,Canada,Sudan,402.0,241.0,52.0,324.0,2001.0,February,20.0,3597,46.0,13.0,35.0,9.0
3488,Canada,Sudan,402.0,241.0,52.0,324.0,2001.0,March,35.0,3597,20.0,46.0,9.0,14.0
3489,Canada,Sudan,402.0,241.0,52.0,324.0,2001.0,April,9.0,3597,35.0,20.0,14.0,38.0
3490,Canada,Sudan,402.0,241.0,52.0,324.0,2001.0,May,14.0,3597,9.0,35.0,38.0,55.0
3491,Canada,Sudan,402.0,241.0,52.0,324.0,2001.0,June,38.0,3597,14.0,9.0,55.0,43.0
3492,Canada,Sudan,402.0,241.0,52.0,324.0,2001.0,July,55.0,3597,38.0,14.0,43.0,53.0
3493,Canada,Sudan,402.0,241.0,52.0,324.0,2001.0,August,43.0,3597,55.0,38.0,53.0,30.0
3494,Canada,Sudan,402.0,241.0,52.0,324.0,2001.0,September,53.0,3597,43.0,55.0,30.0,26.0
3495,Canada,Sudan,402.0,241.0,52.0,324.0,2001.0,October,30.0,3597,53.0,43.0,26.0,12.0
3496,Canada,Sudan,402.0,241.0,52.0,324.0,2001.0,November,26.0,3597,30.0,53.0,12.0,12.0
3497,Canada,Sudan,402.0,241.0,52.0,324.0,2001.0,December,12.0,3597,26.0,30.0,12.0,20.0
3558,Canada,Sudan,189.0,244.0,57.0,330.0,2002.0,January,12.0,3107,12.0,26.0,20.0,9.0
3559,Canada,Sudan,189.0,244.0,57.0,330.0,2002.0,February,20.0,3107,12.0,12.0,9.0,8.0
3560,Canada,Sudan,189.0,244.0,57.0,330.0,2002.0,March,9.0,3107,20.0,12.0,8.0,10.0
3561,Canada,Sudan,189.0,244.0,57.0,330.0,2002.0,April,8.0,3107,9.0,20.0,10.0,24.0
3562,Canada,Sudan,189.0,244.0,57.0,330.0,2002.0,May,10.0,3107,8.0,9.0,24.0,18.0
3563,Canada,Sudan,189.0,244.0,57.0,330.0,2002.0,June,24.0,3107,10.0,8.0,18.0,15.0
3564,Canada,Sudan,189.0,244.0,57.0,330.0,2002.0,July,18.0,3107,24.0,10.0,15.0,13.0
3565,Canada,Sudan,189.0,244.0,57.0,330.0,2002.0,August,15.0,3107,18.0,24.0,13.0,19.0
3566,Canada,Sudan,189.0,244.0,57.0,330.0,2002.0,September,13.0,3107,15.0,18.0,19.0,8.0
3567,Canada,Sudan,189.0,244.0,57.0,330.0,2002.0,October,19.0,3107,13.0,15.0,8.0,14.0
3568,Canada,Sudan,189.0,244.0,57.0,330.0,2002.0,November,8.0,3107,19.0,13.0,14.0,7.0
3569,Canada,Sudan,189.0,244.0,57.0,330.0,2002.0,December,14.0,3107,8.0,19.0,7.0,10.0
3630,Canada,Sudan,128.0,203.0,31.0,271.0,2003.0,January,7.0,2641,14.0,8.0,10.0,7.0
3631,Canada,Sudan,128.0,203.0,31.0,271.0,2003.0,February,10.0,2641,7.0,14.0,7.0,5.0
3632,Canada,Sudan,128.0,203.0,31.0,271.0,2003.0,March,7.0,2641,10.0,7.0,5.0,7.0
3633,Canada,Sudan,128.0,203.0,31.0,271.0,2003.0,April,5.0,2641,7.0,10.0,7.0,14.0
3634,Canada,Sudan,128.0,203.0,31.0,271.0,2003.0,May,7.0,2641,5.0,7.0,14.0,6.0
3635,Canada,Sudan,128.0,203.0,31.0,271.0,2003.0,June,14.0,2641,7.0,5.0,6.0,9.0
3636,Canada,Sudan,128.0,203.0,31.0,271.0,2003.0,July,6.0,2641,14.0,7.0,9.0,8.0
3637,Canada,Sudan,128.0,203.0,31.0,271.0,2003.0,August,9.0,2641,6.0,14.0,8.0,26.0
3638,Canada,Sudan,128.0,203.0,31.0,271.0,2003.0,September,8.0,2641,9.0,6.0,26.0,14.0
3639,Canada,Sudan,128.0,203.0,31.0,271.0,2003.0,October,26.0,2641,8.0,9.0,14.0,5.0
3640,Canada,Sudan,128.0,203.0,31.0,271.0,2003.0,November,14.0,2641,26.0,8.0,5.0,6.0
3641,Canada,Sudan,128.0,203.0,31.0,271.0,2003.0,December,5.0,2641,14.0,26.0,6.0,7.0
3699,Canada,Sudan,67.0,81.0,30.0,116.0,2004.0,January,6.0,4888,5.0,14.0,7.0,5.0
3700,Canada,Sudan,67.0,81.0,30.0,116.0,2004.0,February,7.0,4888,6.0,5.0,5.0,4.0
3701,Canada,Sudan,67.0,81.0,30.0,116.0,2004.0,March,5.0,4888,7.0,6.0,4.0,7.0
3702,Canada,Sudan,67.0,81.0,30.0,116.0,2004.0,April,4.0,4888,5.0,7.0,7.0,9.0
3703,Canada,Sudan,67.0,81.0,30.0,116.0,2004.0,May,7.0,4888,4.0,5.0,9.0,3.0
3704,Canada,Sudan,67.0,81.0,30.0,116.0,2004.0,June,9.0,4888,7.0,4.0,3.0,8.0
3705,Canada,Sudan,67.0,81.0,30.0,116.0,2004.0,July,3.0,4888,9.0,7.0,8.0,5.0
3706,Canada,Sudan,67.0,81.0,30.0,116.0,2004.0,August,8.0,4888,3.0,9.0,5.0,7.0
3707,Canada,Sudan,67.0,81.0,30.0,116.0,2004.0,September,5.0,4888,8.0,3.0,7.0,5.0
3708,Canada,Sudan,67.0,81.0,30.0,116.0,2004.0,October,7.0,4888,5.0,8.0,5.0,3.0
3709,Canada,Sudan,67.0,81.0,30.0,116.0,2004.0,November,5.0,4888,7.0,5.0,3.0,4.0
3710,Canada,Sudan,67.0,81.0,30.0,116.0,2004.0,December,3.0,4888,5.0,7.0,4.0,3.0
3766,Canada,Sudan,44.0,48.0,13.0,68.0,2005.0,January,4.0,856,3.0,5.0,3.0,2.0
3767,Canada,Sudan,44.0,48.0,13.0,68.0,2005.0,February,3.0,856,4.0,3.0,2.0,2.0
3768,Canada,Sudan,44.0,48.0,13.0,68.0,2005.0,March,2.0,856,3.0,4.0,2.0,3.0
3769,Canada,Sudan,44.0,48.0,13.0,68.0,2005.0,April,2.0,856,2.0,3.0,3.0,1.0
3770,Canada,Sudan,44.0,48.0,13.0,68.0,2005.0,May,3.0,856,2.0,2.0,1.0,6.0
