,destination,Origin,applied,accepted,Rejected,decisions,Year,Month,Value,deaths,last_month,two_months_ago,next_month,two_months_later
3428,France,Sudan,92.0,16.0,33.0,49.0,2000.0,March,17.0,2841,9.0,5.0,3.0,7.0
3429,France,Sudan,92.0,16.0,33.0,49.0,2000.0,April,3.0,2841,17.0,9.0,7.0,8.0
3430,France,Sudan,92.0,16.0,33.0,49.0,2000.0,May,7.0,2841,3.0,17.0,8.0,4.0
3431,France,Sudan,92.0,16.0,33.0,49.0,2000.0,June,8.0,2841,7.0,3.0,4.0,8.0
3432,France,Sudan,92.0,16.0,33.0,49.0,2000.0,July,4.0,2841,8.0,7.0,8.0,10.0
3433,France,Sudan,92.0,16.0,33.0,49.0,2000.0,August,8.0,2841,4.0,8.0,10.0,5.0
3434,France,Sudan,92.0,16.0,33.0,49.0,2000.0,September,10.0,2841,8.0,4.0,5.0,6.0
3435,France,Sudan,92.0,16.0,33.0,49.0,2000.0,October,5.0,2841,10.0,8.0,6.0,5.0
3436,France,Sudan,92.0,16.0,33.0,49.0,2000.0,November,6.0,2841,5.0,10.0,5.0,7.0
3437,France,Sudan,92.0,16.0,33.0,49.0,2000.0,December,5.0,2841,6.0,5.0,7.0,20.0
3498,France,Sudan,98.0,64.0,83.0,147.0,2001.0,January,7.0,3597,5.0,6.0,20.0,15.0
3499,France,Sudan,98.0,64.0,83.0,147.0,2001.0,February,20.0,3597,7.0,5.0,15.0,3.0
3500,France,Sudan,98.0,64.0,83.0,147.0,2001.0,March,15.0,3597,20.0,7.0,3.0,5.0
3501,France,Sudan,98.0,64.0,83.0,147.0,2001.0,April,3.0,3597,15.0,20.0,5.0,6.0
3502,France,Sudan,98.0,64.0,83.0,147.0,2001.0,May,5.0,3597,3.0,15.0,6.0,3.0
3503,France,Sudan,98.0,64.0,83.0,147.0,2001.0,June,6.0,3597,5.0,3.0,3.0,3.0
3504,France,Sudan,98.0,64.0,83.0,147.0,2001.0,July,3.0,3597,6.0,5.0,3.0,7.0
3505,France,Sudan,98.0,64.0,83.0,147.0,2001.0,August,3.0,3597,3.0,6.0,7.0,12.0
3506,France,Sudan,98.0,64.0,83.0,147.0,2001.0,September,7.0,3597,3.0,3.0,12.0,7.0
3507,France,Sudan,98.0,64.0,83.0,147.0,2001.0,October,12.0,3597,7.0,3.0,7.0,10.0
