,destination,Origin,applied,accepted,Rejected,decisions,Year,Month,Value,deaths,last_month,two_months_ago,next_month,two_months_later
3452,Germany,Sudan,209.0,10.0,146.0,206.0,2000.0,March,21.0,2841,14.0,13.0,15.0,20.0
3453,Germany,Sudan,209.0,10.0,146.0,206.0,2000.0,April,15.0,2841,21.0,14.0,20.0,8.0
3454,Germany,Sudan,209.0,10.0,146.0,206.0,2000.0,May,20.0,2841,15.0,21.0,8.0,14.0
3455,Germany,Sudan,209.0,10.0,146.0,206.0,2000.0,June,8.0,2841,20.0,15.0,14.0,13.0
3456,Germany,Sudan,209.0,10.0,146.0,206.0,2000.0,July,14.0,2841,8.0,20.0,13.0,13.0
3457,Germany,Sudan,209.0,10.0,146.0,206.0,2000.0,August,13.0,2841,14.0,8.0,13.0,18.0
3458,Germany,Sudan,209.0,10.0,146.0,206.0,2000.0,September,13.0,2841,13.0,14.0,18.0,17.0
3459,Germany,Sudan,209.0,10.0,146.0,206.0,2000.0,October,18.0,2841,13.0,13.0,17.0,16.0
3460,Germany,Sudan,209.0,10.0,146.0,206.0,2000.0,November,17.0,2841,18.0,13.0,16.0,18.0
3461,Germany,Sudan,209.0,10.0,146.0,206.0,2000.0,December,16.0,2841,17.0,18.0,18.0,13.0
3522,Germany,Sudan,230.0,5.0,113.0,167.0,2001.0,January,18.0,3597,16.0,17.0,13.0,17.0
3523,Germany,Sudan,230.0,5.0,113.0,167.0,2001.0,February,13.0,3597,18.0,16.0,17.0,15.0
3524,Germany,Sudan,230.0,5.0,113.0,167.0,2001.0,March,17.0,3597,13.0,18.0,15.0,10.0
3525,Germany,Sudan,230.0,5.0,113.0,167.0,2001.0,April,15.0,3597,17.0,13.0,10.0,23.0
3526,Germany,Sudan,230.0,5.0,113.0,167.0,2001.0,May,10.0,3597,15.0,17.0,23.0,14.0
3527,Germany,Sudan,230.0,5.0,113.0,167.0,2001.0,June,23.0,3597,10.0,15.0,14.0,24.0
3528,Germany,Sudan,230.0,5.0,113.0,167.0,2001.0,July,14.0,3597,23.0,10.0,24.0,17.0
3529,Germany,Sudan,230.0,5.0,113.0,167.0,2001.0,August,24.0,3597,14.0,23.0,17.0,21.0
3530,Germany,Sudan,230.0,5.0,113.0,167.0,2001.0,September,17.0,3597,24.0,14.0,21.0,25.0
3531,Germany,Sudan,230.0,5.0,113.0,167.0,2001.0,October,21.0,3597,17.0,24.0,25.0,32.0
3532,Germany,Sudan,230.0,5.0,113.0,167.0,2001.0,November,25.0,3597,21.0,17.0,32.0,31.0
3533,Germany,Sudan,230.0,5.0,113.0,167.0,2001.0,December,32.0,3597,25.0,21.0,31.0,23.0
3594,Germany,Sudan,271.0,19.0,174.0,227.0,2002.0,January,31.0,3107,32.0,25.0,23.0,24.0
3595,Germany,Sudan,271.0,19.0,174.0,227.0,2002.0,February,23.0,3107,31.0,32.0,24.0,31.0
3596,Germany,Sudan,271.0,19.0,174.0,227.0,2002.0,March,24.0,3107,23.0,31.0,31.0,24.0
3597,Germany,Sudan,271.0,19.0,174.0,227.0,2002.0,April,31.0,3107,24.0,23.0,24.0,24.0
3598,Germany,Sudan,271.0,19.0,174.0,227.0,2002.0,May,24.0,3107,31.0,24.0,24.0,21.0
3599,Germany,Sudan,271.0,19.0,174.0,227.0,2002.0,June,24.0,3107,24.0,31.0,21.0,22.0
3600,Germany,Sudan,271.0,19.0,174.0,227.0,2002.0,July,21.0,3107,24.0,24.0,22.0,26.0
3601,Germany,Sudan,271.0,19.0,174.0,227.0,2002.0,August,22.0,3107,21.0,24.0,26.0,47.0
3602,Germany,Sudan,271.0,19.0,174.0,227.0,2002.0,September,26.0,3107,22.0,21.0,47.0,24.0
3603,Germany,Sudan,271.0,19.0,174.0,227.0,2002.0,October,47.0,3107,26.0,22.0,24.0,28.0
3604,Germany,Sudan,271.0,19.0,174.0,227.0,2002.0,November,24.0,3107,47.0,26.0,28.0,57.0
3605,Germany,Sudan,271.0,19.0,174.0,227.0,2002.0,December,28.0,3107,24.0,47.0,57.0,34.0
3666,Germany,Sudan,343.0,10.0,301.0,366.0,2003.0,January,57.0,2641,28.0,24.0,34.0,33.0
3667,Germany,Sudan,343.0,10.0,301.0,366.0,2003.0,February,34.0,2641,57.0,28.0,33.0,44.0
3668,Germany,Sudan,343.0,10.0,301.0,366.0,2003.0,March,33.0,2641,34.0,57.0,44.0,21.0
3669,Germany,Sudan,343.0,10.0,301.0,366.0,2003.0,April,44.0,2641,33.0,34.0,21.0,22.0
3670,Germany,Sudan,343.0,10.0,301.0,366.0,2003.0,May,21.0,2641,44.0,33.0,22.0,21.0
3671,Germany,Sudan,343.0,10.0,301.0,366.0,2003.0,June,22.0,2641,21.0,44.0,21.0,15.0
3672,Germany,Sudan,343.0,10.0,301.0,366.0,2003.0,July,21.0,2641,22.0,21.0,15.0,19.0
3673,Germany,Sudan,343.0,10.0,301.0,366.0,2003.0,August,15.0,2641,21.0,22.0,19.0,20.0
3674,Germany,Sudan,343.0,10.0,301.0,366.0,2003.0,September,19.0,2641,15.0,21.0,20.0,22.0
3675,Germany,Sudan,343.0,10.0,301.0,366.0,2003.0,October,20.0,2641,19.0,15.0,22.0,19.0
3676,Germany,Sudan,343.0,10.0,301.0,366.0,2003.0,November,22.0,2641,20.0,19.0,19.0,14.0
3677,Germany,Sudan,343.0,10.0,301.0,366.0,2003.0,December,19.0,2641,22.0,20.0,14.0,18.0
3735,Germany,Sudan,471.0,6.0,266.0,329.0,2004.0,January,14.0,4888,19.0,22.0,18.0,20.0
3736,Germany,Sudan,471.0,6.0,266.0,329.0,2004.0,February,18.0,4888,14.0,19.0,20.0,21.0
3737,Germany,Sudan,471.0,6.0,266.0,329.0,2004.0,March,20.0,4888,18.0,14.0,21.0,38.0
3738,Germany,Sudan,471.0,6.0,266.0,329.0,2004.0,April,21.0,4888,20.0,18.0,38.0,34.0
3739,Germany,Sudan,471.0,6.0,266.0,329.0,2004.0,May,38.0,4888,21.0,20.0,34.0,54.0
3740,Germany,Sudan,471.0,6.0,266.0,329.0,2004.0,June,34.0,4888,38.0,21.0,54.0,52.0
3741,Germany,Sudan,471.0,6.0,266.0,329.0,2004.0,July,54.0,4888,34.0,38.0,52.0,74.0
3742,Germany,Sudan,471.0,6.0,266.0,329.0,2004.0,August,52.0,4888,54.0,34.0,74.0,63.0
3743,Germany,Sudan,471.0,6.0,266.0,329.0,2004.0,September,74.0,4888,52.0,54.0,63.0,52.0
3744,Germany,Sudan,471.0,6.0,266.0,329.0,2004.0,October,63.0,4888,74.0,52.0,52.0,50.0
3745,Germany,Sudan,471.0,6.0,266.0,329.0,2004.0,November,52.0,4888,63.0,74.0,50.0,26.0
3746,Germany,Sudan,471.0,6.0,266.0,329.0,2004.0,December,50.0,4888,52.0,63.0,26.0,15.0
3801,Germany,Sudan,204.0,8.0,247.0,312.0,2005.0,January,26.0,856,50.0,52.0,15.0,20.0
3802,Germany,Sudan,204.0,8.0,247.0,312.0,2005.0,February,15.0,856,26.0,50.0,20.0,26.0
3803,Germany,Sudan,204.0,8.0,247.0,312.0,2005.0,March,20.0,856,15.0,26.0,26.0,26.0
3804,Germany,Sudan,204.0,8.0,247.0,312.0,2005.0,April,26.0,856,20.0,15.0,26.0,26.0
3805,Germany,Sudan,204.0,8.0,247.0,312.0,2005.0,May,26.0,856,26.0,20.0,26.0,12.0
3806,Germany,Sudan,204.0,8.0,247.0,312.0,2005.0,June,26.0,856,26.0,26.0,12.0,15.0
3807,Germany,Sudan,204.0,8.0,247.0,312.0,2005.0,July,12.0,856,26.0,26.0,15.0,19.0
3808,Germany,Sudan,204.0,8.0,247.0,312.0,2005.0,August,15.0,856,12.0,26.0,19.0,9.0
3809,Germany,Sudan,204.0,8.0,247.0,312.0,2005.0,September,19.0,856,15.0,12.0,9.0,17.0
3810,Germany,Sudan,204.0,8.0,247.0,312.0,2005.0,October,9.0,856,19.0,15.0,17.0,16.0
3811,Germany,Sudan,204.0,8.0,247.0,312.0,2005.0,November,17.0,856,9.0,19.0,16.0,10.0
3812,Germany,Sudan,204.0,8.0,247.0,312.0,2005.0,December,16.0,856,17.0,9.0,10.0,12.0
3872,Germany,Sudan,110.0,6.0,52.0,82.0,2006.0,January,10.0,1223,16.0,17.0,12.0,7.0
