,destination,Origin,applied,accepted,Rejected,decisions,Year,Month,Value,deaths,last_month,two_months_ago,next_month,two_months_later
4028,Italy,Sudan,493.0,121.0,126.0,422.0,2008.0,March,46.0,651,32.0,57.0,13.0,24.0
4029,Italy,Sudan,493.0,121.0,126.0,422.0,2008.0,April,13.0,651,46.0,32.0,24.0,20.0
4030,Italy,Sudan,493.0,121.0,126.0,422.0,2008.0,May,24.0,651,13.0,46.0,20.0,55.0
4031,Italy,Sudan,493.0,121.0,126.0,422.0,2008.0,June,20.0,651,24.0,13.0,55.0,71.0
4032,Italy,Sudan,493.0,121.0,126.0,422.0,2008.0,July,55.0,651,20.0,24.0,71.0,56.0
4033,Italy,Sudan,493.0,121.0,126.0,422.0,2008.0,August,71.0,651,55.0,20.0,56.0,83.0
4034,Italy,Sudan,493.0,121.0,126.0,422.0,2008.0,September,56.0,651,71.0,55.0,83.0,85.0
4035,Italy,Sudan,493.0,121.0,126.0,422.0,2008.0,October,83.0,651,56.0,71.0,85.0,58.0
4036,Italy,Sudan,493.0,121.0,126.0,422.0,2008.0,November,85.0,651,83.0,56.0,58.0,10.0
4037,Italy,Sudan,493.0,121.0,126.0,422.0,2008.0,December,58.0,651,85.0,83.0,10.0,5.0
4107,Italy,Sudan,90.0,77.0,82.0,212.0,2009.0,January,10.0,591,58.0,85.0,5.0,10.0
4108,Italy,Sudan,90.0,77.0,82.0,212.0,2009.0,February,5.0,591,10.0,58.0,10.0,5.0
4109,Italy,Sudan,90.0,77.0,82.0,212.0,2009.0,March,10.0,591,5.0,10.0,5.0,10.0
4110,Italy,Sudan,90.0,77.0,82.0,212.0,2009.0,April,5.0,591,10.0,5.0,10.0,10.0
4111,Italy,Sudan,90.0,77.0,82.0,212.0,2009.0,May,10.0,591,5.0,10.0,10.0,5.0
4112,Italy,Sudan,90.0,77.0,82.0,212.0,2009.0,June,10.0,591,10.0,5.0,5.0,10.0
4113,Italy,Sudan,90.0,77.0,82.0,212.0,2009.0,July,5.0,591,10.0,10.0,10.0,5.0
