,destination,Origin,applied,accepted,Rejected,decisions,Year,Month,Value,deaths,last_month,two_months_ago,next_month,two_months_later
3440,UK,Sudan,415.0,110.0,270.0,900.0,2000.0,March,25.0,2841,20.0,40.0,30.0,35.0
3441,UK,Sudan,415.0,110.0,270.0,900.0,2000.0,April,30.0,2841,25.0,20.0,35.0,20.0
3442,UK,Sudan,415.0,110.0,270.0,900.0,2000.0,May,35.0,2841,30.0,25.0,20.0,25.0
3443,UK,Sudan,415.0,110.0,270.0,900.0,2000.0,June,20.0,2841,35.0,30.0,25.0,40.0
3444,UK,Sudan,415.0,110.0,270.0,900.0,2000.0,July,25.0,2841,20.0,35.0,40.0,40.0
3445,UK,Sudan,415.0,110.0,270.0,900.0,2000.0,August,40.0,2841,25.0,20.0,40.0,40.0
3446,UK,Sudan,415.0,110.0,270.0,900.0,2000.0,September,40.0,2841,40.0,25.0,40.0,40.0
3447,UK,Sudan,415.0,110.0,270.0,900.0,2000.0,October,40.0,2841,40.0,40.0,40.0,35.0
3448,UK,Sudan,415.0,110.0,270.0,900.0,2000.0,November,40.0,2841,40.0,40.0,35.0,50.0
3449,UK,Sudan,415.0,110.0,270.0,900.0,2000.0,December,35.0,2841,40.0,40.0,50.0,30.0
3510,UK,Sudan,390.0,120.0,520.0,765.0,2001.0,January,50.0,3597,35.0,40.0,30.0,35.0
3511,UK,Sudan,390.0,120.0,520.0,765.0,2001.0,February,30.0,3597,50.0,35.0,35.0,25.0
3512,UK,Sudan,390.0,120.0,520.0,765.0,2001.0,March,35.0,3597,30.0,50.0,25.0,15.0
3513,UK,Sudan,390.0,120.0,520.0,765.0,2001.0,April,25.0,3597,35.0,30.0,15.0,20.0
3514,UK,Sudan,390.0,120.0,520.0,765.0,2001.0,May,15.0,3597,25.0,35.0,20.0,30.0
3515,UK,Sudan,390.0,120.0,520.0,765.0,2001.0,June,20.0,3597,15.0,25.0,30.0,55.0
3516,UK,Sudan,390.0,120.0,520.0,765.0,2001.0,July,30.0,3597,20.0,15.0,55.0,40.0
3517,UK,Sudan,390.0,120.0,520.0,765.0,2001.0,August,55.0,3597,30.0,20.0,40.0,40.0
3518,UK,Sudan,390.0,120.0,520.0,765.0,2001.0,September,40.0,3597,55.0,30.0,40.0,30.0
3519,UK,Sudan,390.0,120.0,520.0,765.0,2001.0,October,40.0,3597,40.0,55.0,30.0,15.0
3520,UK,Sudan,390.0,120.0,520.0,765.0,2001.0,November,30.0,3597,40.0,40.0,15.0,43.0
3521,UK,Sudan,390.0,120.0,520.0,765.0,2001.0,December,15.0,3597,30.0,40.0,43.0,25.0
3582,UK,Sudan,655.0,295.0,645.0,1050.0,2002.0,January,43.0,3107,15.0,30.0,25.0,31.0
3583,UK,Sudan,655.0,295.0,645.0,1050.0,2002.0,February,25.0,3107,43.0,15.0,31.0,36.0
3584,UK,Sudan,655.0,295.0,645.0,1050.0,2002.0,March,31.0,3107,25.0,43.0,36.0,44.0
3585,UK,Sudan,655.0,295.0,645.0,1050.0,2002.0,April,36.0,3107,31.0,25.0,44.0,49.0
3586,UK,Sudan,655.0,295.0,645.0,1050.0,2002.0,May,44.0,3107,36.0,31.0,49.0,85.0
3587,UK,Sudan,655.0,295.0,645.0,1050.0,2002.0,June,49.0,3107,44.0,36.0,85.0,64.0
3588,UK,Sudan,655.0,295.0,645.0,1050.0,2002.0,July,85.0,3107,49.0,44.0,64.0,94.0
3589,UK,Sudan,655.0,295.0,645.0,1050.0,2002.0,August,64.0,3107,85.0,49.0,94.0,127.0
3590,UK,Sudan,655.0,295.0,645.0,1050.0,2002.0,September,94.0,3107,64.0,85.0,127.0,86.0
3591,UK,Sudan,655.0,295.0,645.0,1050.0,2002.0,October,127.0,3107,94.0,64.0,86.0,85.0
3592,UK,Sudan,655.0,295.0,645.0,1050.0,2002.0,November,86.0,3107,127.0,94.0,85.0,59.0
3593,UK,Sudan,655.0,295.0,645.0,1050.0,2002.0,December,85.0,3107,86.0,127.0,59.0,20.0
3654,UK,Sudan,1051.0,449.0,1074.0,1725.0,2003.0,January,59.0,2641,85.0,86.0,20.0,36.0
3655,UK,Sudan,1051.0,449.0,1074.0,1725.0,2003.0,February,20.0,2641,59.0,85.0,36.0,22.0
3656,UK,Sudan,1051.0,449.0,1074.0,1725.0,2003.0,March,36.0,2641,20.0,59.0,22.0,51.0
3657,UK,Sudan,1051.0,449.0,1074.0,1725.0,2003.0,April,22.0,2641,36.0,20.0,51.0,91.0
3658,UK,Sudan,1051.0,449.0,1074.0,1725.0,2003.0,May,51.0,2641,22.0,36.0,91.0,112.0
3659,UK,Sudan,1051.0,449.0,1074.0,1725.0,2003.0,June,91.0,2641,51.0,22.0,112.0,137.0
3660,UK,Sudan,1051.0,449.0,1074.0,1725.0,2003.0,July,112.0,2641,91.0,51.0,137.0,112.0
3661,UK,Sudan,1051.0,449.0,1074.0,1725.0,2003.0,August,137.0,2641,112.0,91.0,112.0,149.0
3662,UK,Sudan,1051.0,449.0,1074.0,1725.0,2003.0,September,112.0,2641,137.0,112.0,149.0,103.0
3663,UK,Sudan,1051.0,449.0,1074.0,1725.0,2003.0,October,149.0,2641,112.0,137.0,103.0,159.0
3664,UK,Sudan,1051.0,449.0,1074.0,1725.0,2003.0,November,103.0,2641,149.0,112.0,159.0,106.0
3665,UK,Sudan,1051.0,449.0,1074.0,1725.0,2003.0,December,159.0,2641,103.0,149.0,106.0,78.0
3723,UK,Sudan,1445.0,575.0,1739.0,2744.0,2004.0,January,106.0,4888,159.0,103.0,78.0,99.0
3724,UK,Sudan,1445.0,575.0,1739.0,2744.0,2004.0,February,78.0,4888,106.0,159.0,99.0,138.0
3725,UK,Sudan,1445.0,575.0,1739.0,2744.0,2004.0,March,99.0,4888,78.0,106.0,138.0,92.0
3726,UK,Sudan,1445.0,575.0,1739.0,2744.0,2004.0,April,138.0,4888,99.0,78.0,92.0,100.0
3727,UK,Sudan,1445.0,575.0,1739.0,2744.0,2004.0,May,92.0,4888,138.0,99.0,100.0,142.0
3728,UK,Sudan,1445.0,575.0,1739.0,2744.0,2004.0,June,100.0,4888,92.0,138.0,142.0,100.0
3729,UK,Sudan,1445.0,575.0,1739.0,2744.0,2004.0,July,142.0,4888,100.0,92.0,100.0,154.0
3730,UK,Sudan,1445.0,575.0,1739.0,2744.0,2004.0,August,100.0,4888,142.0,100.0,154.0,130.0
3731,UK,Sudan,1445.0,575.0,1739.0,2744.0,2004.0,September,154.0,4888,100.0,142.0,130.0,145.0
3732,UK,Sudan,1445.0,575.0,1739.0,2744.0,2004.0,October,130.0,4888,154.0,100.0,145.0,161.0
3733,UK,Sudan,1445.0,575.0,1739.0,2744.0,2004.0,November,145.0,4888,130.0,154.0,161.0,117.0
3734,UK,Sudan,1445.0,575.0,1739.0,2744.0,2004.0,December,161.0,4888,145.0,130.0,117.0,102.0
3789,UK,Sudan,991.0,456.0,1611.0,2343.0,2005.0,January,117.0,856,161.0,145.0,102.0,73.0
3790,UK,Sudan,991.0,456.0,1611.0,2343.0,2005.0,February,102.0,856,117.0,161.0,73.0,93.0
3791,UK,Sudan,991.0,456.0,1611.0,2343.0,2005.0,March,73.0,856,102.0,117.0,93.0,58.0
3792,UK,Sudan,991.0,456.0,1611.0,2343.0,2005.0,April,93.0,856,73.0,102.0,58.0,86.0
3793,UK,Sudan,991.0,456.0,1611.0,2343.0,2005.0,May,58.0,856,93.0,73.0,86.0,96.0
3794,UK,Sudan,991.0,456.0,1611.0,2343.0,2005.0,June,86.0,856,58.0,93.0,96.0,104.0
3795,UK,Sudan,991.0,456.0,1611.0,2343.0,2005.0,July,96.0,856,86.0,58.0,104.0,95.0
3796,UK,Sudan,991.0,456.0,1611.0,2343.0,2005.0,August,104.0,856,96.0,86.0,95.0,66.0
3797,UK,Sudan,991.0,456.0,1611.0,2343.0,2005.0,September,95.0,856,104.0,96.0,66.0,53.0
3798,UK,Sudan,991.0,456.0,1611.0,2343.0,2005.0,October,66.0,856,95.0,104.0,53.0,56.0
3799,UK,Sudan,991.0,456.0,1611.0,2343.0,2005.0,November,53.0,856,66.0,95.0,56.0,61.0
3800,UK,Sudan,991.0,456.0,1611.0,2343.0,2005.0,December,56.0,856,53.0,66.0,61.0,60.0
3860,UK,Sudan,752.0,165.0,815.0,1182.0,2006.0,January,61.0,1223,56.0,53.0,60.0,93.0
3861,UK,Sudan,752.0,165.0,815.0,1182.0,2006.0,February,60.0,1223,61.0,56.0,93.0,55.0
3862,UK,Sudan,752.0,165.0,815.0,1182.0,2006.0,March,93.0,1223,60.0,61.0,55.0,57.0
3863,UK,Sudan,752.0,165.0,815.0,1182.0,2006.0,April,55.0,1223,93.0,60.0,57.0,83.0
3864,UK,Sudan,752.0,165.0,815.0,1182.0,2006.0,May,57.0,1223,55.0,93.0,83.0,52.0
3865,UK,Sudan,752.0,165.0,815.0,1182.0,2006.0,June,83.0,1223,57.0,55.0,52.0,77.0
3866,UK,Sudan,752.0,165.0,815.0,1182.0,2006.0,July,52.0,1223,83.0,57.0,77.0,71.0
