,destination,Origin,applied,accepted,Rejected,decisions,Year,Month,Value,deaths,last_month,two_months_ago,next_month,two_months_later
3464,USA,Sudan,790.0,494.0,180.0,798.0,2000.0,March,55.0,2841,41.0,53.0,46.0,45.0
3465,USA,Sudan,790.0,494.0,180.0,798.0,2000.0,April,46.0,2841,55.0,41.0,45.0,38.0
3466,USA,Sudan,790.0,494.0,180.0,798.0,2000.0,May,45.0,2841,46.0,55.0,38.0,32.0
3467,USA,Sudan,790.0,494.0,180.0,798.0,2000.0,June,38.0,2841,45.0,46.0,32.0,71.0
3468,USA,Sudan,790.0,494.0,180.0,798.0,2000.0,July,32.0,2841,38.0,45.0,71.0,45.0
3469,USA,Sudan,790.0,494.0,180.0,798.0,2000.0,August,71.0,2841,32.0,38.0,45.0,34.0
3470,USA,Sudan,790.0,494.0,180.0,798.0,2000.0,September,45.0,2841,71.0,32.0,34.0,58.0
3471,USA,Sudan,790.0,494.0,180.0,798.0,2000.0,October,34.0,2841,45.0,71.0,58.0,49.0
3472,USA,Sudan,790.0,494.0,180.0,798.0,2000.0,November,58.0,2841,34.0,45.0,49.0,3.0
3473,USA,Sudan,790.0,494.0,180.0,798.0,2000.0,December,49.0,2841,58.0,34.0,3.0,10.0
3474,USA,Sudan,790.0,494.0,180.0,798.0,2000.0,January,3.0,2841,49.0,58.0,10.0,11.0
3475,USA,Sudan,790.0,494.0,180.0,798.0,2000.0,February,10.0,2841,3.0,49.0,11.0,9.0
3476,USA,Sudan,790.0,494.0,180.0,798.0,2000.0,March,11.0,2841,10.0,3.0,9.0,7.0
3477,USA,Sudan,790.0,494.0,180.0,798.0,2000.0,April,9.0,2841,11.0,10.0,7.0,3.0
3478,USA,Sudan,790.0,494.0,180.0,798.0,2000.0,May,7.0,2841,9.0,11.0,3.0,5.0
3479,USA,Sudan,790.0,494.0,180.0,798.0,2000.0,June,3.0,2841,7.0,9.0,5.0,3.0
3480,USA,Sudan,790.0,494.0,180.0,798.0,2000.0,July,5.0,2841,3.0,7.0,3.0,9.0
3481,USA,Sudan,790.0,494.0,180.0,798.0,2000.0,August,3.0,2841,5.0,3.0,9.0,6.0
3482,USA,Sudan,790.0,494.0,180.0,798.0,2000.0,September,9.0,2841,3.0,5.0,6.0,4.0
3483,USA,Sudan,790.0,494.0,180.0,798.0,2000.0,October,6.0,2841,9.0,3.0,4.0,6.0
3484,USA,Sudan,790.0,494.0,180.0,798.0,2000.0,November,4.0,2841,6.0,9.0,6.0,75.0
3485,USA,Sudan,790.0,494.0,180.0,798.0,2000.0,December,6.0,2841,4.0,6.0,75.0,45.0
3534,USA,Sudan,913.0,487.0,231.0,833.0,2001.0,January,75.0,3597,6.0,4.0,45.0,48.0
3535,USA,Sudan,913.0,487.0,231.0,833.0,2001.0,February,45.0,3597,75.0,6.0,48.0,29.0
3536,USA,Sudan,913.0,487.0,231.0,833.0,2001.0,March,48.0,3597,45.0,75.0,29.0,47.0
3537,USA,Sudan,913.0,487.0,231.0,833.0,2001.0,April,29.0,3597,48.0,45.0,47.0,50.0
3538,USA,Sudan,913.0,487.0,231.0,833.0,2001.0,May,47.0,3597,29.0,48.0,50.0,49.0
3539,USA,Sudan,913.0,487.0,231.0,833.0,2001.0,June,50.0,3597,47.0,29.0,49.0,62.0
3540,USA,Sudan,913.0,487.0,231.0,833.0,2001.0,July,49.0,3597,50.0,47.0,62.0,86.0
3541,USA,Sudan,913.0,487.0,231.0,833.0,2001.0,August,62.0,3597,49.0,50.0,86.0,55.0
3542,USA,Sudan,913.0,487.0,231.0,833.0,2001.0,September,86.0,3597,62.0,49.0,55.0,69.0
3543,USA,Sudan,913.0,487.0,231.0,833.0,2001.0,October,55.0,3597,86.0,62.0,69.0,67.0
3544,USA,Sudan,913.0,487.0,231.0,833.0,2001.0,November,69.0,3597,55.0,86.0,67.0,8.0
3545,USA,Sudan,913.0,487.0,231.0,833.0,2001.0,December,67.0,3597,69.0,55.0,8.0,6.0
3546,USA,Sudan,913.0,487.0,231.0,833.0,2001.0,January,8.0,3597,67.0,69.0,6.0,3.0
3547,USA,Sudan,913.0,487.0,231.0,833.0,2001.0,February,6.0,3597,8.0,67.0,3.0,12.0
3548,USA,Sudan,913.0,487.0,231.0,833.0,2001.0,March,3.0,3597,6.0,8.0,12.0,19.0
3549,USA,Sudan,913.0,487.0,231.0,833.0,2001.0,April,12.0,3597,3.0,6.0,19.0,10.0
3550,USA,Sudan,913.0,487.0,231.0,833.0,2001.0,May,19.0,3597,12.0,3.0,10.0,9.0
3551,USA,Sudan,913.0,487.0,231.0,833.0,2001.0,June,10.0,3597,19.0,12.0,9.0,9.0
3552,USA,Sudan,913.0,487.0,231.0,833.0,2001.0,July,9.0,3597,10.0,19.0,9.0,13.0
3553,USA,Sudan,913.0,487.0,231.0,833.0,2001.0,August,9.0,3597,9.0,10.0,13.0,12.0
3554,USA,Sudan,913.0,487.0,231.0,833.0,2001.0,September,13.0,3597,9.0,9.0,12.0,11.0
3555,USA,Sudan,913.0,487.0,231.0,833.0,2001.0,October,12.0,3597,13.0,9.0,11.0,9.0
3556,USA,Sudan,913.0,487.0,231.0,833.0,2001.0,November,11.0,3597,12.0,13.0,9.0,51.0
3557,USA,Sudan,913.0,487.0,231.0,833.0,2001.0,December,9.0,3597,11.0,12.0,51.0,29.0
3606,USA,Sudan,831.0,446.0,303.0,890.0,2002.0,January,51.0,3107,9.0,11.0,29.0,37.0
3607,USA,Sudan,831.0,446.0,303.0,890.0,2002.0,February,29.0,3107,51.0,9.0,37.0,33.0
3608,USA,Sudan,831.0,446.0,303.0,890.0,2002.0,March,37.0,3107,29.0,51.0,33.0,29.0
3609,USA,Sudan,831.0,446.0,303.0,890.0,2002.0,April,33.0,3107,37.0,29.0,29.0,26.0
3610,USA,Sudan,831.0,446.0,303.0,890.0,2002.0,May,29.0,3107,33.0,37.0,26.0,24.0
3611,USA,Sudan,831.0,446.0,303.0,890.0,2002.0,June,26.0,3107,29.0,33.0,24.0,46.0
3612,USA,Sudan,831.0,446.0,303.0,890.0,2002.0,July,24.0,3107,26.0,29.0,46.0,10.0
3613,USA,Sudan,831.0,446.0,303.0,890.0,2002.0,August,46.0,3107,24.0,26.0,10.0,17.0
3614,USA,Sudan,831.0,446.0,303.0,890.0,2002.0,September,10.0,3107,46.0,24.0,17.0,15.0
3615,USA,Sudan,831.0,446.0,303.0,890.0,2002.0,October,17.0,3107,10.0,46.0,15.0,25.0
3616,USA,Sudan,831.0,446.0,303.0,890.0,2002.0,November,15.0,3107,17.0,10.0,25.0,8.0
