,destination,Origin,applied,accepted,Rejected,decisions,Year,Month,Value,deaths,last_month,two_months_ago,next_month,two_months_later
4771,Canada,Syria,88.0,89.0,62.0,156.0,2004.0,March,7.0,379,7.0,16.0,2.0,5.0
4772,Canada,Syria,88.0,89.0,62.0,156.0,2004.0,April,2.0,379,7.0,7.0,5.0,1.0
4773,Canada,Syria,88.0,89.0,62.0,156.0,2004.0,May,5.0,379,2.0,7.0,1.0,1.0
4774,Canada,Syria,88.0,89.0,62.0,156.0,2004.0,June,1.0,379,5.0,2.0,1.0,6.0
4775,Canada,Syria,88.0,89.0,62.0,156.0,2004.0,July,1.0,379,1.0,5.0,6.0,4.0
4776,Canada,Syria,88.0,89.0,62.0,156.0,2004.0,August,6.0,379,1.0,1.0,4.0,5.0
4777,Canada,Syria,88.0,89.0,62.0,156.0,2004.0,September,4.0,379,6.0,1.0,5.0,12.0
4778,Canada,Syria,88.0,89.0,62.0,156.0,2004.0,October,5.0,379,4.0,6.0,12.0,8.0
4779,Canada,Syria,88.0,89.0,62.0,156.0,2004.0,November,12.0,379,5.0,4.0,8.0,12.0
4780,Canada,Syria,88.0,89.0,62.0,156.0,2004.0,December,8.0,379,12.0,5.0,12.0,10.0
4830,Canada,Syria,181.0,83.0,56.0,153.0,2011.0,January,12.0,964,8.0,12.0,10.0,13.0
4831,Canada,Syria,181.0,83.0,56.0,153.0,2011.0,February,10.0,964,12.0,8.0,13.0,7.0
4832,Canada,Syria,181.0,83.0,56.0,153.0,2011.0,March,13.0,964,10.0,12.0,7.0,17.0
4833,Canada,Syria,181.0,83.0,56.0,153.0,2011.0,April,7.0,964,13.0,10.0,17.0,11.0
4834,Canada,Syria,181.0,83.0,56.0,153.0,2011.0,May,17.0,964,7.0,13.0,11.0,10.0
4835,Canada,Syria,181.0,83.0,56.0,153.0,2011.0,June,11.0,964,17.0,7.0,10.0,12.0
4836,Canada,Syria,181.0,83.0,56.0,153.0,2011.0,July,10.0,964,11.0,17.0,12.0,17.0
4837,Canada,Syria,181.0,83.0,56.0,153.0,2011.0,August,12.0,964,10.0,11.0,17.0,24.0
4838,Canada,Syria,181.0,83.0,56.0,153.0,2011.0,September,17.0,964,12.0,10.0,24.0,24.0
4839,Canada,Syria,181.0,83.0,56.0,153.0,2011.0,October,24.0,964,17.0,12.0,24.0,19.0
4840,Canada,Syria,181.0,83.0,56.0,153.0,2011.0,November,24.0,964,24.0,17.0,19.0,29.0
4841,Canada,Syria,181.0,83.0,56.0,153.0,2011.0,December,19.0,964,24.0,24.0,29.0,25.0
4914,Canada,Syria,350.0,155.0,34.0,196.0,2012.0,January,29.0,38505,19.0,24.0,25.0,23.0
4915,Canada,Syria,350.0,155.0,34.0,196.0,2012.0,February,25.0,38505,29.0,19.0,23.0,20.0
4916,Canada,Syria,350.0,155.0,34.0,196.0,2012.0,March,23.0,38505,25.0,29.0,20.0,17.0
4917,Canada,Syria,350.0,155.0,34.0,196.0,2012.0,April,20.0,38505,23.0,25.0,17.0,19.0
4918,Canada,Syria,350.0,155.0,34.0,196.0,2012.0,May,17.0,38505,20.0,23.0,19.0,19.0
4919,Canada,Syria,350.0,155.0,34.0,196.0,2012.0,June,19.0,38505,17.0,20.0,19.0,33.0
4920,Canada,Syria,350.0,155.0,34.0,196.0,2012.0,July,19.0,38505,19.0,17.0,33.0,36.0
4921,Canada,Syria,350.0,155.0,34.0,196.0,2012.0,August,33.0,38505,19.0,19.0,36.0,42.0
4922,Canada,Syria,350.0,155.0,34.0,196.0,2012.0,September,36.0,38505,33.0,19.0,42.0,37.0
4923,Canada,Syria,350.0,155.0,34.0,196.0,2012.0,October,42.0,38505,36.0,33.0,37.0,36.0
4924,Canada,Syria,350.0,155.0,34.0,196.0,2012.0,November,37.0,38505,42.0,36.0,36.0,19.0
4925,Canada,Syria,350.0,155.0,34.0,196.0,2012.0,December,36.0,38505,37.0,42.0,19.0,11.0
4998,Canada,Syria,517.0,440.0,35.0,489.0,2013.0,January,19.0,69089,36.0,37.0,11.0,44.0
