,destination,Origin,applied,accepted,Rejected,decisions,Year,Month,Value,deaths,last_month,two_months_ago,next_month,two_months_later
4783,France,Syria,60.0,16.0,40.0,56.0,2004.0,April,2.0,379,4.0,3.0,4.0,3.0
4784,France,Syria,60.0,16.0,40.0,56.0,2004.0,May,4.0,379,2.0,4.0,3.0,4.0
4785,France,Syria,60.0,16.0,40.0,56.0,2004.0,June,3.0,379,4.0,2.0,4.0,10.0
4786,France,Syria,60.0,16.0,40.0,56.0,2004.0,July,4.0,379,3.0,4.0,10.0,2.0
4787,France,Syria,60.0,16.0,40.0,56.0,2004.0,August,10.0,379,4.0,3.0,2.0,3.0
4788,France,Syria,60.0,16.0,40.0,56.0,2004.0,September,2.0,379,10.0,4.0,3.0,17.0
4789,France,Syria,60.0,16.0,40.0,56.0,2004.0,October,3.0,379,2.0,10.0,17.0,3.0
4790,France,Syria,60.0,16.0,40.0,56.0,2004.0,December,17.0,379,3.0,2.0,3.0,1.0
4842,France,Syria,119.0,76.0,22.0,108.0,2011.0,January,3.0,964,17.0,3.0,1.0,5.0
4843,France,Syria,119.0,76.0,22.0,108.0,2011.0,February,1.0,964,3.0,17.0,5.0,3.0
4844,France,Syria,119.0,76.0,22.0,108.0,2011.0,March,5.0,964,1.0,3.0,3.0,7.0
4845,France,Syria,119.0,76.0,22.0,108.0,2011.0,April,3.0,964,5.0,1.0,7.0,7.0
4846,France,Syria,119.0,76.0,22.0,108.0,2011.0,May,7.0,964,3.0,5.0,7.0,10.0
4847,France,Syria,119.0,76.0,22.0,108.0,2011.0,June,7.0,964,7.0,3.0,10.0,10.0
4848,France,Syria,119.0,76.0,22.0,108.0,2011.0,July,10.0,964,7.0,7.0,10.0,12.0
4849,France,Syria,119.0,76.0,22.0,108.0,2011.0,August,10.0,964,10.0,7.0,12.0,25.0
4850,France,Syria,119.0,76.0,22.0,108.0,2011.0,September,12.0,964,10.0,10.0,25.0,15.0
4851,France,Syria,119.0,76.0,22.0,108.0,2011.0,October,25.0,964,12.0,10.0,15.0,21.0
4852,France,Syria,119.0,76.0,22.0,108.0,2011.0,November,15.0,964,25.0,12.0,21.0,34.0
4853,France,Syria,119.0,76.0,22.0,108.0,2011.0,December,21.0,964,15.0,25.0,34.0,29.0
4926,France,Syria,667.0,162.0,26.0,311.0,2012.0,January,34.0,38505,21.0,15.0,29.0,42.0
4927,France,Syria,667.0,162.0,26.0,311.0,2012.0,February,29.0,38505,34.0,21.0,42.0,47.0
4928,France,Syria,667.0,162.0,26.0,311.0,2012.0,March,42.0,38505,29.0,34.0,47.0,33.0
4929,France,Syria,667.0,162.0,26.0,311.0,2012.0,April,47.0,38505,42.0,29.0,33.0,27.0
4930,France,Syria,667.0,162.0,26.0,311.0,2012.0,May,33.0,38505,47.0,42.0,27.0,44.0
4931,France,Syria,667.0,162.0,26.0,311.0,2012.0,June,27.0,38505,33.0,47.0,44.0,54.0
4932,France,Syria,667.0,162.0,26.0,311.0,2012.0,July,44.0,38505,27.0,33.0,54.0,51.0
4933,France,Syria,667.0,162.0,26.0,311.0,2012.0,August,54.0,38505,44.0,27.0,51.0,79.0
4934,France,Syria,667.0,162.0,26.0,311.0,2012.0,September,51.0,38505,54.0,44.0,79.0,86.0
4935,France,Syria,667.0,162.0,26.0,311.0,2012.0,October,79.0,38505,51.0,54.0,86.0,103.0
4936,France,Syria,667.0,162.0,26.0,311.0,2012.0,November,86.0,38505,79.0,51.0,103.0,79.0
4937,France,Syria,667.0,162.0,26.0,311.0,2012.0,December,103.0,38505,86.0,79.0,79.0,114.0
5010,France,Syria,1394.0,497.0,59.0,924.0,2013.0,January,79.0,69089,103.0,86.0,114.0,125.0
5011,France,Syria,1394.0,497.0,59.0,924.0,2013.0,February,114.0,69089,79.0,103.0,125.0,94.0
5012,France,Syria,1394.0,497.0,59.0,924.0,2013.0,March,125.0,69089,114.0,79.0,94.0,95.0
5013,France,Syria,1394.0,497.0,59.0,924.0,2013.0,April,94.0,69089,125.0,114.0,95.0,96.0
5014,France,Syria,1394.0,497.0,59.0,924.0,2013.0,May,95.0,69089,94.0,125.0,96.0,95.0
5015,France,Syria,1394.0,497.0,59.0,924.0,2013.0,June,96.0,69089,95.0,94.0,95.0,70.0
5016,France,Syria,1394.0,497.0,59.0,924.0,2013.0,July,95.0,69089,96.0,95.0,70.0,93.0
5017,France,Syria,1394.0,497.0,59.0,924.0,2013.0,August,70.0,69089,95.0,96.0,93.0,180.0
5018,France,Syria,1394.0,497.0,59.0,924.0,2013.0,September,93.0,69089,70.0,95.0,180.0,142.0
5019,France,Syria,1394.0,497.0,59.0,924.0,2013.0,October,180.0,69089,93.0,70.0,142.0,120.0
5020,France,Syria,1394.0,497.0,59.0,924.0,2013.0,November,142.0,69089,180.0,93.0,120.0,155.0
5021,France,Syria,1394.0,497.0,59.0,924.0,2013.0,December,120.0,69089,142.0,180.0,155.0,224.0
5094,France,Syria,3298.0,939.0,117.0,1595.0,2014.0,January,155.0,69712,120.0,142.0,224.0,391.0
5095,France,Syria,3298.0,939.0,117.0,1595.0,2014.0,February,224.0,69712,155.0,120.0,391.0,223.0
5096,France,Syria,3298.0,939.0,117.0,1595.0,2014.0,March,391.0,69712,224.0,155.0,223.0,228.0
5097,France,Syria,3298.0,939.0,117.0,1595.0,2014.0,April,223.0,69712,391.0,224.0,228.0,216.0
5098,France,Syria,3298.0,939.0,117.0,1595.0,2014.0,May,228.0,69712,223.0,391.0,216.0,231.0
5099,France,Syria,3298.0,939.0,117.0,1595.0,2014.0,June,216.0,69712,228.0,223.0,231.0,162.0
5100,France,Syria,3298.0,939.0,117.0,1595.0,2014.0,July,231.0,69712,216.0,228.0,162.0,458.0
5101,France,Syria,3298.0,939.0,117.0,1595.0,2014.0,August,162.0,69712,231.0,216.0,458.0,385.0
5102,France,Syria,3298.0,939.0,117.0,1595.0,2014.0,September,458.0,69712,162.0,231.0,385.0,184.0
5103,France,Syria,3298.0,939.0,117.0,1595.0,2014.0,October,385.0,69712,458.0,162.0,184.0,272.0
5104,France,Syria,3298.0,939.0,117.0,1595.0,2014.0,November,184.0,69712,385.0,458.0,272.0,169.0
5105,France,Syria,3298.0,939.0,117.0,1595.0,2014.0,December,272.0,69712,184.0,385.0,169.0,307.0
5178,France,Syria,5425.0,1677.0,178.0,2606.0,2015.0,January,169.0,56866,272.0,184.0,307.0,470.0
5179,France,Syria,5425.0,1677.0,178.0,2606.0,2015.0,February,307.0,56866,169.0,272.0,470.0,378.0
5180,France,Syria,5425.0,1677.0,178.0,2606.0,2015.0,March,470.0,56866,307.0,169.0,378.0,210.0
5181,France,Syria,5425.0,1677.0,178.0,2606.0,2015.0,April,378.0,56866,470.0,307.0,210.0,332.0
5182,France,Syria,5425.0,1677.0,178.0,2606.0,2015.0,May,210.0,56866,378.0,470.0,332.0,237.0
5183,France,Syria,5425.0,1677.0,178.0,2606.0,2015.0,June,332.0,56866,210.0,378.0,237.0,322.0
5184,France,Syria,5425.0,1677.0,178.0,2606.0,2015.0,July,237.0,56866,332.0,210.0,322.0,774.0
5185,France,Syria,5425.0,1677.0,178.0,2606.0,2015.0,August,322.0,56866,237.0,332.0,774.0,666.0
5186,France,Syria,5425.0,1677.0,178.0,2606.0,2015.0,September,774.0,56866,322.0,237.0,666.0,650.0
5187,France,Syria,5425.0,1677.0,178.0,2606.0,2015.0,October,666.0,56866,774.0,322.0,650.0,595.0
5188,France,Syria,5425.0,1677.0,178.0,2606.0,2015.0,November,650.0,56866,666.0,774.0,595.0,402.0
5189,France,Syria,5425.0,1677.0,178.0,2606.0,2015.0,December,595.0,56866,650.0,666.0,402.0,437.0
5261,France,Syria,6629.0,2054.0,276.0,4299.0,2016.0,January,402.0,53565,595.0,650.0,437.0,314.0
5262,France,Syria,6629.0,2054.0,276.0,4299.0,2016.0,February,437.0,53565,402.0,595.0,314.0,525.0
5263,France,Syria,6629.0,2054.0,276.0,4299.0,2016.0,March,314.0,53565,437.0,402.0,525.0,941.0
5264,France,Syria,6629.0,2054.0,276.0,4299.0,2016.0,April,525.0,53565,314.0,437.0,941.0,446.0
5265,France,Syria,6629.0,2054.0,276.0,4299.0,2016.0,May,941.0,53565,525.0,314.0,446.0,570.0
5266,France,Syria,6629.0,2054.0,276.0,4299.0,2016.0,June,446.0,53565,941.0,525.0,570.0,467.0
5267,France,Syria,6629.0,2054.0,276.0,4299.0,2016.0,July,570.0,53565,446.0,941.0,467.0,508.0
5268,France,Syria,6629.0,2054.0,276.0,4299.0,2016.0,August,467.0,53565,570.0,446.0,508.0,597.0
5269,France,Syria,6629.0,2054.0,276.0,4299.0,2016.0,September,508.0,53565,467.0,570.0,597.0,314.0
5270,France,Syria,6629.0,2054.0,276.0,4299.0,2016.0,October,597.0,53565,508.0,467.0,314.0,587.0
5271,France,Syria,6629.0,2054.0,276.0,4299.0,2016.0,November,314.0,53565,597.0,508.0,587.0,489.0
5344,France,Syria,7036.0,1489.0,594.0,4649.0,2017.0,January,587.0,35654,314.0,597.0,489.0,348.0
5345,France,Syria,7036.0,1489.0,594.0,4649.0,2017.0,February,489.0,35654,587.0,314.0,348.0,452.0
5346,France,Syria,7036.0,1489.0,594.0,4649.0,2017.0,March,348.0,35654,489.0,587.0,452.0,460.0
5347,France,Syria,7036.0,1489.0,594.0,4649.0,2017.0,April,452.0,35654,348.0,489.0,460.0,427.0
5348,France,Syria,7036.0,1489.0,594.0,4649.0,2017.0,May,460.0,35654,452.0,348.0,427.0,506.0
5349,France,Syria,7036.0,1489.0,594.0,4649.0,2017.0,June,427.0,35654,460.0,452.0,506.0,500.0
5350,France,Syria,7036.0,1489.0,594.0,4649.0,2017.0,July,506.0,35654,427.0,460.0,500.0,374.0
