,destination,Origin,applied,accepted,Rejected,decisions,Year,Month,Value,deaths,last_month,two_months_ago,next_month,two_months_later
4805,Germany,Syria,1193.0,88.0,852.0,1456.0,2004.0,March,63.0,379,77.0,98.0,63.0,54.0
4806,Germany,Syria,1193.0,88.0,852.0,1456.0,2004.0,April,63.0,379,63.0,77.0,54.0,59.0
4807,Germany,Syria,1193.0,88.0,852.0,1456.0,2004.0,May,54.0,379,63.0,63.0,59.0,60.0
4808,Germany,Syria,1193.0,88.0,852.0,1456.0,2004.0,June,59.0,379,54.0,63.0,60.0,65.0
4809,Germany,Syria,1193.0,88.0,852.0,1456.0,2004.0,July,60.0,379,59.0,54.0,65.0,51.0
4810,Germany,Syria,1193.0,88.0,852.0,1456.0,2004.0,August,65.0,379,60.0,59.0,51.0,66.0
4811,Germany,Syria,1193.0,88.0,852.0,1456.0,2004.0,September,51.0,379,65.0,60.0,66.0,50.0
4812,Germany,Syria,1193.0,88.0,852.0,1456.0,2004.0,October,66.0,379,51.0,65.0,50.0,70.0
4813,Germany,Syria,1193.0,88.0,852.0,1456.0,2004.0,November,50.0,379,66.0,51.0,70.0,154.0
4814,Germany,Syria,1193.0,88.0,852.0,1456.0,2004.0,December,70.0,379,50.0,66.0,154.0,159.0
4866,Germany,Syria,3436.0,389.0,363.0,1044.0,2011.0,January,154.0,964,70.0,50.0,159.0,176.0
4867,Germany,Syria,3436.0,389.0,363.0,1044.0,2011.0,February,159.0,964,154.0,70.0,176.0,169.0
4868,Germany,Syria,3436.0,389.0,363.0,1044.0,2011.0,March,176.0,964,159.0,154.0,169.0,247.0
4869,Germany,Syria,3436.0,389.0,363.0,1044.0,2011.0,April,169.0,964,176.0,159.0,247.0,186.0
4870,Germany,Syria,3436.0,389.0,363.0,1044.0,2011.0,May,247.0,964,169.0,176.0,186.0,211.0
4871,Germany,Syria,3436.0,389.0,363.0,1044.0,2011.0,June,186.0,964,247.0,169.0,211.0,316.0
4872,Germany,Syria,3436.0,389.0,363.0,1044.0,2011.0,July,211.0,964,186.0,247.0,316.0,306.0
4873,Germany,Syria,3436.0,389.0,363.0,1044.0,2011.0,August,316.0,964,211.0,186.0,306.0,214.0
4874,Germany,Syria,3436.0,389.0,363.0,1044.0,2011.0,September,306.0,964,316.0,211.0,214.0,286.0
4875,Germany,Syria,3436.0,389.0,363.0,1044.0,2011.0,October,214.0,964,306.0,316.0,286.0,210.0
4876,Germany,Syria,3436.0,389.0,363.0,1044.0,2011.0,November,286.0,964,214.0,306.0,210.0,210.0
4877,Germany,Syria,3436.0,389.0,363.0,1044.0,2011.0,December,210.0,964,286.0,214.0,210.0,230.0
4950,Germany,Syria,7930.0,1987.0,19.0,7801.0,2012.0,January,210.0,38505,210.0,286.0,230.0,167.0
4951,Germany,Syria,7930.0,1987.0,19.0,7801.0,2012.0,February,230.0,38505,210.0,210.0,167.0,248.0
4952,Germany,Syria,7930.0,1987.0,19.0,7801.0,2012.0,March,167.0,38505,230.0,210.0,248.0,376.0
4953,Germany,Syria,7930.0,1987.0,19.0,7801.0,2012.0,April,248.0,38505,167.0,230.0,376.0,401.0
4954,Germany,Syria,7930.0,1987.0,19.0,7801.0,2012.0,May,376.0,38505,248.0,167.0,401.0,644.0
4955,Germany,Syria,7930.0,1987.0,19.0,7801.0,2012.0,June,401.0,38505,376.0,248.0,644.0,688.0
4956,Germany,Syria,7930.0,1987.0,19.0,7801.0,2012.0,July,644.0,38505,401.0,376.0,688.0,744.0
4957,Germany,Syria,7930.0,1987.0,19.0,7801.0,2012.0,August,688.0,38505,644.0,401.0,744.0,904.0
4958,Germany,Syria,7930.0,1987.0,19.0,7801.0,2012.0,September,744.0,38505,688.0,644.0,904.0,1001.0
4959,Germany,Syria,7930.0,1987.0,19.0,7801.0,2012.0,October,904.0,38505,744.0,688.0,1001.0,588.0
4960,Germany,Syria,7930.0,1987.0,19.0,7801.0,2012.0,November,1001.0,38505,904.0,744.0,588.0,1047.0
4961,Germany,Syria,7930.0,1987.0,19.0,7801.0,2012.0,December,588.0,38505,1001.0,904.0,1047.0,709.0
5034,Germany,Syria,12863.0,2907.0,23.0,9235.0,2013.0,January,1047.0,69089,588.0,1001.0,709.0,555.0
5035,Germany,Syria,12863.0,2907.0,23.0,9235.0,2013.0,February,709.0,69089,1047.0,588.0,555.0,689.0
5036,Germany,Syria,12863.0,2907.0,23.0,9235.0,2013.0,March,555.0,69089,709.0,1047.0,689.0,731.0
5037,Germany,Syria,12863.0,2907.0,23.0,9235.0,2013.0,April,689.0,69089,555.0,709.0,731.0,737.0
5038,Germany,Syria,12863.0,2907.0,23.0,9235.0,2013.0,May,731.0,69089,689.0,555.0,737.0,1030.0
5039,Germany,Syria,12863.0,2907.0,23.0,9235.0,2013.0,June,737.0,69089,731.0,689.0,1030.0,1010.0
5040,Germany,Syria,12863.0,2907.0,23.0,9235.0,2013.0,July,1030.0,69089,737.0,731.0,1010.0,1246.0
5041,Germany,Syria,12863.0,2907.0,23.0,9235.0,2013.0,August,1010.0,69089,1030.0,737.0,1246.0,1641.0
5042,Germany,Syria,12863.0,2907.0,23.0,9235.0,2013.0,September,1246.0,69089,1010.0,1030.0,1641.0,1485.0
5043,Germany,Syria,12863.0,2907.0,23.0,9235.0,2013.0,October,1641.0,69089,1246.0,1010.0,1485.0,971.0
5044,Germany,Syria,12863.0,2907.0,23.0,9235.0,2013.0,November,1485.0,69089,1641.0,1246.0,971.0,1650.0
5045,Germany,Syria,12863.0,2907.0,23.0,9235.0,2013.0,December,971.0,69089,1485.0,1641.0,1650.0,1781.0
5118,Germany,Syria,41100.0,20507.0,19.0,26703.0,2014.0,January,1650.0,69712,971.0,1485.0,1781.0,1746.0
5119,Germany,Syria,41100.0,20507.0,19.0,26703.0,2014.0,February,1781.0,69712,1650.0,971.0,1746.0,1739.0
5120,Germany,Syria,41100.0,20507.0,19.0,26703.0,2014.0,March,1746.0,69712,1781.0,1650.0,1739.0,2523.0
5121,Germany,Syria,41100.0,20507.0,19.0,26703.0,2014.0,April,1739.0,69712,1746.0,1781.0,2523.0,2702.0
5122,Germany,Syria,41100.0,20507.0,19.0,26703.0,2014.0,May,2523.0,69712,1739.0,1746.0,2702.0,3723.0
5123,Germany,Syria,41100.0,20507.0,19.0,26703.0,2014.0,June,2702.0,69712,2523.0,1739.0,3723.0,3639.0
5124,Germany,Syria,41100.0,20507.0,19.0,26703.0,2014.0,July,3723.0,69712,2702.0,2523.0,3639.0,4502.0
5125,Germany,Syria,41100.0,20507.0,19.0,26703.0,2014.0,August,3639.0,69712,3723.0,2702.0,4502.0,5219.0
5126,Germany,Syria,41100.0,20507.0,19.0,26703.0,2014.0,September,4502.0,69712,3639.0,3723.0,5219.0,5198.0
5127,Germany,Syria,41100.0,20507.0,19.0,26703.0,2014.0,October,5219.0,69712,4502.0,3639.0,5198.0,4910.0
