,destination,Origin,applied,accepted,Rejected,decisions,Year,Month,Value,deaths,last_month,two_months_ago,next_month,two_months_later
4880,Italy,Syria,541.0,31.0,57.0,108.0,2011.0,March,14.0,964,4.0,28.0,37.0,26.0
4881,Italy,Syria,541.0,31.0,57.0,108.0,2011.0,April,37.0,964,14.0,4.0,26.0,34.0
4882,Italy,Syria,541.0,31.0,57.0,108.0,2011.0,May,26.0,964,37.0,14.0,34.0,99.0
4883,Italy,Syria,541.0,31.0,57.0,108.0,2011.0,June,34.0,964,26.0,37.0,99.0,173.0
4884,Italy,Syria,541.0,31.0,57.0,108.0,2011.0,July,99.0,964,34.0,26.0,173.0,41.0
4885,Italy,Syria,541.0,31.0,57.0,108.0,2011.0,August,173.0,964,99.0,34.0,41.0,26.0
4886,Italy,Syria,541.0,31.0,57.0,108.0,2011.0,September,41.0,964,173.0,99.0,26.0,27.0
4887,Italy,Syria,541.0,31.0,57.0,108.0,2011.0,October,26.0,964,41.0,173.0,27.0,32.0
4888,Italy,Syria,541.0,31.0,57.0,108.0,2011.0,November,27.0,964,26.0,41.0,32.0,13.0
4889,Italy,Syria,541.0,31.0,57.0,108.0,2011.0,December,32.0,964,27.0,26.0,13.0,11.0
4962,Italy,Syria,354.0,98.0,28.0,229.0,2012.0,January,13.0,38505,32.0,27.0,11.0,17.0
4963,Italy,Syria,354.0,98.0,28.0,229.0,2012.0,February,11.0,38505,13.0,32.0,17.0,8.0
4964,Italy,Syria,354.0,98.0,28.0,229.0,2012.0,March,17.0,38505,11.0,13.0,8.0,17.0
4965,Italy,Syria,354.0,98.0,28.0,229.0,2012.0,April,8.0,38505,17.0,11.0,17.0,15.0
4966,Italy,Syria,354.0,98.0,28.0,229.0,2012.0,May,17.0,38505,8.0,17.0,15.0,38.0
4967,Italy,Syria,354.0,98.0,28.0,229.0,2012.0,June,15.0,38505,17.0,8.0,38.0,25.0
4968,Italy,Syria,354.0,98.0,28.0,229.0,2012.0,July,38.0,38505,15.0,17.0,25.0,49.0
4969,Italy,Syria,354.0,98.0,28.0,229.0,2012.0,August,25.0,38505,38.0,15.0,49.0,35.0
4970,Italy,Syria,354.0,98.0,28.0,229.0,2012.0,September,49.0,38505,25.0,38.0,35.0,88.0
4971,Italy,Syria,354.0,98.0,28.0,229.0,2012.0,October,35.0,38505,49.0,25.0,88.0,38.0
4972,Italy,Syria,354.0,98.0,28.0,229.0,2012.0,November,88.0,38505,35.0,49.0,38.0,70.0
4973,Italy,Syria,354.0,98.0,28.0,229.0,2012.0,December,38.0,38505,88.0,35.0,70.0,27.0
5046,Italy,Syria,635.0,246.0,383.0,778.0,2013.0,January,70.0,69089,38.0,88.0,27.0,86.0
5047,Italy,Syria,635.0,246.0,383.0,778.0,2013.0,February,27.0,69089,70.0,38.0,86.0,38.0
5048,Italy,Syria,635.0,246.0,383.0,778.0,2013.0,March,86.0,69089,27.0,70.0,38.0,44.0
5049,Italy,Syria,635.0,246.0,383.0,778.0,2013.0,April,38.0,69089,86.0,27.0,44.0,54.0
5050,Italy,Syria,635.0,246.0,383.0,778.0,2013.0,May,44.0,69089,38.0,86.0,54.0,57.0
5051,Italy,Syria,635.0,246.0,383.0,778.0,2013.0,June,54.0,69089,44.0,38.0,57.0,43.0
5052,Italy,Syria,635.0,246.0,383.0,778.0,2013.0,July,57.0,69089,54.0,44.0,43.0,55.0
5053,Italy,Syria,635.0,246.0,383.0,778.0,2013.0,August,43.0,69089,57.0,54.0,55.0,101.0
5054,Italy,Syria,635.0,246.0,383.0,778.0,2013.0,September,55.0,69089,43.0,57.0,101.0,43.0
5055,Italy,Syria,635.0,246.0,383.0,778.0,2013.0,October,101.0,69089,55.0,43.0,43.0,16.0
5056,Italy,Syria,635.0,246.0,383.0,778.0,2013.0,November,43.0,69089,101.0,55.0,16.0,49.0
5057,Italy,Syria,635.0,246.0,383.0,778.0,2013.0,December,16.0,69089,43.0,101.0,49.0,35.0
5130,Italy,Syria,507.0,229.0,176.0,490.0,2014.0,January,49.0,69712,16.0,43.0,35.0,84.0
5131,Italy,Syria,507.0,229.0,176.0,490.0,2014.0,February,35.0,69712,49.0,16.0,84.0,35.0
5132,Italy,Syria,507.0,229.0,176.0,490.0,2014.0,March,84.0,69712,35.0,49.0,35.0,48.0
5133,Italy,Syria,507.0,229.0,176.0,490.0,2014.0,April,35.0,69712,84.0,35.0,48.0,39.0
5134,Italy,Syria,507.0,229.0,176.0,490.0,2014.0,May,48.0,69712,35.0,84.0,39.0,53.0
5135,Italy,Syria,507.0,229.0,176.0,490.0,2014.0,June,39.0,69712,48.0,35.0,53.0,28.0
5136,Italy,Syria,507.0,229.0,176.0,490.0,2014.0,July,53.0,69712,39.0,48.0,28.0,32.0
5137,Italy,Syria,507.0,229.0,176.0,490.0,2014.0,August,28.0,69712,53.0,39.0,32.0,46.0
5138,Italy,Syria,507.0,229.0,176.0,490.0,2014.0,September,32.0,69712,28.0,53.0,46.0,35.0
5139,Italy,Syria,507.0,229.0,176.0,490.0,2014.0,October,46.0,69712,32.0,28.0,35.0,20.0
5140,Italy,Syria,507.0,229.0,176.0,490.0,2014.0,November,35.0,69712,46.0,32.0,20.0,32.0
5141,Italy,Syria,507.0,229.0,176.0,490.0,2014.0,December,20.0,69712,35.0,46.0,32.0,25.0
5214,Italy,Syria,506.0,255.0,253.0,583.0,2015.0,January,32.0,56866,20.0,35.0,25.0,26.0
5215,Italy,Syria,506.0,255.0,253.0,583.0,2015.0,February,25.0,56866,32.0,20.0,26.0,36.0
5216,Italy,Syria,506.0,255.0,253.0,583.0,2015.0,March,26.0,56866,25.0,32.0,36.0,13.0
5217,Italy,Syria,506.0,255.0,253.0,583.0,2015.0,April,36.0,56866,26.0,25.0,13.0,24.0
5218,Italy,Syria,506.0,255.0,253.0,583.0,2015.0,May,13.0,56866,36.0,26.0,24.0,25.0
5219,Italy,Syria,506.0,255.0,253.0,583.0,2015.0,June,24.0,56866,13.0,36.0,25.0,15.0
5220,Italy,Syria,506.0,255.0,253.0,583.0,2015.0,July,25.0,56866,24.0,13.0,15.0,168.0
5221,Italy,Syria,506.0,255.0,253.0,583.0,2015.0,August,15.0,56866,25.0,24.0,168.0,66.0
5222,Italy,Syria,506.0,255.0,253.0,583.0,2015.0,September,168.0,56866,15.0,25.0,66.0,34.0
5223,Italy,Syria,506.0,255.0,253.0,583.0,2015.0,October,66.0,56866,168.0,15.0,34.0,42.0
5224,Italy,Syria,506.0,255.0,253.0,583.0,2015.0,November,34.0,56866,66.0,168.0,42.0,19.0
5225,Italy,Syria,506.0,255.0,253.0,583.0,2015.0,December,42.0,56866,34.0,66.0,19.0,26.0
5296,Italy,Syria,981.0,1101.0,16.0,1184.0,2016.0,January,19.0,53565,42.0,34.0,26.0,87.0
5297,Italy,Syria,981.0,1101.0,16.0,1184.0,2016.0,February,26.0,53565,19.0,42.0,87.0,200.0
5298,Italy,Syria,981.0,1101.0,16.0,1184.0,2016.0,March,87.0,53565,26.0,19.0,200.0,151.0
5299,Italy,Syria,981.0,1101.0,16.0,1184.0,2016.0,April,200.0,53565,87.0,26.0,151.0,315.0
5300,Italy,Syria,981.0,1101.0,16.0,1184.0,2016.0,May,151.0,53565,200.0,87.0,315.0,69.0
5301,Italy,Syria,981.0,1101.0,16.0,1184.0,2016.0,June,315.0,53565,151.0,200.0,69.0,22.0
5302,Italy,Syria,981.0,1101.0,16.0,1184.0,2016.0,July,69.0,53565,315.0,151.0,22.0,111.0
5303,Italy,Syria,981.0,1101.0,16.0,1184.0,2016.0,August,22.0,53565,69.0,315.0,111.0,11.0
5304,Italy,Syria,981.0,1101.0,16.0,1184.0,2016.0,September,111.0,53565,22.0,69.0,11.0,150.0
5305,Italy,Syria,981.0,1101.0,16.0,1184.0,2016.0,October,11.0,53565,111.0,22.0,150.0,68.0
5306,Italy,Syria,981.0,1101.0,16.0,1184.0,2016.0,November,150.0,53565,11.0,111.0,68.0,41.0
5307,Italy,Syria,981.0,1101.0,16.0,1184.0,2016.0,December,68.0,53565,150.0,11.0,41.0,73.0
5380,Italy,Syria,1690.0,1009.0,82.0,1190.0,2017.0,January,41.0,35654,68.0,150.0,73.0,388.0
5381,Italy,Syria,1690.0,1009.0,82.0,1190.0,2017.0,February,73.0,35654,41.0,68.0,388.0,131.0
5382,Italy,Syria,1690.0,1009.0,82.0,1190.0,2017.0,March,388.0,35654,73.0,41.0,131.0,209.0
5383,Italy,Syria,1690.0,1009.0,82.0,1190.0,2017.0,April,131.0,35654,388.0,73.0,209.0,288.0
5384,Italy,Syria,1690.0,1009.0,82.0,1190.0,2017.0,May,209.0,35654,131.0,388.0,288.0,282.0
5385,Italy,Syria,1690.0,1009.0,82.0,1190.0,2017.0,June,288.0,35654,209.0,131.0,282.0,115.0
5386,Italy,Syria,1690.0,1009.0,82.0,1190.0,2017.0,July,282.0,35654,288.0,209.0,115.0,145.0
5387,Italy,Syria,1690.0,1009.0,82.0,1190.0,2017.0,August,115.0,35654,282.0,288.0,145.0,26.0
5388,Italy,Syria,1690.0,1009.0,82.0,1190.0,2017.0,September,145.0,35654,115.0,282.0,26.0,175.0
5389,Italy,Syria,1690.0,1009.0,82.0,1190.0,2017.0,October,26.0,35654,145.0,115.0,175.0,15.0
