,destination,Origin,applied,accepted,Rejected,decisions,Year,Month,Value,deaths,last_month,two_months_ago,next_month,two_months_later
4793,UK,Syria,412.0,19.0,273.0,358.0,2004.0,March,21.0,379,18.0,11.0,35.0,18.0
4794,UK,Syria,412.0,19.0,273.0,358.0,2004.0,April,35.0,379,21.0,18.0,18.0,21.0
4795,UK,Syria,412.0,19.0,273.0,358.0,2004.0,May,18.0,379,35.0,21.0,21.0,50.0
4796,UK,Syria,412.0,19.0,273.0,358.0,2004.0,June,21.0,379,18.0,35.0,50.0,39.0
4797,UK,Syria,412.0,19.0,273.0,358.0,2004.0,July,50.0,379,21.0,18.0,39.0,42.0
4798,UK,Syria,412.0,19.0,273.0,358.0,2004.0,August,39.0,379,50.0,21.0,42.0,47.0
4799,UK,Syria,412.0,19.0,273.0,358.0,2004.0,September,42.0,379,39.0,50.0,47.0,50.0
4800,UK,Syria,412.0,19.0,273.0,358.0,2004.0,October,47.0,379,42.0,39.0,50.0,60.0
4801,UK,Syria,412.0,19.0,273.0,358.0,2004.0,November,50.0,379,47.0,42.0,60.0,6.0
4802,UK,Syria,412.0,19.0,273.0,358.0,2004.0,December,60.0,379,50.0,47.0,6.0,12.0
4854,UK,Syria,648.0,188.0,256.0,481.0,2011.0,January,6.0,964,60.0,50.0,12.0,19.0
4855,UK,Syria,648.0,188.0,256.0,481.0,2011.0,February,12.0,964,6.0,60.0,19.0,12.0
4856,UK,Syria,648.0,188.0,256.0,481.0,2011.0,March,19.0,964,12.0,6.0,12.0,23.0
4857,UK,Syria,648.0,188.0,256.0,481.0,2011.0,April,12.0,964,19.0,12.0,23.0,29.0
4858,UK,Syria,648.0,188.0,256.0,481.0,2011.0,May,23.0,964,12.0,19.0,29.0,64.0
4859,UK,Syria,648.0,188.0,256.0,481.0,2011.0,June,29.0,964,23.0,12.0,64.0,66.0
4860,UK,Syria,648.0,188.0,256.0,481.0,2011.0,July,64.0,964,29.0,23.0,66.0,70.0
4861,UK,Syria,648.0,188.0,256.0,481.0,2011.0,August,66.0,964,64.0,29.0,70.0,46.0
4862,UK,Syria,648.0,188.0,256.0,481.0,2011.0,September,70.0,964,66.0,64.0,46.0,70.0
4863,UK,Syria,648.0,188.0,256.0,481.0,2011.0,October,46.0,964,70.0,66.0,70.0,91.0
4864,UK,Syria,648.0,188.0,256.0,481.0,2011.0,November,70.0,964,46.0,70.0,91.0,71.0
4865,UK,Syria,648.0,188.0,256.0,481.0,2011.0,December,91.0,964,70.0,46.0,71.0,48.0
4938,UK,Syria,1473.0,971.0,258.0,1379.0,2012.0,January,71.0,38505,91.0,70.0,48.0,70.0
4939,UK,Syria,1473.0,971.0,258.0,1379.0,2012.0,February,48.0,38505,71.0,91.0,70.0,64.0
4940,UK,Syria,1473.0,971.0,258.0,1379.0,2012.0,March,70.0,38505,48.0,71.0,64.0,84.0
4941,UK,Syria,1473.0,971.0,258.0,1379.0,2012.0,April,64.0,38505,70.0,48.0,84.0,67.0
4942,UK,Syria,1473.0,971.0,258.0,1379.0,2012.0,May,84.0,38505,64.0,70.0,67.0,125.0
4943,UK,Syria,1473.0,971.0,258.0,1379.0,2012.0,June,67.0,38505,84.0,64.0,125.0,128.0
4944,UK,Syria,1473.0,971.0,258.0,1379.0,2012.0,July,125.0,38505,67.0,84.0,128.0,199.0
4945,UK,Syria,1473.0,971.0,258.0,1379.0,2012.0,August,128.0,38505,125.0,67.0,199.0,157.0
4946,UK,Syria,1473.0,971.0,258.0,1379.0,2012.0,September,199.0,38505,128.0,125.0,157.0,139.0
4947,UK,Syria,1473.0,971.0,258.0,1379.0,2012.0,October,157.0,38505,199.0,128.0,139.0,137.0
4948,UK,Syria,1473.0,971.0,258.0,1379.0,2012.0,November,139.0,38505,157.0,199.0,137.0,159.0
4949,UK,Syria,1473.0,971.0,258.0,1379.0,2012.0,December,137.0,38505,139.0,157.0,159.0,131.0
5022,UK,Syria,2132.0,1454.0,177.0,1829.0,2013.0,January,159.0,69089,137.0,139.0,131.0,121.0
5023,UK,Syria,2132.0,1454.0,177.0,1829.0,2013.0,February,131.0,69089,159.0,137.0,121.0,157.0
5024,UK,Syria,2132.0,1454.0,177.0,1829.0,2013.0,March,121.0,69089,131.0,159.0,157.0,126.0
5025,UK,Syria,2132.0,1454.0,177.0,1829.0,2013.0,April,157.0,69089,121.0,131.0,126.0,171.0
5026,UK,Syria,2132.0,1454.0,177.0,1829.0,2013.0,May,126.0,69089,157.0,121.0,171.0,224.0
5027,UK,Syria,2132.0,1454.0,177.0,1829.0,2013.0,June,171.0,69089,126.0,157.0,224.0,202.0
5028,UK,Syria,2132.0,1454.0,177.0,1829.0,2013.0,July,224.0,69089,171.0,126.0,202.0,205.0
5029,UK,Syria,2132.0,1454.0,177.0,1829.0,2013.0,August,202.0,69089,224.0,171.0,205.0,176.0
5030,UK,Syria,2132.0,1454.0,177.0,1829.0,2013.0,September,205.0,69089,202.0,224.0,176.0,186.0
5031,UK,Syria,2132.0,1454.0,177.0,1829.0,2013.0,October,176.0,69089,205.0,202.0,186.0,162.0
5032,UK,Syria,2132.0,1454.0,177.0,1829.0,2013.0,November,186.0,69089,176.0,205.0,162.0,151.0
5033,UK,Syria,2132.0,1454.0,177.0,1829.0,2013.0,December,162.0,69089,186.0,176.0,151.0,129.0
5106,UK,Syria,2504.0,1407.0,166.0,1793.0,2014.0,January,151.0,69712,162.0,186.0,129.0,162.0
5107,UK,Syria,2504.0,1407.0,166.0,1793.0,2014.0,February,129.0,69712,151.0,162.0,162.0,126.0
5108,UK,Syria,2504.0,1407.0,166.0,1793.0,2014.0,March,162.0,69712,129.0,151.0,126.0,133.0
5109,UK,Syria,2504.0,1407.0,166.0,1793.0,2014.0,April,126.0,69712,162.0,129.0,133.0,176.0
5110,UK,Syria,2504.0,1407.0,166.0,1793.0,2014.0,May,133.0,69712,126.0,162.0,176.0,185.0
5111,UK,Syria,2504.0,1407.0,166.0,1793.0,2014.0,June,176.0,69712,133.0,126.0,185.0,237.0
5112,UK,Syria,2504.0,1407.0,166.0,1793.0,2014.0,July,185.0,69712,176.0,133.0,237.0,255.0
5113,UK,Syria,2504.0,1407.0,166.0,1793.0,2014.0,August,237.0,69712,185.0,176.0,255.0,303.0
5114,UK,Syria,2504.0,1407.0,166.0,1793.0,2014.0,September,255.0,69712,237.0,185.0,303.0,244.0
5115,UK,Syria,2504.0,1407.0,166.0,1793.0,2014.0,October,303.0,69712,255.0,237.0,244.0,252.0
5116,UK,Syria,2504.0,1407.0,166.0,1793.0,2014.0,November,244.0,69712,303.0,255.0,252.0,250.0
5117,UK,Syria,2504.0,1407.0,166.0,1793.0,2014.0,December,252.0,69712,244.0,303.0,250.0,153.0
5190,UK,Syria,3042.0,2045.0,268.0,2609.0,2015.0,January,250.0,56866,252.0,244.0,153.0,154.0
5191,UK,Syria,3042.0,2045.0,268.0,2609.0,2015.0,February,153.0,56866,250.0,252.0,154.0,109.0
5192,UK,Syria,3042.0,2045.0,268.0,2609.0,2015.0,March,154.0,56866,153.0,250.0,109.0,135.0
5193,UK,Syria,3042.0,2045.0,268.0,2609.0,2015.0,April,109.0,56866,154.0,153.0,135.0,159.0
5194,UK,Syria,3042.0,2045.0,268.0,2609.0,2015.0,May,135.0,56866,109.0,154.0,159.0,308.0
5195,UK,Syria,3042.0,2045.0,268.0,2609.0,2015.0,June,159.0,56866,135.0,109.0,308.0,224.0
5196,UK,Syria,3042.0,2045.0,268.0,2609.0,2015.0,July,308.0,56866,159.0,135.0,224.0,324.0
5197,UK,Syria,3042.0,2045.0,268.0,2609.0,2015.0,August,224.0,56866,308.0,159.0,324.0,534.0
5198,UK,Syria,3042.0,2045.0,268.0,2609.0,2015.0,September,324.0,56866,224.0,308.0,534.0,259.0
5199,UK,Syria,3042.0,2045.0,268.0,2609.0,2015.0,October,534.0,56866,324.0,224.0,259.0,185.0
5200,UK,Syria,3042.0,2045.0,268.0,2609.0,2015.0,November,259.0,56866,534.0,324.0,185.0,177.0
5201,UK,Syria,3042.0,2045.0,268.0,2609.0,2015.0,December,185.0,56866,259.0,534.0,177.0,141.0
5272,UK,Syria,1724.0,1800.0,236.0,2310.0,2016.0,January,177.0,53565,185.0,259.0,141.0,175.0
5273,UK,Syria,1724.0,1800.0,236.0,2310.0,2016.0,February,141.0,53565,177.0,185.0,175.0,182.0
5274,UK,Syria,1724.0,1800.0,236.0,2310.0,2016.0,March,175.0,53565,141.0,177.0,182.0,161.0
5275,UK,Syria,1724.0,1800.0,236.0,2310.0,2016.0,April,182.0,53565,175.0,141.0,161.0,134.0
