,destination,Origin,applied,accepted,Rejected,decisions,Year,Month,Value,deaths,last_month,two_months_ago,next_month,two_months_later
4817,USA,Syria,99.0,23.0,73.0,147.0,2004.0,May,6.0,379,8.0,5.0,7.0,6.0
4818,USA,Syria,99.0,23.0,73.0,147.0,2004.0,January,7.0,379,6.0,8.0,6.0,2.0
4819,USA,Syria,99.0,23.0,73.0,147.0,2004.0,February,6.0,379,7.0,6.0,2.0,4.0
4820,USA,Syria,99.0,23.0,73.0,147.0,2004.0,March,2.0,379,6.0,7.0,4.0,6.0
4821,USA,Syria,99.0,23.0,73.0,147.0,2004.0,April,4.0,379,2.0,6.0,6.0,2.0
4822,USA,Syria,99.0,23.0,73.0,147.0,2004.0,May,6.0,379,4.0,2.0,2.0,7.0
4823,USA,Syria,99.0,23.0,73.0,147.0,2004.0,June,2.0,379,6.0,4.0,7.0,2.0
4824,USA,Syria,99.0,23.0,73.0,147.0,2004.0,July,7.0,379,2.0,6.0,2.0,5.0
4825,USA,Syria,99.0,23.0,73.0,147.0,2004.0,August,2.0,379,7.0,2.0,5.0,1.0
4826,USA,Syria,99.0,23.0,73.0,147.0,2004.0,September,5.0,379,2.0,7.0,1.0,2.0
4827,USA,Syria,99.0,23.0,73.0,147.0,2004.0,October,1.0,379,5.0,2.0,2.0,2.0
4828,USA,Syria,99.0,23.0,73.0,147.0,2004.0,November,2.0,379,1.0,5.0,2.0,1.0
4829,USA,Syria,99.0,23.0,73.0,147.0,2004.0,December,2.0,379,2.0,1.0,1.0,2.0
4890,USA,Syria,263.0,77.0,29.0,188.0,2011.0,January,1.0,964,2.0,2.0,2.0,3.0
4891,USA,Syria,263.0,77.0,29.0,188.0,2011.0,February,2.0,964,1.0,2.0,3.0,6.0
4892,USA,Syria,263.0,77.0,29.0,188.0,2011.0,March,3.0,964,2.0,1.0,6.0,14.0
4893,USA,Syria,263.0,77.0,29.0,188.0,2011.0,April,6.0,964,3.0,2.0,14.0,14.0
4894,USA,Syria,263.0,77.0,29.0,188.0,2011.0,May,14.0,964,6.0,3.0,14.0,17.0
4895,USA,Syria,263.0,77.0,29.0,188.0,2011.0,June,14.0,964,14.0,6.0,17.0,29.0
4896,USA,Syria,263.0,77.0,29.0,188.0,2011.0,July,17.0,964,14.0,14.0,29.0,24.0
4897,USA,Syria,263.0,77.0,29.0,188.0,2011.0,August,29.0,964,17.0,14.0,24.0,25.0
4898,USA,Syria,263.0,77.0,29.0,188.0,2011.0,September,24.0,964,29.0,17.0,25.0,36.0
4899,USA,Syria,263.0,77.0,29.0,188.0,2011.0,October,25.0,964,24.0,29.0,36.0,34.0
4900,USA,Syria,263.0,77.0,29.0,188.0,2011.0,November,36.0,964,25.0,24.0,34.0,8.0
4901,USA,Syria,263.0,77.0,29.0,188.0,2011.0,December,34.0,964,36.0,25.0,8.0,1.0
4902,USA,Syria,263.0,77.0,29.0,188.0,2011.0,January,8.0,964,34.0,36.0,1.0,1.0
4903,USA,Syria,263.0,77.0,29.0,188.0,2011.0,February,1.0,964,8.0,34.0,1.0,4.0
4904,USA,Syria,263.0,77.0,29.0,188.0,2011.0,March,1.0,964,1.0,8.0,4.0,6.0
4905,USA,Syria,263.0,77.0,29.0,188.0,2011.0,April,4.0,964,1.0,1.0,6.0,8.0
4906,USA,Syria,263.0,77.0,29.0,188.0,2011.0,May,6.0,964,4.0,1.0,8.0,4.0
4907,USA,Syria,263.0,77.0,29.0,188.0,2011.0,June,8.0,964,6.0,4.0,4.0,2.0
4908,USA,Syria,263.0,77.0,29.0,188.0,2011.0,July,4.0,964,8.0,6.0,2.0,3.0
4909,USA,Syria,263.0,77.0,29.0,188.0,2011.0,August,2.0,964,4.0,8.0,3.0,5.0
4910,USA,Syria,263.0,77.0,29.0,188.0,2011.0,September,3.0,964,2.0,4.0,5.0,10.0
4911,USA,Syria,263.0,77.0,29.0,188.0,2011.0,October,5.0,964,3.0,2.0,10.0,5.0
4912,USA,Syria,263.0,77.0,29.0,188.0,2011.0,November,10.0,964,5.0,3.0,5.0,52.0
4913,USA,Syria,263.0,77.0,29.0,188.0,2011.0,December,5.0,964,10.0,5.0,52.0,31.0
4974,USA,Syria,704.0,362.0,34.0,538.0,2012.0,January,52.0,38505,5.0,10.0,31.0,56.0
4975,USA,Syria,704.0,362.0,34.0,538.0,2012.0,February,31.0,38505,52.0,5.0,56.0,47.0
4976,USA,Syria,704.0,362.0,34.0,538.0,2012.0,March,56.0,38505,31.0,52.0,47.0,40.0
4977,USA,Syria,704.0,362.0,34.0,538.0,2012.0,April,47.0,38505,56.0,31.0,40.0,35.0
4978,USA,Syria,704.0,362.0,34.0,538.0,2012.0,May,40.0,38505,47.0,56.0,35.0,40.0
4979,USA,Syria,704.0,362.0,34.0,538.0,2012.0,June,35.0,38505,40.0,47.0,40.0,41.0
4980,USA,Syria,704.0,362.0,34.0,538.0,2012.0,July,40.0,38505,35.0,40.0,41.0,50.0
4981,USA,Syria,704.0,362.0,34.0,538.0,2012.0,August,41.0,38505,40.0,35.0,50.0,89.0
4982,USA,Syria,704.0,362.0,34.0,538.0,2012.0,September,50.0,38505,41.0,40.0,89.0,81.0
4983,USA,Syria,704.0,362.0,34.0,538.0,2012.0,October,89.0,38505,50.0,41.0,81.0,85.0
4984,USA,Syria,704.0,362.0,34.0,538.0,2012.0,November,81.0,38505,89.0,50.0,85.0,6.0
4985,USA,Syria,704.0,362.0,34.0,538.0,2012.0,December,85.0,38505,81.0,89.0,6.0,6.0
