,destination,Origin,Year,Month,Value,deaths
0,Canada,Afghanistan,2000,January,24,5235
1,Canada,Afghanistan,2000,February,29,5235
2,Canada,Afghanistan,2000,March,55,5235
3,Canada,Afghanistan,2000,April,18,5235
4,Canada,Afghanistan,2000,May,28,5235
5,Canada,Afghanistan,2000,June,35,5235
6,Canada,Afghanistan,2000,July,61,5235
7,Canada,Afghanistan,2000,August,47,5235
8,Canada,Afghanistan,2000,September,63,5235
9,Canada,Afghanistan,2000,October,36,5235
10,Canada,Afghanistan,2000,November,47,5235
11,Canada,Afghanistan,2000,December,28,5235
12,France,Afghanistan,2000,January,15,5235
13,France,Afghanistan,2000,February,22,5235
14,France,Afghanistan,2000,March,22,5235
15,France,Afghanistan,2000,April,11,5235
16,France,Afghanistan,2000,May,27,5235
17,France,Afghanistan,2000,June,21,5235
18,France,Afghanistan,2000,July,26,5235
19,France,Afghanistan,2000,August,23,5235
20,France,Afghanistan,2000,September,16,5235
21,France,Afghanistan,2000,October,27,5235
22,France,Afghanistan,2000,November,10,5235
23,France,Afghanistan,2000,December,20,5235
24,UK,Afghanistan,2000,January,315,5235
25,UK,Afghanistan,2000,February,450,5235
26,UK,Afghanistan,2000,March,365,5235
27,UK,Afghanistan,2000,April,425,5235
28,UK,Afghanistan,2000,May,405,5235
29,UK,Afghanistan,2000,June,365,5235
30,UK,Afghanistan,2000,July,380,5235
31,UK,Afghanistan,2000,August,475,5235
32,UK,Afghanistan,2000,September,495,5235
33,UK,Afghanistan,2000,October,535,5235
34,UK,Afghanistan,2000,November,520,5235
35,UK,Afghanistan,2000,December,490,5235
36,Germany,Afghanistan,2000,January,365,5235
37,Germany,Afghanistan,2000,February,332,5235
38,Germany,Afghanistan,2000,March,426,5235
39,Germany,Afghanistan,2000,April,253,5235
40,Germany,Afghanistan,2000,May,406,5235
41,Germany,Afghanistan,2000,June,373,5235
42,Germany,Afghanistan,2000,July,350,5235
43,Germany,Afghanistan,2000,August,461,5235
44,Germany,Afghanistan,2000,September,513,5235
45,Germany,Afghanistan,2000,October,645,5235
46,Germany,Afghanistan,2000,November,763,5235
47,Germany,Afghanistan,2000,December,512,5235
48,USA,Afghanistan,2000,January,23,5235
49,USA,Afghanistan,2000,February,20,5235
50,USA,Afghanistan,2000,March,10,5235
51,USA,Afghanistan,2000,April,19,5235
52,USA,Afghanistan,2000,May,20,5235
53,USA,Afghanistan,2000,June,15,5235
54,USA,Afghanistan,2000,July,11,5235
55,USA,Afghanistan,2000,September,22,5235
56,USA,Afghanistan,2000,October,17,5235
57,USA,Afghanistan,2000,November,29,5235
58,USA,Afghanistan,2000,December,17,5235
59,USA,Afghanistan,2000,January,12,5235
60,USA,Afghanistan,2000,February,13,5235
61,USA,Afghanistan,2000,March,12,5235
62,USA,Afghanistan,2000,April,16,5235
63,USA,Afghanistan,2000,May,10,5235
64,USA,Afghanistan,2000,June,3,5235
65,USA,Afghanistan,2000,July,6,5235
66,USA,Afghanistan,2000,August,9,5235
67,USA,Afghanistan,2000,September,12,5235
68,USA,Afghanistan,2000,October,14,5235
69,USA,Afghanistan,2000,November,8,5235
70,USA,Afghanistan,2000,December,10,5235
71,Canada,Afghanistan,2001,January,43,5308
72,Canada,Afghanistan,2001,February,35,5308
73,Canada,Afghanistan,2001,March,34,5308
74,Canada,Afghanistan,2001,April,29,5308
75,Canada,Afghanistan,2001,May,35,5308
76,Canada,Afghanistan,2001,June,22,5308
77,Canada,Afghanistan,2001,July,69,5308
78,Canada,Afghanistan,2001,August,39,5308
79,Canada,Afghanistan,2001,September,51,5308
80,Canada,Afghanistan,2001,October,51,5308
81,Canada,Afghanistan,2001,November,18,5308
82,Canada,Afghanistan,2001,December,3,5308
83,France,Afghanistan,2001,January,17,5308
84,France,Afghanistan,2001,February,32,5308
85,France,Afghanistan,2001,March,28,5308
86,France,Afghanistan,2001,April,24,5308
87,France,Afghanistan,2001,May,22,5308
88,France,Afghanistan,2001,June,11,5308
89,France,Afghanistan,2001,July,32,5308
90,France,Afghanistan,2001,August,18,5308
91,France,Afghanistan,2001,September,12,5308
92,France,Afghanistan,2001,October,35,5308
93,France,Afghanistan,2001,November,13,5308
94,France,Afghanistan,2001,December,25,5308
95,UK,Afghanistan,2001,January,570,5308
96,UK,Afghanistan,2001,February,645,5308
97,UK,Afghanistan,2001,March,705,5308
98,UK,Afghanistan,2001,April,670,5308
99,UK,Afghanistan,2001,May,855,5308
100,UK,Afghanistan,2001,June,880,5308
101,UK,Afghanistan,2001,July,805,5308
102,UK,Afghanistan,2001,August,875,5308
103,UK,Afghanistan,2001,September,715,5308
104,UK,Afghanistan,2001,October,815,5308
105,UK,Afghanistan,2001,November,670,5308
106,UK,Afghanistan,2001,December,715,5308
107,Germany,Afghanistan,2001,January,442,5308
108,Germany,Afghanistan,2001,February,352,5308
109,Germany,Afghanistan,2001,March,394,5308
110,Germany,Afghanistan,2001,April,348,5308
111,Germany,Afghanistan,2001,May,355,5308
112,Germany,Afghanistan,2001,June,325,5308
113,Germany,Afghanistan,2001,July,488,5308
114,Germany,Afghanistan,2001,August,649,5308
115,Germany,Afghanistan,2001,September,842,5308
116,Germany,Afghanistan,2001,October,678,5308
117,Germany,Afghanistan,2001,November,604,5308
118,Germany,Afghanistan,2001,December,376,5308
119,USA,Afghanistan,2001,January,24,5308
120,USA,Afghanistan,2001,February,17,5308
121,USA,Afghanistan,2001,March,30,5308
122,USA,Afghanistan,2001,April,22,5308
123,USA,Afghanistan,2001,May,19,5308
124,USA,Afghanistan,2001,June,34,5308
125,USA,Afghanistan,2001,July,27,5308
126,USA,Afghanistan,2001,August,18,5308
127,USA,Afghanistan,2001,September,27,5308
128,USA,Afghanistan,2001,October,26,5308
129,USA,Afghanistan,2001,November,32,5308
130,USA,Afghanistan,2001,December,20,5308
131,USA,Afghanistan,2001,January,8,5308
132,USA,Afghanistan,2001,February,14,5308
133,USA,Afghanistan,2001,March,14,5308
134,USA,Afghanistan,2001,April,14,5308
135,USA,Afghanistan,2001,May,19,5308
136,USA,Afghanistan,2001,June,18,5308
137,USA,Afghanistan,2001,July,8,5308
138,USA,Afghanistan,2001,August,12,5308
139,USA,Afghanistan,2001,September,15,5308
140,USA,Afghanistan,2001,October,12,5308
141,USA,Afghanistan,2001,November,15,5308
142,USA,Afghanistan,2001,December,14,5308
143,Canada,Afghanistan,2002,January,13,908
144,Canada,Afghanistan,2002,February,11,908
145,Canada,Afghanistan,2002,March,3,908
146,Canada,Afghanistan,2002,April,3,908
147,Canada,Afghanistan,2002,May,6,908
148,Canada,Afghanistan,2002,June,5,908
149,Canada,Afghanistan,2002,July,2,908
150,Canada,Afghanistan,2002,August,8,908
151,Canada,Afghanistan,2002,September,7,908
152,Canada,Afghanistan,2002,October,17,908
153,Canada,Afghanistan,2002,November,3,908
154,Canada,Afghanistan,2002,December,10,908
155,France,Afghanistan,2002,January,17,908
156,France,Afghanistan,2002,February,14,908
157,France,Afghanistan,2002,March,21,908
158,France,Afghanistan,2002,April,7,908
159,France,Afghanistan,2002,May,7,908
160,France,Afghanistan,2002,June,14,908
161,France,Afghanistan,2002,July,34,908
162,France,Afghanistan,2002,August,17,908
163,France,Afghanistan,2002,September,19,908
164,France,Afghanistan,2002,October,24,908
165,France,Afghanistan,2002,November,39,908
166,France,Afghanistan,2002,December,46,908
167,UK,Afghanistan,2002,January,926,908
168,UK,Afghanistan,2002,February,822,908
169,UK,Afghanistan,2002,March,725,908
170,UK,Afghanistan,2002,April,928,908
171,UK,Afghanistan,2002,May,842,908
172,UK,Afghanistan,2002,June,546,908
173,UK,Afghanistan,2002,July,703,908
174,UK,Afghanistan,2002,August,499,908
175,UK,Afghanistan,2002,September,614,908
176,UK,Afghanistan,2002,October,571,908
177,UK,Afghanistan,2002,November,521,908
178,UK,Afghanistan,2002,December,367,908
179,Germany,Afghanistan,2002,January,536,908
180,Germany,Afghanistan,2002,February,268,908
181,Germany,Afghanistan,2002,March,250,908
182,Germany,Afghanistan,2002,April,266,908
183,Germany,Afghanistan,2002,May,230,908
184,Germany,Afghanistan,2002,June,231,908
185,Germany,Afghanistan,2002,July,240,908
186,Germany,Afghanistan,2002,August,170,908
187,Germany,Afghanistan,2002,September,176,908
188,Germany,Afghanistan,2002,October,143,908
189,Germany,Afghanistan,2002,November,130,908
190,Germany,Afghanistan,2002,December,139,908
191,USA,Afghanistan,2002,January,16,908
192,USA,Afghanistan,2002,March,11,908
193,USA,Afghanistan,2002,May,10,908
194,USA,Afghanistan,2002,December,8,908
195,USA,Afghanistan,2002,January,9,908
196,USA,Afghanistan,2002,February,12,908
197,USA,Afghanistan,2002,March,5,908
198,USA,Afghanistan,2002,April,4,908
199,USA,Afghanistan,2002,May,11,908
200,USA,Afghanistan,2002,June,3,908
201,USA,Afghanistan,2002,July,3,908
202,USA,Afghanistan,2002,August,5,908
203,USA,Afghanistan,2002,September,4,908
204,USA,Afghanistan,2002,October,3,908
205,USA,Afghanistan,2002,November,7,908
206,USA,Afghanistan,2002,December,7,908
207,Canada,Afghanistan,2003,January,1,714
208,Canada,Afghanistan,2003,February,12,714
209,Canada,Afghanistan,2003,March,5,714
210,Canada,Afghanistan,2003,April,11,714
211,Canada,Afghanistan,2003,May,7,714
212,Canada,Afghanistan,2003,June,6,714
213,Canada,Afghanistan,2003,July,13,714
214,Canada,Afghanistan,2003,August,15,714
215,Canada,Afghanistan,2003,September,12,714
216,Canada,Afghanistan,2003,October,15,714
217,Canada,Afghanistan,2003,November,19,714
218,Canada,Afghanistan,2003,December,5,714
219,France,Afghanistan,2003,January,41,714
220,France,Afghanistan,2003,February,29,714
221,France,Afghanistan,2003,March,69,714
222,France,Afghanistan,2003,April,48,714
223,France,Afghanistan,2003,May,32,714
224,France,Afghanistan,2003,June,43,714
225,France,Afghanistan,2003,July,31,714
226,France,Afghanistan,2003,August,5,714
227,France,Afghanistan,2003,September,8,714
228,France,Afghanistan,2003,October,21,714
229,France,Afghanistan,2003,November,12,714
230,France,Afghanistan,2003,December,7,714
231,UK,Afghanistan,2003,January,443,714
232,UK,Afghanistan,2003,February,337,714
233,UK,Afghanistan,2003,March,274,714
234,UK,Afghanistan,2003,April,227,714
235,UK,Afghanistan,2003,May,146,714
236,UK,Afghanistan,2003,June,176,714
237,UK,Afghanistan,2003,July,152,714
238,UK,Afghanistan,2003,August,152,714
239,UK,Afghanistan,2003,September,226,714
240,UK,Afghanistan,2003,October,190,714
241,UK,Afghanistan,2003,November,137,714
242,UK,Afghanistan,2003,December,131,714
243,Germany,Afghanistan,2003,January,211,714
244,Germany,Afghanistan,2003,February,119,714
245,Germany,Afghanistan,2003,March,120,714
246,Germany,Afghanistan,2003,April,127,714
247,Germany,Afghanistan,2003,May,121,714
248,Germany,Afghanistan,2003,June,87,714
249,Germany,Afghanistan,2003,July,153,714
250,Germany,Afghanistan,2003,August,86,714
251,Germany,Afghanistan,2003,September,144,714
252,Germany,Afghanistan,2003,October,120,714
253,Germany,Afghanistan,2003,November,104,714
254,Germany,Afghanistan,2003,December,75,714
255,USA,Afghanistan,2003,May,5,714
256,USA,Afghanistan,2003,January,8,714
257,USA,Afghanistan,2003,February,3,714
258,USA,Afghanistan,2003,March,1,714
259,USA,Afghanistan,2003,April,8,714
260,USA,Afghanistan,2003,May,7,714
261,USA,Afghanistan,2003,June,3,714
262,USA,Afghanistan,2003,July,5,714
263,USA,Afghanistan,2003,August,2,714
264,USA,Afghanistan,2003,September,3,714
265,USA,Afghanistan,2003,October,6,714
266,USA,Afghanistan,2003,November,5,714
267,USA,Afghanistan,2003,December,1,714
268,Canada,Afghanistan,2004,January,12,1089
269,Canada,Afghanistan,2004,February,5,1089
270,Canada,Afghanistan,2004,March,15,1089
271,Canada,Afghanistan,2004,April,8,1089
272,Canada,Afghanistan,2004,May,6,1089
273,Canada,Afghanistan,2004,June,12,1089
274,Canada,Afghanistan,2004,July,3,1089
275,Canada,Afghanistan,2004,August,10,1089
276,Canada,Afghanistan,2004,September,18,1089
277,Canada,Afghanistan,2004,October,12,1089
278,Canada,Afghanistan,2004,November,15,1089
279,Canada,Afghanistan,2004,December,12,1089
280,France,Afghanistan,2004,January,16,1089
281,France,Afghanistan,2004,February,12,1089
282,France,Afghanistan,2004,March,22,1089
283,France,Afghanistan,2004,April,13,1089
284,France,Afghanistan,2004,May,12,1089
285,France,Afghanistan,2004,June,15,1089
286,France,Afghanistan,2004,July,6,1089
287,France,Afghanistan,2004,August,17,1089
288,France,Afghanistan,2004,September,10,1089
289,France,Afghanistan,2004,October,16,1089
290,France,Afghanistan,2004,November,12,1089
291,France,Afghanistan,2004,December,13,1089
292,UK,Afghanistan,2004,January,104,1089
293,UK,Afghanistan,2004,February,120,1089
294,UK,Afghanistan,2004,March,117,1089
295,UK,Afghanistan,2004,April,101,1089
296,UK,Afghanistan,2004,May,99,1089
297,UK,Afghanistan,2004,June,201,1089
298,UK,Afghanistan,2004,July,167,1089
299,UK,Afghanistan,2004,August,137,1089
300,UK,Afghanistan,2004,September,144,1089
301,UK,Afghanistan,2004,October,113,1089
302,UK,Afghanistan,2004,November,168,1089
303,UK,Afghanistan,2004,December,134,1089
304,Germany,Afghanistan,2004,January,123,1089
