,destination,Origin,Year,Month,Value
0,Canada,Afghanistan,1999,January,62
1,Canada,Afghanistan,1999,February,32
2,Canada,Afghanistan,1999,March,25
3,Canada,Afghanistan,1999,April,20
4,Canada,Afghanistan,1999,May,26
5,Canada,Afghanistan,1999,June,45
6,Canada,Afghanistan,1999,July,47
7,Canada,Afghanistan,1999,August,41
8,Canada,Afghanistan,1999,September,53
9,Canada,Afghanistan,1999,October,54
10,Canada,Afghanistan,1999,November,61
11,Canada,Afghanistan,1999,December,73
12,Canada,Afghanistan,2000,January,24
13,Canada,Afghanistan,2000,February,29
14,Canada,Afghanistan,2000,March,55
15,Canada,Afghanistan,2000,April,18
16,Canada,Afghanistan,2000,May,28
17,Canada,Afghanistan,2000,June,35
18,Canada,Afghanistan,2000,July,61
19,Canada,Afghanistan,2000,August,47
20,Canada,Afghanistan,2000,September,63
21,Canada,Afghanistan,2000,October,36
22,Canada,Afghanistan,2000,November,47
23,Canada,Afghanistan,2000,December,28
24,Canada,Afghanistan,2001,January,43
25,Canada,Afghanistan,2001,February,35
26,Canada,Afghanistan,2001,March,34
27,Canada,Afghanistan,2001,April,29
28,Canada,Afghanistan,2001,May,35
29,Canada,Afghanistan,2001,June,22
30,Canada,Afghanistan,2001,July,69
31,Canada,Afghanistan,2001,August,39
32,Canada,Afghanistan,2001,September,51
33,Canada,Afghanistan,2001,October,51
34,Canada,Afghanistan,2001,November,18
35,Canada,Afghanistan,2001,December,3
36,Canada,Afghanistan,2002,January,13
37,Canada,Afghanistan,2002,February,11
38,Canada,Afghanistan,2002,March,3
39,Canada,Afghanistan,2002,April,3
40,Canada,Afghanistan,2002,May,6
41,Canada,Afghanistan,2002,June,5
42,Canada,Afghanistan,2002,July,2
43,Canada,Afghanistan,2002,August,8
44,Canada,Afghanistan,2002,September,7
45,Canada,Afghanistan,2002,October,17
46,Canada,Afghanistan,2002,November,3
47,Canada,Afghanistan,2002,December,10
48,Canada,Afghanistan,2003,January,1
49,Canada,Afghanistan,2003,February,12
50,Canada,Afghanistan,2003,March,5
51,Canada,Afghanistan,2003,April,11
52,Canada,Afghanistan,2003,May,7
53,Canada,Afghanistan,2003,June,6
54,Canada,Afghanistan,2003,July,13
55,Canada,Afghanistan,2003,August,15
56,Canada,Afghanistan,2003,September,12
57,Canada,Afghanistan,2003,October,15
58,Canada,Afghanistan,2003,November,19
59,Canada,Afghanistan,2003,December,5
60,Canada,Afghanistan,2004,January,12
61,Canada,Afghanistan,2004,February,5
62,Canada,Afghanistan,2004,March,15
63,Canada,Afghanistan,2004,April,8
64,Canada,Afghanistan,2004,May,6
65,Canada,Afghanistan,2004,June,12
66,Canada,Afghanistan,2004,July,3
67,Canada,Afghanistan,2004,August,10
68,Canada,Afghanistan,2004,September,18
69,Canada,Afghanistan,2004,October,12
70,Canada,Afghanistan,2004,November,15
71,Canada,Afghanistan,2004,December,12
72,Canada,Afghanistan,2005,January,17
73,Canada,Afghanistan,2005,February,15
74,Canada,Afghanistan,2005,March,4
75,Canada,Afghanistan,2005,April,16
76,Canada,Afghanistan,2005,May,4
77,Canada,Afghanistan,2005,June,29
78,Canada,Afghanistan,2005,July,39
79,Canada,Afghanistan,2005,August,20
80,Canada,Afghanistan,2005,September,31
81,Canada,Afghanistan,2005,October,28
82,Canada,Afghanistan,2005,November,22
83,Canada,Afghanistan,2005,December,13
