Date,D4,D3,D2,D1,D0,None
11/06/2018,0.00,0.00,0.00,3.46,19.55,80.45
10/30/2018,0.00,0.00,0.00,1.93,18.72,81.28
10/23/2018,0.00,0.00,0.00,3.58,33.21,66.79
10/16/2018,0.00,0.00,0.00,3.58,23.82,76.18
10/09/2018,0.00,0.00,0.00,8.27,57.41,42.59
10/02/2018,0.00,0.00,0.00,8.27,45.48,54.52
09/25/2018,0.00,0.00,0.00,6.72,29.05,70.95
09/18/2018,0.00,0.00,0.00,1.90,17.29,82.71
09/11/2018,0.00,0.00,0.00,0.00,6.99,93.01
09/04/2018,0.00,0.00,0.00,0.00,7.84,92.16
08/28/2018,0.00,0.00,0.00,0.00,0.00,100.00
08/21/2018,0.00,0.00,0.00,0.00,0.00,100.00
08/14/2018,0.00,0.00,0.00,0.00,0.00,100.00
08/07/2018,0.00,0.00,0.00,0.00,0.00,100.00
07/31/2018,0.00,0.00,0.00,0.00,0.00,100.00
07/24/2018,0.00,0.00,0.00,0.00,0.00,100.00
07/17/2018,0.00,0.00,0.00,0.00,0.00,100.00
07/10/2018,0.00,0.00,0.00,0.00,0.00,100.00
07/03/2018,0.00,0.00,0.00,0.00,0.00,100.00
06/26/2018,0.00,0.00,0.00,0.00,0.00,100.00
06/19/2018,0.00,0.00,0.00,0.00,0.00,100.00
06/12/2018,0.00,0.00,0.00,0.00,0.00,100.00
06/05/2018,0.00,0.00,0.00,0.00,0.00,100.00
05/29/2018,0.00,0.00,0.00,0.00,0.83,99.17
05/22/2018,0.00,0.00,0.00,0.00,33.37,66.63
05/15/2018,0.00,0.00,5.30,30.19,59.72,40.28
05/08/2018,0.00,0.00,5.30,30.19,59.50,40.50
05/01/2018,0.00,0.00,5.30,28.48,57.54,42.46
04/24/2018,0.00,0.00,8.66,32.73,58.13,41.87
04/17/2018,0.00,0.00,16.71,49.84,71.80,28.20
04/10/2018,0.00,0.00,17.72,56.92,76.31,23.69
04/03/2018,0.00,0.00,16.00,51.19,68.73,31.27
03/27/2018,0.00,0.00,10.42,50.54,68.85,31.15
03/20/2018,0.00,0.00,10.42,49.86,66.08,33.92
03/13/2018,0.00,0.00,7.46,51.71,68.20,31.80
03/06/2018,0.00,0.00,2.07,37.36,70.34,29.66
02/27/2018,0.00,0.00,0.00,26.88,68.17,31.83
02/20/2018,0.00,0.00,0.00,23.03,68.17,31.83
02/13/2018,0.00,0.00,0.00,23.24,70.87,29.13
02/06/2018,0.00,0.00,11.53,46.63,92.53,7.47
01/30/2018,0.00,0.00,22.51,50.48,98.46,1.54
01/23/2018,0.00,0.00,17.88,54.62,99.65,0.35
01/16/2018,0.00,0.00,10.33,37.54,97.73,2.27
01/09/2018,0.00,0.00,6.70,36.04,98.02,1.98
01/02/2018,0.00,0.00,0.00,40.66,87.86,12.14
12/26/2017,0.00,0.00,0.00,39.98,69.33,30.67
12/19/2017,0.00,0.00,0.00,38.44,76.13,23.87
12/12/2017,0.00,0.00,0.00,36.72,75.20,24.80
12/05/2017,0.00,0.00,0.00,44.68,75.09,24.91
11/28/2017,0.00,0.00,0.00,11.20,66.87,33.13
11/21/2017,0.00,0.00,0.00,11.20,66.87,33.13
11/14/2017,0.00,0.00,0.00,3.07,51.97,48.03
11/07/2017,0.00,0.00,0.00,0.00,20.79,79.21
10/31/2017,0.00,0.00,0.00,0.00,16.60,83.40
10/24/2017,0.00,0.00,0.00,0.00,16.60,83.40
10/17/2017,0.00,0.00,0.00,0.00,25.06,74.94
10/10/2017,0.00,0.00,0.00,0.00,0.00,100.00
10/03/2017,0.00,0.00,0.00,0.00,0.00,100.00
09/26/2017,0.00,0.00,0.00,0.00,0.00,100.00
09/19/2017,0.00,0.00,0.00,0.00,0.00,100.00
09/12/2017,0.00,0.00,0.00,0.00,0.00,100.00
09/05/2017,0.00,0.00,0.00,0.00,9.64,90.36
08/29/2017,0.00,0.00,0.00,0.00,12.12,87.88
08/22/2017,0.00,0.00,0.00,0.00,0.00,100.00
08/15/2017,0.00,0.00,0.00,0.00,0.00,100.00
08/08/2017,0.00,0.00,0.00,0.00,0.00,100.00
08/01/2017,0.00,0.00,0.00,0.00,0.00,100.00
07/25/2017,0.00,0.00,0.00,0.00,0.00,100.00
07/18/2017,0.00,0.00,0.00,0.00,1.03,98.97
07/11/2017,0.00,0.00,0.00,0.00,1.03,98.97
07/04/2017,0.00,0.00,0.00,0.00,1.03,98.97
06/27/2017,0.00,0.00,0.00,0.19,24.15,75.85
06/20/2017,0.00,0.00,0.00,6.40,30.23,69.77
06/13/2017,0.00,0.00,2.39,16.60,37.17,62.83
06/06/2017,0.00,0.00,7.20,21.10,40.31,59.69
05/30/2017,0.00,0.00,17.49,33.29,54.83,45.17
05/23/2017,0.00,6.37,20.83,41.17,70.38,29.62
05/16/2017,0.00,7.21,23.19,54.01,88.17,11.83
05/09/2017,0.00,6.24,23.47,54.20,88.13,11.87
05/02/2017,0.00,1.11,24.06,56.83,88.57,11.43
04/25/2017,0.00,1.64,15.86,59.47,90.87,9.13
04/18/2017,0.00,3.68,12.77,59.16,97.25,2.75
04/11/2017,0.00,3.68,6.61,25.45,96.16,3.84
04/04/2017,0.00,4.16,15.05,29.94,98.91,1.09
03/28/2017,0.00,4.59,17.22,26.80,98.91,1.09
03/21/2017,0.00,6.94,19.08,26.89,61.50,38.50
03/14/2017,0.00,6.94,19.08,26.59,31.50,68.50
03/07/2017,0.00,8.69,19.39,27.56,33.74,66.26
02/28/2017,0.00,8.69,19.39,27.56,33.74,66.26
02/21/2017,0.00,8.08,19.91,28.32,36.93,63.07
02/14/2017,0.00,5.39,19.79,30.94,36.93,63.07
02/07/2017,0.00,3.57,19.58,36.22,42.36,57.64
01/31/2017,0.00,3.57,19.58,36.22,42.36,57.64
01/24/2017,0.00,3.57,19.58,36.22,42.36,57.64
01/17/2017,0.00,19.28,34.43,48.34,88.56,11.44
01/10/2017,0.00,19.28,34.43,48.34,88.56,11.44
